#(dyne/cm2) (K)          (cm2/s)    (cm-3)   (um)   (cm2)
Pressure        Temp     Kzz   nd   rm   sig2
896151000.0 1258.19 270418.62518778135 0.0 0.0 0.0
719686000.0 1214.18 301755.83042297367 0.0 0.0 0.0
577969000.0 1179.72 336724.6613278543 0.0 0.0 0.0
464159000.0 1154.42 375745.5184963396 0.0 0.0 0.0
372759000.0 1135.97 419288.6712632056 0.0 0.0 0.0
299358000.0 1122.3 467877.07161151076 0.0 0.0 0.0
240410000.0 1112.59 522096.68192223064 0.0 0.0 0.0
193070000.0 1105.98 582599.0861696698 0.0 0.0 0.0
155052000.0 1101.44 650112.4919445151 0.0 0.0 0.0
124520000.0 1098.49 725450.2611340531 0.0 0.0 0.0
100000000.0 1096.84 809519.2813847678 0.0 0.0 0.0
80308600.0 1095.92 903329.4514514874 0.0 0.0 0.0
64494700.0 1095.26 1008010.7968839619 0.0 0.0 0.0
51794700.0 1094.79 1124823.9021855702 0.0 0.0 0.0
41595600.0 1094.46 1255172.7462258216 0.0 0.0 0.0
33404800.0 1094.23 1400627.8559314867 0.0 0.0 0.0
26827000.0 1094.06 1562935.8132243967 0.0 0.0 0.0
21544300.0 1093.94 1744058.320403745 0.0 0.0 0.0
17302000.0 1093.85 1946162.2468942143 0.0 0.0 0.0
13895000.0 1093.79 2171690.4513717936 0.0 0.0 0.0
11158800.0 1093.75 2423362.8756560283 0.0 0.0 0.0
8961510.0 1093.72 2704186.251877813 0.0 0.0 0.0
7196860.0 1093.69 3017558.3042297373 0.0 0.0 0.0
5779690.0 1093.68 3367246.613278543 0.0 0.0 0.0
4641590.0 1093.66 3757455.1849633963 0.0 0.0 0.0
3727590.0 1093.63 4192886.7126320554 0.0 0.0 0.0
2993580.0 1093.43 4678770.716115107 0.0 0.0 0.0
2404100.0 1092.62 5220966.819222306 0.0 0.0 0.0
1930700.0 1090.38 5825990.861696697 0.0 0.0 0.0
1550520.0 1085.72 6501124.919445151 0.0 0.0 0.0
1245200.0 1077.63 7254502.611340532 0.0 0.0 0.0
1000000.0 1065.27 8095192.813847679 0.0 0.0 0.0
803086.0 1047.75 9033294.514514875 0.0 0.0 0.0
644947.0 1023.91 10080107.968839617 0.0 0.0 0.0
517947.0 993.02 11248239.021855703 0.0 0.0 0.0
415956.0 956.145 12551727.462258214 0.0 0.0 0.0
334048.0 915.988 14006278.559314867 0.0 0.0 0.0
268270.0 875.857 15629358.132243967 0.0 0.0 0.0
215443.0 838.701 17440583.20403745 0.0 0.0 0.0
173020.0 805.452 19461622.468942147 0.0 0.0 0.0
138950.0 775.858 21716904.513717934 0.0 0.0 0.0
111588.0 750.461 24233628.756560277 0.0 0.0 0.0
89615.1 729.133 27041862.518778134 100000.0 0.01 1.0
71968.6 710.102 30175583.04229737 100000.0 0.01 1.0
57796.9 693.34 33672466.13278543 100000.0 0.01 1.0
46415.9 678.918 37574551.849633954 100000.0 0.01 1.0
37275.9 666.26 41928867.12632056 100000.0 0.01 1.0
29935.8 655.391 46787707.161151074 100000.0 0.01 1.0
24041.0 646.555 52209668.19222306 100000.0 0.01 1.0
19307.0 639.154 58259908.61696697 100000.0 0.01 1.0
15505.2 632.522 65011249.1944515 100000.0 0.01 1.0
12452.0 627.217 72545026.1134053 100000.0 0.01 1.0
10000.0 623.304 80951928.13847679 100000.0 0.01 1.0
8030.86 619.473 90332945.14514875 100000.0 0.01 1.0
6449.47 616.11 100801079.68839617 100000.0 0.01 1.0
5179.47 613.423 112482390.21855702 100000.0 0.01 1.0
4159.56 611.153 125517274.62258212 100000.0 0.01 1.0
3340.48 609.111 140062785.59314868 100000.0 0.01 1.0
2682.7 607.555 156293581.3224397 100000.0 0.01 1.0
2154.43 606.438 174405832.04037452 100000.0 0.01 1.0
1730.2 605.179 194616224.68942145 100000.0 0.01 1.0
1389.5 604.089 217169045.13717937 100000.0 0.01 1.0
1115.88 603.265 242336287.56560278 100000.0 0.01 1.0
896.151 602.356 270418625.1877813 100000.0 0.01 1.0
719.686 601.221 301755830.4229737 100000.0 0.01 1.0
577.969 600.14 336724661.32785434 100000.0 0.01 1.0
464.159 599.055 375745518.49633956 100000.0 0.01 1.0
372.759 597.823 419288671.26320565 100000.0 0.01 1.0
299.358 596.504 467877071.6115107 100000.0 0.01 1.0
240.41 595.079 522096681.9222306 100000.0 0.01 1.0
193.07 593.436 582599086.1696696 100000.0 0.01 1.0
155.052 591.557 650112491.9445151 100000.0 0.01 1.0
124.52 589.537 725450261.1340531 100000.0 0.01 1.0
100.0 587.409 809519281.3847679 100000.0 0.01 1.0
80.3086 585.174 903329451.4514874 100000.0 0.01 1.0
64.4947 582.978 1008010796.8839619 100000.0 0.01 1.0
51.7947 580.848 1124823902.1855702 100000.0 0.01 1.0
41.5956 578.767 1255172746.2258215 100000.0 0.01 1.0
33.4048 576.686 1400627855.9314866 100000.0 0.01 1.0
26.827 574.507 1562935813.2243967 100000.0 0.01 1.0
21.5443 572.13 1744058320.403745 100000.0 0.01 1.0
17.302 569.465 1946162246.8942142 100000.0 0.01 1.0
13.895 566.5 2171690451.3717937 100000.0 0.01 1.0
11.1588 563.245 2423362875.656028 100000.0 0.01 1.0
8.96151 559.674 2704186251.8778133 100000.0 0.01 1.0
7.19686 555.864 3017558304.2297363 100000.0 0.01 1.0
5.77969 551.937 3367246613.278543 100000.0 0.01 1.0
4.64159 547.976 3757455184.9633965 100000.0 0.01 1.0
3.72759 544.164 4192886712.632056 100000.0 0.01 1.0
2.99358 540.619 4678770716.115108 100000.0 0.01 1.0
2.4041 537.335 5220966819.222305 100000.0 0.01 1.0
1.9307 534.306 5825990861.696697 100000.0 0.01 1.0
1.55052 531.511 6501124919.445151 100000.0 0.01 1.0
1.2452 528.951 7254502611.34053 100000.0 0.01 1.0
1.0 526.637 8095192813.847678 100000.0 0.01 1.0
0.803086 524.583 9033294514.514875 100000.0 0.01 1.0
0.644947 522.677 10080107968.839619 100000.0 0.01 1.0
0.517947 520.932 11248239021.855701 100000.0 0.01 1.0
0.415956 519.343 12551727462.258215 100000.0 0.01 1.0
0.334048 517.911 14006278559.314867 100000.0 0.01 1.0
0.26827 516.629 15629358132.243967 100000.0 0.01 1.0
0.215443 515.487 17440583204.037453 100000.0 0.01 1.0
0.17302 514.475 19461622468.942142 100000.0 0.01 1.0
0.13895 513.582 21716904513.717937 100000.0 0.01 1.0
0.111588 512.801 24233628756.56028 100000.0 0.01 1.0
0.0896151 512.115 27041862518.77813 100000.0 0.01 1.0
0.0719686 511.519 30175583042.29737 100000.0 0.01 1.0
0.0577969 511.0 33672466132.78543 100000.0 0.01 1.0
0.0464159 510.543 37574551849.63395 100000.0 0.01 1.0
0.0372759 510.145 41928867126.320564 100000.0 0.01 1.0
0.0299358 509.797 46787707161.15108 100000.0 0.01 1.0
0.024041 509.495 52209668192.22305 100000.0 0.01 1.0
0.019307 509.235 58259908616.966965 100000.0 0.01 1.0
0.0155052 509.011 65011249194.451515 100000.0 0.01 1.0
0.012452 508.818 72545026113.4053 100000.0 0.01 1.0
0.01 508.66 80951928138.47678 100000.0 0.01 1.0
