#(dyne/cm2) (K)		 (cm2/s)
Pressure	Temp  	 Kzz
1.672E+09	2600.0	 1.000E+10
1.617E+09	2579.0	 1.000E+10
1.564E+09	2557.0	 1.000E+10
1.512E+09	2536.0	 1.000E+10
1.462E+09	2515.0	 1.000E+10
1.414E+09	2494.0	 1.000E+10
1.368E+09	2474.0	 1.000E+10
1.323E+09	2453.0	 1.000E+10
1.280E+09	2433.0	 1.000E+10
1.237E+09	2413.0	 1.000E+10
1.176E+09	2382.0	 1.000E+10
1.118E+09	2352.0	 1.000E+10
1.064E+09	2323.0	 1.000E+10
1.011E+09	2293.0	 1.000E+10
9.616E+08	2264.0	 1.000E+10
9.148E+08	2236.0	 1.000E+10
8.697E+08	2207.0	 1.000E+10
8.272E+08	2180.0	 1.000E+10
7.866E+08	2152.0	 1.000E+10
7.480E+08	2125.0	 1.000E+10
7.112E+08	2098.0	 1.000E+10
6.763E+08	2071.0	 1.000E+10
6.433E+08	2044.0	 1.000E+10
6.117E+08	2018.0	 1.000E+10
5.818E+08	1992.0	 1.000E+10
5.533E+08	1966.0	 1.000E+10
5.259E+08	1940.0	 1.000E+10
5.001E+08	1915.0	 1.000E+10
4.756E+08	1890.0	 1.000E+10
4.523E+08	1866.0	 1.000E+10
4.302E+08	1843.0	 1.000E+10
4.092E+08	1821.0	 1.000E+10
3.891E+08	1799.0	 1.000E+10
3.701E+08	1779.0	 1.000E+10
3.520E+08	1761.0	 1.000E+10
3.346E+08	1744.0	 1.000E+10
3.184E+08	1729.0	 1.000E+10
3.028E+08	1715.0	 1.000E+10
2.879E+08	1701.0	 6.965E+09
2.738E+08	1688.0	 4.755E+09
2.603E+08	1675.0	 3.247E+09
2.478E+08	1662.0	 2.221E+09
2.356E+08	1649.0	 1.513E+09
2.240E+08	1635.0	 1.034E+09
2.131E+08	1622.0	 7.051E+08
2.026E+08	1609.0	 4.820E+08
1.928E+08	1598.0	 3.294E+08
1.833E+08	1587.0	 2.252E+08
1.638E+08	1570.0	 9.536E+07
1.481E+08	1562.0	 1.288E+08
1.340E+08	1558.0	 1.435E+08
1.213E+08	1555.0	 1.411E+08
1.097E+08	1550.0	 1.387E+08
9.927E+07	1544.0	 1.366E+08
8.982E+07	1538.0	 1.432E+08
8.125E+07	1533.0	 1.499E+08
7.353E+07	1530.0	 1.567E+08
6.652E+07	1527.0	 1.663E+08
6.020E+07	1525.0	 1.781E+08
5.446E+07	1521.0	 1.897E+08
4.926E+07	1518.0	 2.007E+08
4.460E+07	1517.0	 2.080E+08
4.036E+07	1518.0	 2.158E+08
3.651E+07	1521.0	 2.238E+08
3.303E+07	1525.0	 2.375E+08
2.991E+07	1528.0	 2.542E+08
2.704E+07	1527.0	 2.705E+08
2.448E+07	1526.0	 2.848E+08
2.215E+07	1527.0	 2.880E+08
2.004E+07	1531.0	 2.920E+08
1.815E+07	1540.0	 2.967E+08
1.642E+07	1550.0	 3.199E+08
1.487E+07	1560.0	 3.524E+08
1.346E+07	1568.0	 3.850E+08
1.217E+07	1573.0	 4.205E+08
1.102E+07	1577.0	 4.698E+08
9.969E+06	1578.0	 5.186E+08
9.020E+06	1577.0	 5.668E+08
8.164E+06	1576.0	 6.164E+08
7.385E+06	1574.0	 6.664E+08
6.685E+06	1574.0	 7.166E+08
6.047E+06	1573.0	 7.701E+08
5.474E+06	1573.0	 8.339E+08
4.951E+06	1571.0	 8.971E+08
4.481E+06	1569.0	 9.601E+08
4.055E+06	1566.0	 1.033E+09
3.667E+06	1562.0	 1.108E+09
3.316E+06	1557.0	 1.182E+09
3.001E+06	1552.0	 1.259E+09
2.716E+06	1547.0	 1.342E+09
2.457E+06	1540.0	 1.424E+09
2.222E+06	1533.0	 1.505E+09
2.011E+06	1526.0	 1.595E+09
1.819E+06	1518.0	 1.685E+09
1.646E+06	1510.0	 1.775E+09
1.489E+06	1502.0	 1.869E+09
1.347E+06	1494.0	 1.972E+09
1.219E+06	1486.0	 2.074E+09
1.102E+06	1477.0	 2.175E+09
9.972E+05	1469.0	 2.313E+09
9.018E+05	1460.0	 2.457E+09
8.161E+05	1452.0	 2.598E+09
7.384E+05	1443.0	 2.753E+09
6.676E+05	1433.0	 2.928E+09
6.038E+05	1423.0	 3.100E+09
5.463E+05	1413.0	 3.268E+09
4.941E+05	1402.0	 3.460E+09
4.470E+05	1391.0	 3.649E+09
4.044E+05	1380.0	 3.834E+09
3.656E+05	1368.0	 4.017E+09
3.308E+05	1357.0	 4.203E+09
2.991E+05	1345.0	 4.382E+09
2.705E+05	1333.0	 4.558E+09
2.447E+05	1321.0	 4.734E+09
2.213E+05	1309.0	 4.904E+09
2.001E+05	1297.0	 5.069E+09
1.811E+05	1285.0	 5.227E+09
1.638E+05	1273.0	 5.381E+09
1.482E+05	1261.0	 5.530E+09
1.340E+05	1249.0	 5.676E+09
1.212E+05	1237.0	 5.803E+09
1.096E+05	1225.0	 5.930E+09
9.912E+04	1214.0	 6.057E+09
8.963E+04	1203.0	 6.177E+09
8.112E+04	1193.0	 6.292E+09
7.338E+04	1183.0	 6.408E+09
6.637E+04	1173.0	 6.520E+09
6.001E+04	1163.0	 6.628E+09
5.430E+04	1155.0	 6.738E+09
4.908E+04	1146.0	 6.852E+09
4.441E+04	1139.0	 6.958E+09
4.019E+04	1133.0	 7.067E+09
3.635E+04	1127.0	 7.182E+09
3.288E+04	1122.0	 7.298E+09
2.974E+04	1117.0	 7.421E+09
2.692E+04	1113.0	 7.548E+09
2.433E+04	1108.0	 7.669E+09
1.752E+04	1093.0	 8.083E+09
1.251E+04	1076.0	 8.522E+09
8.952E+03	1062.0	 9.029E+09
6.407E+03	1052.0	 9.666E+09
4.584E+03	1045.0	 1.042E+10
3.283E+03	1041.0	 1.125E+10
2.351E+03	1038.0	 1.218E+10
1.684E+03	1034.0	 1.311E+10
1.207E+03	1030.0	 1.397E+10
8.644E+02	1026.0	 1.479E+10
6.189E+02	1022.0	 1.556E+10
4.433E+02	1018.0	 1.622E+10
3.176E+02	1012.0	 1.673E+10
2.273E+02	1003.0	 1.700E+10
1.626E+02	 992.3	 1.705E+10
1.163E+02	 981.2	 1.698E+10
8.334E+01	 968.7	 1.703E+10
5.961E+01	 954.7	 1.721E+10
4.263E+01	 939.6	 1.712E+10
3.049E+01	 924.5	 1.700E+10
2.183E+01	 910.5	 1.689E+10
1.562E+01	 897.2	 1.659E+10
1.119E+01	 885.8	 1.644E+10
8.025E+00	 876.7	 1.592E+10
5.761E+00	 869.7	 1.428E+10
4.146E+00	 864.9	 1.270E+10
2.991E+00	 861.9	 1.115E+10
2.166E+00	 860.5	 1.000E+10
1.575E+00	 860.6	 1.000E+10
1.148E+00	 862.1	 1.000E+10
8.405E-01	 864.9	 1.0E+10		
6.172E-01	 868.8	 1.0E+10		
4.549E-01	 874.4	 1.0E+10 		
3.363E-01	 882.3	 1.0E+10 		
2.493E-01	 893.4	 1.0E+10 		
1.851E-01	 909.4	 1.0E+10 		
1.379E-01	 932.6	 1.0E+10 		
1.028E-01	 966.6	 1.0E+10 		
7.686E-02	 1018.0	 1.0E+10 		
5.758E-02	 1097.0	 1.0E+10 		
4.334E-02	 1226.0	 1.0E+10 		
3.288E-02	 1454.0	 1.0E+10 		
2.533E-02	 1911.0	 1.0E+10 		
2.005E-02	 3101.0	 1.0E+10
1.163E-02	 6000.	 1.0E+10	 		
