#(dyne/cm2) (K)		(cm2/s)
Pressure	Temp  	Kzz
1.672E+09	2600  	1.000E+10
1.617E+09	2579  	1.000E+10
1.564E+09	2557  	1.000E+10
1.512E+09	2536  	1.000E+10
1.462E+09	2515  	1.000E+10
1.414E+09	2494  	1.000E+10
1.368E+09	2474  	1.000E+10
1.323E+09	2453  	1.000E+10
1.280E+09	2433  	1.000E+10
1.237E+09	2413  	1.000E+10
1.176E+09	2382  	1.000E+10
1.118E+09	2352  	1.000E+10
1.064E+09	2323  	1.000E+10
1.011E+09	2293  	1.000E+10
9.616E+08	2264  	1.000E+10
9.148E+08	2236  	1.000E+10
8.697E+08	2207  	1.000E+10
8.272E+08	2180  	1.000E+10
7.866E+08	2152  	1.000E+10
7.480E+08	2125  	1.000E+10
7.112E+08	2098  	1.000E+10
6.763E+08	2071  	1.000E+10
6.433E+08	2044  	1.000E+10
6.117E+08	2018  	1.000E+10
5.818E+08	1992  	1.000E+10
5.533E+08	1966  	1.000E+10
5.259E+08	1940  	1.000E+10
5.001E+08	1915  	1.000E+10
4.758E+08	1891  	1.000E+10
4.523E+08	1866  	1.000E+10
4.302E+08	1843  	1.000E+10
4.092E+08	1821  	1.000E+10
3.891E+08	1799  	1.000E+10
3.701E+08	1779  	1.000E+10
3.520E+08	1761  	1.000E+10
3.346E+08	1744  	1.000E+10
3.184E+08	1729  	1.000E+10
3.028E+08	1715  	1.000E+10
2.879E+08	1701  	6.965E+09
2.738E+08	1688  	4.755E+09
2.603E+08	1675  	3.247E+09
2.478E+08	1662  	2.221E+09
2.356E+08	1649  	1.513E+09
2.240E+08	1636  	1.034E+09
2.131E+08	1624  	7.051E+08
2.027E+08	1612  	4.820E+08
1.928E+08	1601  	3.294E+08
1.833E+08	1591  	2.252E+08
1.639E+08	1574  	9.542E+07
1.482E+08	1565  	1.290E+08
1.341E+08	1560  	1.437E+08
1.213E+08	1556  	1.413E+08
1.097E+08	1552  	1.389E+08
9.931E+07	1548  	1.370E+08
8.985E+07	1544  	1.438E+08
8.130E+07	1541  	1.507E+08
7.354E+07	1539  	1.577E+08
6.657E+07	1538  	1.675E+08
6.023E+07	1537  	1.795E+08
5.449E+07	1536  	1.915E+08
4.928E+07	1535  	2.031E+08
4.460E+07	1535  	2.107E+08
4.037E+07	1536  	2.184E+08
3.653E+07	1537  	2.262E+08
3.305E+07	1538  	2.395E+08
2.991E+07	1540  	2.564E+08
2.705E+07	1542  	2.733E+08
2.449E+07	1544  	2.883E+08
2.217E+07	1546  	2.917E+08
2.006E+07	1547  	2.950E+08
1.815E+07	1547  	2.983E+08
1.642E+07	1547  	3.195E+08
1.486E+07	1547  	3.501E+08
1.345E+07	1548  	3.807E+08
1.217E+07	1548  	4.145E+08
1.101E+07	1548  	4.618E+08
9.961E+06	1546  	5.087E+08
9.013E+06	1543  	5.553E+08
8.153E+06	1539  	6.027E+08
7.378E+06	1535  	6.505E+08
6.676E+06	1531  	6.979E+08
6.039E+06	1526  	7.484E+08
5.464E+06	1522  	8.083E+08
4.944E+06	1517  	8.674E+08
4.472E+06	1512  	9.262E+08
4.045E+06	1506  	9.951E+08
3.661E+06	1501  	1.066E+09
3.312E+06	1495  	1.136E+09
2.997E+06	1488  	1.209E+09
2.711E+06	1481  	1.287E+09
2.452E+06	1473  	1.364E+09
2.217E+06	1464  	1.439E+09
2.006E+06	1455  	1.523E+09
1.814E+06	1445  	1.608E+09
1.641E+06	1435  	1.690E+09
1.485E+06	1425  	1.777E+09
1.343E+06	1414  	1.870E+09
1.215E+06	1403  	1.963E+09
1.099E+06	1392  	2.052E+09
9.939E+05	1380  	2.178E+09
8.990E+05	1368  	2.307E+09
8.132E+05	1356  	2.432E+09
7.357E+05	1344  	2.570E+09
6.654E+05	1331  	2.725E+09
6.020E+05	1318  	2.876E+09
5.443E+05	1304  	3.022E+09
4.922E+05	1290  	3.191E+09
4.451E+05	1276  	3.355E+09
4.026E+05	1262  	3.513E+09
3.642E+05	1248  	3.672E+09
3.292E+05	1234  	3.829E+09
2.979E+05	1220  	3.980E+09
2.693E+05	1205  	4.127E+09
2.436E+05	1191  	4.272E+09
2.203E+05	1176  	4.411E+09
1.992E+05	1162  	4.547E+09
1.800E+05	1147  	4.674E+09
1.628E+05	1133  	4.797E+09
1.474E+05	1120  	4.917E+09
1.332E+05	1106  	5.030E+09
1.205E+05	1093  	5.132E+09
1.090E+05	1080  	5.229E+09
9.851E+04	1067  	5.326E+09
8.911E+04	1055  	5.416E+09
8.058E+04	1043  	5.503E+09
7.289E+04	1032  	5.591E+09
6.591E+04	1021  	5.679E+09
5.962E+04	1011  	5.763E+09
5.390E+04	1001  	5.845E+09
4.876E+04	992.  	5.931E+09
4.411E+04	983.  	6.009E+09
3.990E+04	975.  	6.090E+09
3.608E+04	968.  	6.166E+09
3.264E+04	961.  	6.250E+09
2.953E+04	954.  	6.336E+09
2.670E+04	947.  	6.420E+09
2.416E+04	941.  	6.507E+09
1.702E+04	920.  	6.829E+09
1.216E+04	904.  	7.187E+09
8.691E+03	889.  	7.589E+09
6.213E+03	877.  	8.092E+09
4.445E+03	867.  	8.682E+09
3.180E+03	859.  	9.322E+09
2.276E+03	852.  	1.004E+10
1.629E+03	847.  	1.077E+10
1.166E+03	841.  	1.144E+10
8.352E+02	835.  	1.207E+10
5.977E+02	828.  	1.261E+10
4.277E+02	821.  	1.307E+10
3.062E+02	816.  	1.347E+10
2.192E+02	810.  	1.369E+10
1.569E+02	805.  	1.377E+10
1.123E+02	799.  	1.375E+10
8.046E+01	790.  	1.385E+10
5.753E+01	778.  	1.395E+10
4.113E+01	766.  	1.388E+10
2.939E+01	752.  	1.375E+10
2.101E+01	740.  	1.363E+10
1.502E+01	728.  	1.338E+10
1.074E+01	720.  	1.323E+10
7.694E+00	715.  	1.275E+10
5.511E+00	710.  	1.145E+10
3.949E+00	707.  	1.017E+10
2.832E+00	705.  	1.000E+10
2.033E+00	704.  	1.000E+10
1.459E+00	704.  	1.000E+10
1.050E+00	706.  	1.000E+10
