#(dyn/cm2)	(K)    	(cm2/s)
Pressure	Temp		Diffusion 
9.998E+08	2754.0  	1.000E+10
9.669E+08	2732.0  	1.000E+10
9.352E+08	2710.0  	1.000E+10
9.042E+08	2688.0  	1.000E+10
8.747E+08	2667.0  	1.000E+10
8.459E+08	2645.0  	1.000E+10
8.182E+08	2624.0  	1.000E+10
7.912E+08	2603.0  	1.000E+10
7.652E+08	2582.0  	1.000E+10
7.399E+08	2561.0  	1.000E+10
7.156E+08	2540.0  	1.000E+10
6.922E+08	2520.0  	1.000E+10
6.692E+08	2499.0  	1.000E+10
6.474E+08	2479.0  	1.000E+10
6.260E+08	2458.0  	1.000E+10
6.054E+08	2438.0  	1.000E+10
5.751E+08	2407.0  	1.000E+10
5.469E+08	2377.0  	1.000E+10
5.203E+08	2347.0  	1.000E+10
4.945E+08	2316.0  	1.000E+10
4.705E+08	2286.0  	1.000E+10
4.473E+08	2255.0  	1.000E+10
4.255E+08	2226.0  	1.000E+10
4.048E+08	2197.0  	1.000E+10
3.847E+08	2169.0  	1.000E+10
3.660E+08	2142.0  	1.000E+10
3.480E+08	2117.0  	1.000E+10
3.311E+08	2095.0  	1.000E+10
3.147E+08	2073.0  	1.000E+10
2.994E+08	2054.0  	2.185E+09
2.845E+08	2035.0  	1.680E+09
2.707E+08	2018.0  	1.290E+09
2.575E+08	2002.0  	9.920E+08
2.449E+08	1987.0  	7.624E+08
2.329E+08	1972.0  	5.857E+08
2.216E+08	1959.0  	4.501E+08
2.107E+08	1946.0  	3.462E+08
2.005E+08	1934.0  	2.661E+08
1.906E+08	1922.0  	2.046E+08
1.813E+08	1912.0  	2.694E+08
1.724E+08	1902.0  	3.327E+08
1.640E+08	1893.0  	3.958E+08
1.560E+08	1885.0  	4.596E+08
1.484E+08	1878.0  	5.222E+08
1.411E+08	1871.0  	5.837E+08
1.343E+08	1866.0  	5.876E+08
1.277E+08	1861.0  	5.919E+08
1.215E+08	1857.0  	5.963E+08
1.089E+08	1850.0  	6.068E+08
9.853E+07	1847.0  	6.230E+08
8.914E+07	1844.0  	6.809E+08
8.067E+07	1842.0  	7.388E+08
7.298E+07	1839.0  	7.966E+08
6.605E+07	1837.0  	8.529E+08
5.977E+07	1834.0  	9.085E+08
5.406E+07	1832.0  	9.647E+08
4.893E+07	1831.0  	1.022E+09
4.428E+07	1831.0  	1.081E+09
4.006E+07	1830.0  	1.142E+09
3.625E+07	1830.0  	1.202E+09
3.280E+07	1831.0  	1.264E+09
2.970E+07	1831.0  	1.327E+09
2.687E+07	1831.0  	1.390E+09
2.432E+07	1832.0  	1.459E+09
2.200E+07	1832.0  	1.555E+09
1.991E+07	1831.0  	1.651E+09
1.801E+07	1830.0  	1.746E+09
1.630E+07	1829.0  	1.803E+09
1.475E+07	1828.0  	1.846E+09
1.335E+07	1827.0  	1.889E+09
1.207E+07	1825.0  	1.960E+09
1.093E+07	1823.0  	2.108E+09
9.888E+06	1820.0  	2.255E+09
8.946E+06	1816.0  	2.400E+09
8.094E+06	1811.0  	2.534E+09
7.325E+06	1805.0  	2.663E+09
6.626E+06	1798.0  	2.791E+09
5.994E+06	1790.0  	2.950E+09
5.423E+06	1781.0  	3.180E+09
4.906E+06	1772.0  	3.406E+09
4.439E+06	1763.0  	3.630E+09
4.016E+06	1755.0  	3.834E+09
3.633E+06	1749.0  	4.037E+09
3.288E+06	1745.0  	4.245E+09
2.976E+06	1743.0  	4.603E+09
2.690E+06	1740.0  	5.210E+09
2.434E+06	1737.0  	5.813E+09
2.203E+06	1733.0  	6.413E+09
1.994E+06	1728.0  	7.480E+09
1.803E+06	1721.0  	8.590E+09
1.631E+06	1713.0  	9.689E+09
1.476E+06	1704.0  	1.082E+10
1.335E+06	1694.0  	1.201E+10
1.208E+06	1684.0  	1.320E+10
1.093E+06	1673.0  	1.436E+10
9.889E+05	1663.0  	1.570E+10
8.941E+05	1652.0  	1.704E+10
8.089E+05	1642.0  	1.837E+10
7.321E+05	1633.0  	1.975E+10
6.622E+05	1623.0  	2.118E+10
5.989E+05	1613.0  	2.260E+10
5.419E+05	1603.0  	2.400E+10
4.902E+05	1592.0  	2.567E+10
4.432E+05	1580.0  	2.731E+10
4.010E+05	1568.0  	2.891E+10
3.630E+05	1556.0  	3.064E+10
3.282E+05	1542.0  	3.246E+10
2.968E+05	1528.0  	3.423E+10
2.685E+05	1514.0  	3.597E+10
2.429E+05	1499.0  	3.781E+10
2.196E+05	1484.0  	3.960E+10
1.986E+05	1468.0  	4.135E+10
1.797E+05	1453.0  	4.305E+10
1.624E+05	1437.0  	4.471E+10
1.469E+05	1422.0  	4.634E+10
1.329E+05	1408.0  	4.793E+10
1.202E+05	1394.0  	4.957E+10
1.087E+05	1381.0  	5.117E+10
9.839E+04	1369.0  	5.278E+10
8.897E+04	1357.0  	5.441E+10
8.048E+04	1346.0  	5.604E+10
7.280E+04	1336.0  	5.769E+10
6.584E+04	1326.0  	5.935E+10
5.958E+04	1318.0  	6.105E+10
5.390E+04	1310.0  	6.277E+10
4.874E+04	1302.0  	6.449E+10
4.408E+04	1295.0  	6.628E+10
3.987E+04	1289.0  	6.812E+10
3.608E+04	1284.0  	6.996E+10
3.264E+04	1279.0  	7.188E+10
2.953E+04	1275.0  	7.392E+10
2.672E+04	1272.0  	7.597E+10
2.417E+04	1269.0  	7.806E+10
2.188E+04	1267.0  	8.016E+10
1.980E+04	1266.0  	8.231E+10
1.793E+04	1266.0  	8.449E+10
1.621E+04	1266.0  	8.673E+10
1.467E+04	1267.0  	8.905E+10
1.328E+04	1268.0  	9.141E+10
1.201E+04	1270.0  	9.382E+10
1.087E+04	1273.0  	9.644E+10
7.742E+03	1285.0  	1.058E+11
5.562E+03	1304.0  	1.165E+11
4.003E+03	1334.0  	1.320E+11
2.883E+03	1373.0  	1.505E+11
2.077E+03	1421.0  	1.702E+11
1.499E+03	1474.0  	1.907E+11
1.081E+03	1526.0  	2.142E+11
7.792E+02	1575.0  	2.381E+11
5.611E+02	1619.0  	2.639E+11
4.042E+02	1664.0  	2.959E+11
2.912E+02	1708.0  	3.302E+11
2.095E+02	1751.0  	3.660E+11
