#(dyn/cm2)	(K)    	(cm2/s)
Pressure	Temp	Kzz
9.998e+08	2754.0	1.000e+10
9.669e+08	2732.0	1.000e+10
9.352e+08	2710.0	1.000e+10
9.042e+08	2688.0	1.000e+10
8.747e+08	2667.0	1.000e+10
8.459e+08	2645.0	1.000e+10
8.182e+08	2624.0	1.000e+10
7.912e+08	2603.0	1.000e+10
7.652e+08	2582.0	1.000e+10
7.399e+08	2561.0	1.000e+10
7.156e+08	2540.0	1.000e+10
6.922e+08	2520.0	1.000e+10
6.692e+08	2499.0	1.000e+10
6.474e+08	2479.0	1.000e+10
6.260e+08	2458.0	1.000e+10
6.054e+08	2438.0	1.000e+10
5.751e+08	2407.0	1.000e+10
5.469e+08	2377.0	1.000e+10
5.203e+08	2347.0	1.000e+10
4.945e+08	2316.0	1.000e+10
4.705e+08	2286.0	1.000e+10
4.473e+08	2255.0	1.000e+10
4.255e+08	2226.0	1.000e+10
4.048e+08	2197.0	1.000e+10
3.847e+08	2169.0	1.000e+10
3.660e+08	2142.0	1.000e+10
3.480e+08	2117.0	1.000e+10
3.311e+08	2095.0	1.000e+10
3.147e+08	2073.0	1.000e+10
2.994e+08	2054.0	2.185e+09
2.845e+08	2035.0	1.680e+09
2.707e+08	2018.0	1.290e+09
2.575e+08	2002.0	9.920e+08
2.449e+08	1987.0	7.624e+08
2.329e+08	1972.0	5.857e+08
2.216e+08	1959.0	4.501e+08
2.107e+08	1946.0	3.462e+08
2.005e+08	1934.0	2.661e+08
1.906e+08	1922.0	2.046e+08
1.813e+08	1912.0	2.694e+08
1.724e+08	1902.0	3.327e+08
1.640e+08	1893.0	3.958e+08
1.560e+08	1885.0	4.596e+08
1.484e+08	1878.0	5.222e+08
1.411e+08	1871.0	5.837e+08
1.343e+08	1866.0	5.876e+08
1.277e+08	1861.0	5.919e+08
1.215e+08	1857.0	5.963e+08
1.089e+08	1850.0	6.068e+08
9.853e+07	1847.0	6.230e+08
8.914e+07	1844.0	6.809e+08
8.067e+07	1842.0	7.388e+08
7.298e+07	1839.0	7.966e+08
6.605e+07	1837.0	8.529e+08
5.977e+07	1834.0	9.085e+08
5.406e+07	1832.0	9.647e+08
4.893e+07	1831.0	1.022e+09
4.428e+07	1831.0	1.081e+09
4.006e+07	1830.0	1.142e+09
3.625e+07	1830.0	1.202e+09
3.280e+07	1831.0	1.264e+09
2.970e+07	1831.0	1.327e+09
2.687e+07	1831.0	1.390e+09
2.432e+07	1832.0	1.459e+09
2.200e+07	1832.0	1.555e+09
1.991e+07	1831.0	1.651e+09
1.801e+07	1830.0	1.746e+09
1.630e+07	1829.0	1.803e+09
1.475e+07	1828.0	1.846e+09
1.335e+07	1827.0	1.889e+09
1.207e+07	1825.0	1.960e+09
1.093e+07	1823.0	2.108e+09
9.888e+06	1820.0	2.255e+09
8.946e+06	1816.0	2.400e+09
8.094e+06	1811.0	2.534e+09
7.325e+06	1805.0	2.663e+09
6.626e+06	1798.0	2.791e+09
5.994e+06	1790.0	2.950e+09
5.423e+06	1781.0	3.180e+09
4.906e+06	1772.0	3.406e+09
4.439e+06	1763.0	3.630e+09
4.016e+06	1755.0	3.834e+09
3.633e+06	1749.0	4.037e+09
3.288e+06	1745.0	4.245e+09
2.976e+06	1743.0	4.603e+09
2.690e+06	1740.0	5.210e+09
2.434e+06	1737.0	5.813e+09
2.203e+06	1733.0	6.413e+09
1.994e+06	1728.0	7.480e+09
1.803e+06	1721.0	8.590e+09
1.631e+06	1713.0	9.689e+09
1.476e+06	1704.0	1.082e+10
1.335e+06	1694.0	1.201e+10
1.208e+06	1684.0	1.320e+10
1.093e+06	1673.0	1.436e+10
9.889e+05	1663.0	1.570e+10
8.941e+05	1652.0	1.704e+10
8.089e+05	1642.0	1.837e+10
7.321e+05	1633.0	1.975e+10
6.622e+05	1623.0	2.118e+10
5.989e+05	1613.0	2.260e+10
5.419e+05	1603.0	2.400e+10
4.902e+05	1592.0	2.567e+10
4.432e+05	1580.0	2.731e+10
4.010e+05	1568.0	2.891e+10
3.630e+05	1556.0	3.064e+10
3.282e+05	1542.0	3.246e+10
2.968e+05	1528.0	3.423e+10
2.685e+05	1514.0	3.597e+10
2.429e+05	1499.0	3.781e+10
2.196e+05	1484.0	3.960e+10
1.986e+05	1468.0	4.135e+10
1.797e+05	1453.0	4.305e+10
1.624e+05	1437.0	4.471e+10
1.469e+05	1422.0	4.634e+10
1.329e+05	1408.0	4.793e+10
1.202e+05	1394.0	4.957e+10
1.087e+05	1381.0	5.117e+10
9.839e+04	1369.0	5.278e+10
8.897e+04	1357.0	5.441e+10
8.048e+04	1346.0	5.604e+10
7.280e+04	1336.0	5.769e+10
6.584e+04	1326.0	5.935e+10
5.958e+04	1318.0	6.105e+10
5.390e+04	1310.0	6.277e+10
4.874e+04	1302.0	6.449e+10
4.408e+04	1295.0	6.628e+10
3.987e+04	1289.0	6.812e+10
3.608e+04	1284.0	6.996e+10
3.264e+04	1279.0	7.188e+10
2.953e+04	1275.0	7.392e+10
2.672e+04	1272.0	7.597e+10
2.417e+04	1269.0	7.806e+10
2.188e+04	1267.0	8.016e+10
1.980e+04	1266.0	8.231e+10
1.793e+04	1266.0	8.449e+10
1.621e+04	1266.0	8.673e+10
1.467e+04	1267.0	8.905e+10
1.328e+04	1268.0	9.141e+10
1.201e+04	1270.0	9.382e+10
1.087e+04	1273.0	9.644e+10
7.742e+03	1285.0	1.058e+11
5.562e+03	1304.0	1.165e+11
4.003e+03	1334.0	1.320e+11
2.883e+03	1373.0	1.505e+11
2.077e+03	1421.0	1.702e+11
1.499e+03	1474.0	1.907e+11
1.081e+03	1526.0	2.142e+11
7.792e+02	1575.0	2.381e+11
5.611e+02	1619.0	2.639e+11
4.042e+02	1664.0	2.959e+11
2.912e+02	1708.0	3.302e+11
2.095e+02	1751.0	3.660e+11
1.509e+02	1796.0	4.022e+11
1.086e+02	1839.0	4.331e+11
8.022e+01	1877.0	4.618e+11
5.817e+01	1910.0	4.903e+11
4.228e+01	1944.0	5.161e+11
3.077e+01	1986.0	5.415e+11
2.249e+01	2043.0	5.619e+11
1.644e+01	2091.0	5.728e+11
