# WL(A)	 Flux(ergs/cm**2/s/A)                                      
1151.000  4.270E-14
1151.200  4.270E-14
1151.400  4.270E-14
1151.600  4.270E-14
1151.800  4.270E-14
1152.000  4.197E-14
1152.200  4.108E-14
1152.400  4.002E-14
1152.600  3.903E-14
1152.800  3.791E-14
1153.000  3.686E-14
1153.200  3.582E-14
1153.400  3.468E-14
1153.600  3.365E-14
1153.800  3.286E-14
1154.000  3.213E-14
1154.200  3.150E-14
1154.400  3.086E-14
1154.600  3.032E-14
1154.800  2.977E-14
1155.000  2.930E-14
1155.200  2.889E-14
1155.400  2.847E-14
1155.600  2.813E-14
1155.800  2.780E-14
1156.000  2.751E-14
1156.200  2.725E-14
1156.400  2.697E-14
1156.600  2.670E-14
1156.800  2.639E-14
1157.000  2.608E-14
1157.200  2.579E-14
1157.400  2.545E-14
1157.600  2.514E-14
1157.800  2.479E-14
1158.000  2.444E-14
1158.200  2.410E-14
1158.400  2.374E-14
1158.600  2.341E-14
1158.800  2.304E-14
1159.000  2.272E-14
1159.200  2.241E-14
1159.400  2.208E-14
1159.600  2.179E-14
1159.800  2.149E-14
1160.000  2.121E-14
1160.200  2.096E-14
1160.400  2.070E-14
1160.600  2.048E-14
1160.800  2.025E-14
1161.000  2.005E-14
1161.200  1.987E-14
1161.400  1.971E-14
1161.600  1.957E-14
1161.800  1.944E-14
1162.000  1.934E-14
1162.200  1.925E-14
1162.400  1.916E-14
1162.600  1.910E-14
1162.800  1.904E-14
1163.000  1.898E-14
1163.200  1.894E-14
1163.400  1.890E-14
1163.600  1.887E-14
1163.800  1.884E-14
1164.000  1.881E-14
1164.200  1.878E-14
1164.400  1.875E-14
1164.600  1.871E-14
1164.800  1.867E-14
1165.000  1.862E-14
1165.200  1.857E-14
1165.400  1.850E-14
1165.600  1.843E-14
1165.800  1.835E-14
1166.000  1.826E-14
1166.200  1.817E-14
1166.400  1.806E-14
1166.600  1.795E-14
1166.800  1.783E-14
1167.000  1.771E-14
1167.200  1.759E-14
1167.400  1.745E-14
1167.600  1.733E-14
1167.800  1.720E-14
1168.000  1.707E-14
1168.200  1.695E-14
1168.400  1.683E-14
1168.600  1.671E-14
1168.800  1.660E-14
1169.000  1.649E-14
1169.200  1.640E-14
1169.400  1.630E-14
1169.600  1.622E-14
1169.800  1.614E-14
1170.000  1.608E-14
1170.200  1.602E-14
1170.400  1.596E-14
1170.600  1.592E-14
1170.800  1.588E-14
1171.000  1.585E-14
1171.200  1.582E-14
1171.400  1.580E-14
1171.600  1.578E-14
1171.800  1.576E-14
1172.000  1.574E-14
1172.200  1.573E-14
1172.400  1.570E-14
1172.600  1.568E-14
1172.800  1.565E-14
