# (A) (ergs/cm**2/s/Angstrom)  (0= GOOD to 3= BAD) 
# WAVELENGTH FLUX    ERROR     DATA_QUALITY 
1150.000  1.287E-13  1.165E-13 0
1150.012  1.227E-13  1.254E-13 0
1150.024  4.304E-14  1.020E-13 0
1150.036 -1.968E-14  7.837E-14 0
1150.048 -2.563E-14  8.916E-14 0
1150.060 -1.621E-14  1.031E-13 0
1150.072 -9.720E-15  8.185E-14 0
1150.084 -3.200E-14  6.250E-14 0
1150.096 -4.162E-14  6.922E-14 0
1150.108 -1.411E-14  9.168E-14 0
1150.120 -4.152E-14  9.516E-14 0
1150.132 -4.151E-14  8.736E-14 0
1150.144 -6.030E-15  8.417E-14 0
1150.156  1.126E-16  7.592E-14 0
1150.168 -2.167E-15  7.116E-14 0
1150.180 -4.968E-15  7.608E-14 0
1150.192  5.161E-15  7.692E-14 0
1150.204  3.285E-14  8.404E-14 0
1150.216  1.420E-14  9.376E-14 0
1150.228 -1.906E-14  1.101E-13 0
1150.240 -2.130E-14  1.052E-13 0
1150.252 -4.952E-14  9.124E-14 0
1150.264 -8.371E-14  8.750E-14 0
1150.276 -2.149E-14  9.591E-14 0
1150.288  3.787E-14  9.324E-14 0
1150.300  5.632E-14  1.019E-13 0
1150.312 -2.102E-14  1.037E-13 0
1150.324 -6.859E-14  1.022E-13 0
1150.336  4.588E-15  9.893E-14 0
1150.348  1.314E-14  9.779E-14 0
1150.360 -1.673E-14  1.178E-13 0
1150.372 -2.228E-14  1.346E-13 0
1150.384 -2.351E-14  1.047E-13 0
1150.396 -6.728E-14  8.549E-14 0
1150.408 -4.269E-14  7.685E-14 0
1150.420 -1.653E-14  6.684E-14 0
1150.432  9.650E-15  1.046E-13 0
1150.444  9.973E-15  9.166E-14 0
1150.456 -9.257E-14  9.674E-14 0
1150.468 -1.836E-14  9.653E-14 0
1150.480  1.207E-13  1.110E-13 0
1150.492  8.433E-15  8.928E-14 0
1150.504  2.169E-14  7.373E-14 0
1150.516  2.417E-14  1.035E-13 0
1150.528  6.456E-15  7.740E-14 0
1150.540  1.004E-13  9.576E-14 0
1150.552 -1.547E-14  5.159E-14 0
1150.564 -3.706E-14  9.070E-14 0
1150.576 -6.219E-14  1.018E-13 0
1150.588  1.489E-14  9.144E-14 0
1150.600 -5.879E-14  9.445E-14 0
1150.612  2.726E-17  8.626E-14 0
1150.624 -6.309E-14  7.272E-14 0
1150.636 -5.051E-14  7.662E-14 0
1150.648  2.541E-14  7.428E-14 0
1150.660  7.731E-14  8.959E-14 0
1150.672  3.038E-15  7.732E-14 0
1150.684  4.816E-14  7.448E-14 0
1150.696 -7.265E-15  5.605E-14 0
1150.708  5.502E-14  1.024E-13 0
1150.720 -2.985E-14  8.370E-14 0
1150.732  3.207E-14  9.103E-14 0
1150.744 -1.427E-14  7.357E-14 0
1150.756 -3.974E-14  6.509E-14 0
1150.768  1.885E-14  7.567E-14 0
1150.780 -3.881E-14  7.488E-14 0
1150.792 -2.448E-14  5.147E-14 0
1150.804  2.393E-14  7.252E-14 0
1150.816  3.043E-14  8.396E-14 0
1150.828  8.458E-14  9.418E-14 0
1150.840 -1.551E-15  8.233E-14 0
1150.852 -6.547E-14  6.196E-14 0
1150.864 -6.702E-14  5.657E-14 0
1150.876 -5.243E-14  6.727E-14 0
1150.888 -4.920E-14  6.931E-14 0
1150.900 -2.982E-14  6.347E-14 0
1150.912  1.429E-14  8.084E-14 0
1150.924  4.836E-14  6.709E-14 0
1150.936  8.508E-15  5.937E-14 0
1150.948  9.216E-15  6.779E-14 0
1150.960 -3.483E-14  6.935E-14 0
1150.972  3.414E-14  7.335E-14 0
1150.984  1.113E-13  8.317E-14 0
1150.996  3.632E-14  6.694E-14 0
1151.008 -3.086E-14  6.039E-14 0
1151.020 -4.839E-14  6.359E-14 0
1151.032 -1.650E-14  7.665E-14 0
1151.044 -1.013E-14  8.484E-14 0
1151.056  5.149E-14  8.567E-14 0
1151.068  4.896E-14  8.071E-14 0
1151.080 -1.895E-14  7.367E-14 0
1151.092 -6.296E-15  7.271E-14 0
1151.104  8.727E-14  8.754E-14 0
1151.116  5.983E-14  8.171E-14 0
1151.128  2.533E-14  6.641E-14 0
1151.140  6.254E-14  7.588E-14 0
1151.152  2.288E-14  7.905E-14 0
1151.164 -3.721E-14  9.021E-14 0
1151.176 -2.594E-14  9.475E-14 0
1151.188 -7.140E-15  7.210E-14 0
1151.200 -2.789E-14  5.066E-14 0
1151.212  1.651E-14  7.256E-14 0
1151.224  9.167E-14  9.085E-14 0
1151.236  6.329E-14  8.283E-14 0
1151.248  4.008E-14  8.764E-14 0
1151.260  4.289E-14  8.677E-14 0
1151.272  2.314E-14  7.648E-14 0
1151.284  2.209E-14  8.110E-14 0
1151.296 -2.591E-14  8.370E-14 0
1151.308 -1.806E-14  7.536E-14 0
1151.320  9.084E-15  7.267E-14 0
1151.332 -4.310E-15  7.552E-14 0
1151.344  2.162E-14  6.902E-14 0
1151.356  2.546E-14  6.066E-14 0
1151.368  2.541E-14  6.375E-14 0
1151.380  6.631E-14  8.429E-14 0
1151.392  2.064E-14  8.038E-14 0
1151.404 -3.226E-14  5.977E-14 0
1151.416  2.473E-14  6.928E-14 0
1151.428 -4.230E-15  7.706E-14 0
1151.440 -2.638E-14  7.246E-14 0
1151.452  2.213E-14  6.759E-14 0
1151.464  3.755E-14  6.754E-14 0
1151.476  2.788E-14  7.499E-14 0
1151.488  8.906E-16  7.753E-14 0
1151.500  3.261E-14  5.782E-14 0
1151.512  6.838E-14  6.700E-14 0
1151.524  2.913E-14  6.569E-14 0
1151.536  4.490E-15  5.707E-14 0
1151.548  3.572E-14  7.199E-14 0
1151.560  5.468E-14  8.350E-14 0
1151.572 -7.857E-15  8.277E-14 0
1151.584 -2.728E-14  7.655E-14 0
1151.596 -1.695E-14  5.877E-14 0
1151.608  8.048E-15  8.057E-14 0
1151.620 -7.540E-15  7.273E-14 0
1151.632 -1.441E-14  8.140E-14 0
1151.644  5.029E-14  6.954E-14 0
1151.656  3.748E-14  6.172E-14 0
