# WL(nm)	 Flux(ergs/cm**2/s/nm)
2.0             1.95E+02
4.0             3.19E+02
6.0             1.00E+03
8.0             7.79E+02
10.0            4.33E+02
12.0            1.90E+02
14.0            1.64E+02
16.0            1.99E+03
18.0            1.78E+03
20.0            1.21E+03
22.0            7.35E+02
24.0            6.76E+02
26.0            1.03E+03
28.0            6.88E+02
30.0            5.04E+02
30.38           1.88E+05
32.0            4.80E+02
34.0            4.53E+02
36.0            1.05E+02
36.81           1.84E+04
38.0            9.96E+01
40.0            1.35E+02
42.0            1.67E+02
44.0            1.60E+02
46.0            2.95E+02
48.0            1.15E+02
49.93           1.49E+02
50.0            1.39E+02
52.0            1.75E+02
54.0            1.69E+02
55.45           1.32E+04
56.0            1.56E+02
58.0            1.51E+02
58.47           2.47E+04
60.0            9.91E+01
60.94           6.76E+03
62.0            4.82E+01
62.53           5.11E+01
62.97           2.18E+04
64.0            4.92E+01
66.0            6.08E+01
68.0            5.90E+01
70.0            3.03E+02
72.0            4.19E+01
74.0            4.07E+01
76.0            2.08E+02
76.46           2.39E+03
77.04           2.89E+03
78.0            2.02E+02
79.02           9.19E+03
80.0            3.17E+02
82.0            4.26E+02
83.42           4.24E+02
84.0            3.96E+02
86.0            9.32E+02
88.0            9.11E+02
90.0            8.71E+02
92.0            7.88E+02
92.31           8.36E+02
93.34           8.27E+02
93.78           8.23E+02
94.0            6.89E+02
94.97           8.13E+02
96.0            3.37E+02
97.25           3.36E+02
97.7            5.59E+04
98.0            3.14E+02
99.1            5.02E+02
100.0           4.67E+02
102.0           6.49E+02
102.6           3.91E+04
103.5           2.24E+03
106.0           1.71E+03
111.0           2.30E+03
115.0           1.41E+04
115.0012        1.35E+04
115.0024        4.72E+03
115.0156        1.23E+01
115.01920000000001    5.66E+02
115.0204        3.60E+03
115.02159999999999    1.56E+03
115.0288        4.15E+03
115.03          6.17E+03
115.0336        5.03E+02
115.0348        1.44E+03
115.04320000000001    1.06E+03
115.0444        1.09E+03
115.048         1.32E+04
115.0492        9.24E+02
115.0504        2.38E+03
115.05160000000001    2.65E+03
115.0528        7.08E+02
115.054         1.10E+04
115.0588        1.63E+03
115.06120000000001    2.99E+00
115.06479999999999    2.79E+03
115.06600000000002    8.47E+03
115.06720000000001    3.33E+02
115.0684        5.28E+03
115.07080000000002    6.03E+03
115.0732        3.52E+03
115.0768        2.07E+03
115.08040000000001    2.62E+03
115.08160000000001    3.34E+03
115.0828        9.27E+03
115.09120000000001    1.57E+03
115.0924        5.30E+03
115.0936        9.33E+02
115.09480000000002    1.01E+03
115.0972        3.74E+03
115.0984        1.22E+04
115.09960000000001    3.98E+03
115.10560000000001    5.64E+03
115.1068        5.37E+03
115.11040000000001    9.57E+03
115.11160000000001    6.56E+03
