#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	3         	ok              	1.0000000000e+02	1.0968000000e+03	1.2149933183e+21	6.6037228041e+20	2.3673224974e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	3         	ok              	8.4370000000e+01	1.0961000000e+03	1.0257387591e+21	5.5751190839e+20	2.3673092166e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	3         	ok              	7.1180000000e+01	1.0955000000e+03	8.6584838189e+20	4.7061078827e+20	2.3672947878e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	3         	ok              	6.0050000000e+01	1.0951000000e+03	7.3072284654e+20	3.9716915209e+20	2.3672795547e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	3         	ok              	5.0660000000e+01	1.0948000000e+03	6.1662481246e+20	3.3515574924e+20	2.3672640001e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	3         	ok              	4.2740000000e+01	1.0945000000e+03	5.2036313939e+20	2.8283622289e+20	2.3672485937e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	3         	ok              	3.6060000000e+01	1.0943000000e+03	4.3911103607e+20	2.3867426845e+20	2.3672336360e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	3         	ok              	3.0420000000e+01	1.0942000000e+03	3.7046306263e+20	2.0136258424e+20	2.3672193789e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	3         	ok              	2.5670000000e+01	1.0940000000e+03	3.1267166592e+20	1.6995143018e+20	2.3672061197e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	3         	ok              	2.1660000000e+01	1.0939000000e+03	2.6385088358e+20	1.4341583536e+20	2.3671938122e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	3         	ok              	1.8270000000e+01	1.0939000000e+03	2.2255459325e+20	1.2096986666e+20	2.3671824425e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
