(dyn/cm2)     (K)  (cm2s-1)
Pressure    Temp       Kzz
1.000E+10  2410.3  5.00E+07
8.902E+09  2340.9  5.00E+07
7.925E+09  2273.1  5.00E+07
7.055E+09  2206.9  5.00E+07
6.280E+09  2142.4  5.00E+07
5.591E+09  2079.4  5.00E+07
4.977E+09  2017.9  5.00E+07
4.431E+09  1957.9  5.00E+07
3.944E+09  1899.3  5.00E+07
3.511E+09  1842.2  5.00E+07
3.126E+09  1786.5  5.00E+07
2.783E+09  1732.2  5.00E+07
2.477E+09  1679.2  5.00E+07
2.205E+09  1627.6  5.00E+07
1.963E+09  1577.2  5.00E+07
1.748E+09  1528.2  5.00E+07
1.556E+09  1480.4  5.00E+07
1.385E+09  1433.8  5.00E+07
1.233E+09  1388.5  5.00E+07
1.097E+09  1344.3  5.00E+07
9.770E+08  1301.3  5.00E+07
8.697E+08  1259.5  5.00E+07
7.743E+08  1218.8  5.00E+07
6.893E+08  1179.3  5.00E+07
6.136E+08  1140.8  5.00E+07
5.462E+08  1103.5  5.00E+07
4.863E+08  1067.2  5.00E+07
4.329E+08  1032.0  5.00E+07
3.854E+08   997.8  5.00E+07
3.430E+08   964.7  5.00E+07
3.054E+08   932.5  5.00E+07
2.719E+08   901.3  5.00E+07
2.420E+08   871.2  5.00E+07
2.154E+08   841.9  5.00E+07
1.918E+08   813.6  5.00E+07
1.707E+08   786.2  5.00E+07
1.520E+08   759.7  5.00E+07
1.353E+08   734.0  5.00E+07
1.205E+08   709.2  5.00E+07
1.072E+08   685.2  5.00E+07
9.545E+07   661.9  5.00E+07
8.498E+07   639.5  5.00E+07
7.565E+07   617.8  5.00E+07
6.734E+07   596.8  5.00E+07
5.995E+07   576.5  5.00E+07
5.337E+07   556.9  5.00E+07
4.751E+07   537.9  5.00E+07
4.229E+07   519.6  5.00E+07
3.765E+07   502.0  5.00E+07
3.352E+07   484.9  5.00E+07
2.984E+07   468.4  5.00E+07
2.656E+07   452.4  5.00E+07
2.364E+07   437.0  5.00E+07
2.200E+07   427.7  5.00E+07
1.874E+07   407.7  5.00E+07
1.668E+07   393.8  5.00E+07
1.485E+07   380.4  5.00E+07
1.322E+07   367.4  5.00E+07
1.177E+07   354.9  2.00E+07
1.048E+07   342.7  1.00E+07
9.326E+06   331.0  1.00E+06
8.302E+06   319.7  1.00E+05
7.391E+06   308.7  4.00E+04
6.708E+06   300.0  2.88E+04
5.976E+06   289.8  2.78E+04
5.305E+06   279.5  2.68E+04
4.689E+06   269.2  2.58E+04
4.122E+06   259.0  2.48E+04
3.706E+06   250.7  2.41E+04
3.414E+06   244.4  2.35E+04
3.138E+06   238.2  2.29E+04
2.877E+06   231.8  2.23E+04
2.631E+06   225.5  2.17E+04
2.402E+06   219.4  2.11E+04
2.186E+06   212.9  2.05E+04
1.983E+06   206.4  2.00E+04
1.795E+06   200.2  1.94E+04
1.676E+06   196.0  1.90E+04
1.562E+06   191.7  1.86E+04
1.455E+06   187.3  1.82E+04
1.352E+06   182.9  1.78E+04
1.255E+06   178.8  1.74E+04
1.162E+06   174.3  1.70E+04
1.074E+06   170.1  1.66E+04
9.904E+05   165.4  1.62E+04
9.115E+05   161.3  1.58E+04
8.373E+05   156.9  1.54E+04
7.670E+05   152.4  1.50E+04
7.006E+05   147.6  1.46E+04
6.386E+05   144.3  1.42E+04
5.807E+05   141.7  1.38E+04
5.272E+05   139.0  1.34E+04
4.782E+05   136.6  1.30E+04
4.324E+05   134.0  1.26E+04
3.906E+05   131.3  1.22E+04
3.517E+05   128.3  1.19E+04
3.160E+05   125.1  1.15E+04
2.832E+05   121.7  6.72E+02
2.531E+05   118.3  7.15E+02
2.252E+05   115.0  7.62E+02
1.999E+05   112.1  8.14E+02
1.770E+05   109.9  8.70E+02
1.563E+05   108.8  9.32E+02
1.380E+05   108.7  9.98E+02
1.220E+05   110.0  1.07E+03
1.079E+05   111.9  1.14E+03
9.570E+04   114.3  1.22E+03
7.596E+04   120.1  1.39E+03
5.773E+04   126.9  1.61E+03
4.225E+04   132.8  1.91E+03
3.130E+04   137.5  2.26E+03
2.340E+04   141.4  2.65E+03
1.763E+04   144.6  3.10E+03
1.275E+04   147.8  3.70E+03
9.290E+03   151.0  4.40E+03
6.820E+03   154.4  5.22E+03
5.041E+03   157.9  6.16E+03
3.751E+03   160.9  7.25E+03
2.803E+03   163.0  8.51E+03
2.019E+03   164.4  1.02E+04
1.456E+03   165.0  1.22E+04
1.053E+03   165.3  1.46E+04
7.612E+02   165.4  2.00E+04
5.507E+02   165.4  2.82E+04
3.986E+02   165.4  3.98E+04
2.888E+02   165.4  5.60E+04
2.092E+02   165.4  7.89E+04
1.517E+02   165.4  1.11E+05
1.100E+02   165.4  1.56E+05
7.979E+01   165.4  2.19E+05
5.790E+01   165.4  3.08E+05
4.206E+01   165.6  4.33E+05
3.056E+01   165.7  6.08E+05
2.223E+01   166.0  8.52E+05
1.619E+01   166.4  1.19E+06
1.179E+01   166.8  1.67E+06
8.608E+00   167.5  2.33E+06
6.293E+00   168.3  2.71E+06
4.611E+00   169.4  2.97E+06
3.387E+00   170.9  3.26E+06
2.497E+00   172.8  3.57E+06
1.850E+00   175.4  3.91E+06
1.378E+00   178.9  4.27E+06
9.984E-01   184.2  4.70E+06
7.322E-01   191.5  5.16E+06
5.446E-01   201.4  5.64E+06
4.006E-01   216.9  6.19E+06
2.946E-01   241.0  6.78E+06
2.200E-01   282.8  7.40E+06
1.653E-01   330.5  8.07E+06
1.228E-01   380.1  8.82E+06
9.084E-02   432.7  9.66E+06
6.702E-02   486.5  1.06E+07
4.940E-02   539.5  1.16E+07
3.602E-02   592.5  1.27E+07
2.623E-02   641.9  1.40E+07
1.907E-02   687.0  1.54E+07
1.391E-02   726.7  1.70E+07
1.009E-02   761.8  1.87E+07
7.313E-03   791.6  2.06E+07
5.287E-03   816.8  2.27E+07
3.807E-03   837.8  2.50E+07
2.744E-03   854.8  2.76E+07
1.979E-03   868.5  3.04E+07
1.425E-03   879.5  3.36E+07
1.025E-03   888.2  3.71E+07
7.392E-04   895.1  4.09E+07
5.315E-04   900.6  4.51E+07
3.833E-04   904.8  4.98E+07
2.753E-04   908.2  5.50E+07
1.981E-04   910.7  6.07E+07
1.428E-04   912.8  6.70E+07
1.025E-04   914.4  7.40E+07
7.374E-05   915.7  8.16E+07
