# (dyne/cm2) (K)     (cm2/s)  from CIRA
Pressure	Temp  	 Kzz
1.013E+06   300.8    1.12E+05
7.889E+05   287.8    1.00E+05
6.144E+05   276.9    1.00E+05
4.785E+05   265.7    1.00E+05
3.727E+05   253.6    1.00E+05
2.902E+05   240.0    8.40E+04
2.260E+05   226.2    2.48E+04
1.760E+05   212.1    7.78E+03
1.371E+05   200.4    5.08E+03
1.068E+05   194.9    3.99E+03
8.315E+04   196.7    3.90E+03
6.476E+04   201.3    4.20E+03
5.043E+04   205.9    4.95E+03
3.928E+04   210.6    6.04E+03
3.059E+04   214.8    7.41E+03
2.382E+04   218.1    9.00E+03
1.855E+04   220.8    1.07E+04
1.445E+04   223.6    1.28E+04
1.125E+04   227.5    1.52E+04
8.764E+03   233.0    1.77E+04
6.826E+03   239.1    2.08E+04
5.316E+03   244.6    2.51E+04
4.140E+03   249.5    3.08E+04
3.224E+03   253.7    3.76E+04
2.511E+03   257.6    4.55E+04
1.956E+03   260.9    5.71E+04
1.523E+03   263.6    6.88E+04
1.186E+03   265.7    8.56E+04
9.237E+02   267.3    1.04E+05
7.194E+02   267.9    1.12E+05
5.603E+02   267.4    1.12E+05
4.363E+02   265.3    1.12E+05
3.398E+02   261.7    1.12E+05
2.647E+02   256.6    1.12E+05
2.061E+02   250.7    1.12E+05
1.605E+02   244.5    1.12E+05
1.250E+02   237.9    1.12E+05
9.740E+01   231.3    1.12E+05
7.580E+01   225.0    1.12E+05
5.910E+01   219.6    1.12E+05
4.600E+01   215.3    1.12E+05
3.580E+01   212.4    1.12E+05
2.790E+01   210.4    1.12E+05
2.170E+01   208.9    1.12E+05
1.690E+01   207.7    1.12E+05
1.320E+01   206.9    1.12E+05
1.030E+01   206.0    1.12E+05
7.990E+00   204.5    1.12E+05
6.220E+00   202.3    1.12E+05
4.850E+00   199.1    1.12E+05
3.780E+00   195.7    1.12E+05
2.940E+00   192.7    1.12E+05
2.290E+00   190.1    1.12E+05
1.780E+00   188.5    1.12E+05
1.390E+00   187.5    1.12E+05
1.080E+00   187.2    1.12E+05
8.420E-01   187.3    1.12E+05
6.560E-01   187.2    1.12E+05
5.110E-01   187.3    1.12E+05
3.980E-01   187.6    1.12E+05
3.100E-01   188.3    1.12E+05
2.410E-01   189.4    1.12E+05
1.880E-01   191.7    1.12E+05
1.460E-01   195.7    1.12E+05
1.140E-01   202.2    1.12E+05
8.880E-02   211.4    1.12E+05
6.910E-02   226.3    1.12E+05
5.380E-02   250.7    1.12E+05
4.190E-02   283.2    1.12E+05
3.270E-02   323.8    1.12E+05
2.540E-02   372.5    1.12E+05
