# WL(nm)    Flux(ergs/cm**2/s/nm)
1.001   5.088112E+01
1.002   5.091323E+01
1.003   5.105768E+01
1.004   5.111319E+01
1.004   5.118925E+01
1.006   5.143033E+01
1.006   5.402804E+01
1.008   5.184628E+01
1.009   5.163608E+01
1.010   5.190807E+01
1.011   5.795508E+01
1.012   1.260775E+02
1.012   8.798812E+01
1.014   5.232645E+01
1.014   5.244442E+01
1.016   5.294471E+01
1.016   5.236165E+01
1.018   5.246466E+01
1.019   5.306828E+01
1.020   5.273116E+01
1.020   5.329265E+01
1.022   5.281953E+01
1.022   5.290128E+01
1.024   1.158200E+03
1.024   5.309326E+01
1.026   5.318319E+01
1.027   5.327871E+01
1.028   5.337406E+01
1.028   5.553082E+01
1.030   5.364196E+01
1.030   5.370214E+01
1.032   5.418483E+01
1.032   5.399735E+01
1.034   5.392215E+01
1.035   5.401336E+01
1.036   5.425331E+01
1.036   6.311048E+01
1.038   4.896367E+01
1.038   4.906787E+01
1.040   1.353282E+02
1.040   4.918731E+01
1.041   4.927391E+01
1.043   4.935750E+01
1.044   5.282850E+01
1.044   6.100025E+01
1.046   5.037032E+01
1.046   5.385024E+01
1.048   5.198411E+01
1.048   6.374863E+01
1.049   4.998054E+01
1.051   2.293760E+02
1.052   5.546967E+01
1.052   5.017338E+01
1.054   9.720010E+01
1.054   5.267957E+01
1.056   5.793421E+01
1.056   5.871865E+01
1.057   5.102141E+01
1.059   5.264580E+01
1.060   5.821931E+01
1.060   5.105046E+01
1.062   5.112529E+01
1.062   5.171075E+01
1.064   5.116857E+01
1.065   5.403451E+01
1.065   2.035581E+02
1.067   5.145007E+01
1.068   5.198526E+01
1.069   5.228909E+01
1.070   5.179100E+01
1.071   5.268727E+01
1.072   5.170540E+01
1.073   5.194475E+01
1.073   5.192952E+01
1.075   5.233382E+01
1.076   5.205629E+01
1.077   4.466088E+02
1.078   3.303247E+02
1.079   5.426523E+01
1.080   5.237987E+01
1.081   5.239177E+01
1.081   6.240123E+01
1.083   5.277165E+01
1.084   5.287348E+01
1.085   5.334702E+01
1.086   5.581401E+01
1.087   5.284213E+01
1.088   5.289716E+01
1.089   5.298751E+01
1.089   5.314847E+01
1.091   5.317587E+01
1.091   5.323311E+01
1.093   5.328754E+01
1.094   5.336356E+01
1.095   5.370497E+01
1.096   5.349352E+01
1.097   5.354210E+01
1.097   5.364193E+01
1.099   5.389816E+01
1.099   5.385184E+01
1.101   9.567895E+02
1.102   5.391559E+01
1.103   1.579742E+02
1.104   5.433923E+01
1.105   5.417189E+01
1.105   6.810160E+01
1.107   5.429911E+01
1.107   5.438664E+01
1.109   5.933767E+01
1.110   5.598588E+01
1.111   5.474978E+01
1.112   5.468985E+01
1.113   5.475798E+01
1.113   4.702528E+02
1.115   5.496837E+01
1.115   5.677206E+01
