# WL(nm)	 Flux(ergs/cm**2/s/nm)
0.5499443054      6.9734E+02
0.6499443054      1.8291E+03
0.7499443054      2.7279E+03
0.8499443054      3.1280E+03
0.9499443054      3.1280E+03
1.0499443054      3.1280E+03
1.1499443054      4.8516E+03
1.2499443054      7.8311E+03
1.3499443054      7.7741E+03
1.4499443054      7.6427E+03
1.5499443054      7.6427E+03
1.6499443054      6.9323E+03
1.7499443054      6.9154E+03
1.8499443054      6.9154E+03
1.9499443054      4.5721E+03
2.0499443054      3.5644E+03
2.1499443054      3.5644E+03
2.2499443054      3.5644E+03
2.3499443054      3.5644E+03
2.4499443054      3.5644E+03
2.5499443054      3.5644E+03
2.6499443054      3.5644E+03
2.7499443054      3.5644E+03
2.8499443054      3.5644E+03
2.9499443054      1.8783E+03
3.0499443054      1.4409E+03
3.1499443054      1.0894E+03
3.2499443054      1.9839E+03
3.3499443054      3.0233E+03
3.4499443054      8.1449E+02
3.5499443054      7.8045E+02
3.6499443054      1.2644E+03
3.7499443054      9.3427E+02
3.8499443054      7.3295E+02
3.9499443054      7.3484E+02
4.0499443054      1.2059E+03
4.1499443054      7.1555E+02
4.2499443054      6.5538E+02
4.3499443054      7.6792E+02
4.4499443054      1.2451E+03
4.5499443054      8.6777E+02
4.6499443054      7.2422E+02
4.7499443054      5.7607E+02
4.8499443054      5.1714E+02
4.9499443054      5.9226E+02
5.0499443054      7.2335E+02
5.1499443054      4.3775E+02
5.2499443054      5.5089E+02
5.3499443054      4.3037E+02
5.4499443054      6.5653E+02
5.5499443054      4.0536E+02
5.6499443054      3.8974E+02
5.7499443054      6.2498E+02
5.8499443054      3.7124E+02
5.9499443054      3.9963E+02
6.0499443054      3.5704E+02
6.1499443054      3.3020E+02
6.2499443054      4.8028E+02
6.3499443054      8.9148E+02
6.4499443054      3.1889E+02
6.5499443054      5.3386E+02
6.6499443054      5.4496E+02
6.7499443054      3.5090E+02
6.8499443054      2.6759E+02
6.9499443054      3.4411E+02
7.0499443054      2.5151E+02
7.1499443054      2.3906E+02
7.2499443054      2.3434E+02
7.3499443054      2.9777E+02
7.4499443054      2.9370E+02
7.5499443054      2.8675E+02
7.6499443054      2.7893E+02
7.7499443054      2.2530E+02
7.8499443054      2.2502E+02
7.9499443054      1.9711E+02
8.0499443054      2.0583E+02
8.1499443054      2.0344E+02
8.2499443054      1.9566E+02
8.3499443054      1.9662E+02
8.4499443054      1.6803E+02
8.5499443054      1.6726E+02
8.6499443054      1.6585E+02
8.7499443054      2.5230E+02
8.8499443054      2.1609E+02
8.9499443054      1.6411E+02
9.0499443054      1.8246E+02
9.1499443054      1.9680E+02
9.2499443054      1.4706E+02
9.3499443054      3.7976E+02
9.4499443054      2.0234E+02
9.5499443054      1.4529E+02
9.6499443054      1.3735E+02
9.7499443054      1.6295E+02
9.8499443054      2.5060E+02
9.9499443054      1.3065E+02
10.0499443054     6.4433E+03
10.1499443054     6.4469E+03
10.2499443054     6.4469E+03
10.3499443054     6.4469E+03
10.4499443054     6.4469E+03
10.5499443054     6.4469E+03
10.6499443054     6.4469E+03
10.7499443054     6.4469E+03
10.8499443054     6.4469E+03
10.9499443054     6.4469E+03
11.0499443054     6.4469E+03
11.1499443054     6.4469E+03
11.2499443054     6.4469E+03
11.3499443054     6.4469E+03
11.4499443054     6.4469E+03
11.5499443054     6.4469E+03
11.6499443054     6.4469E+03
11.7499443054     6.4469E+03
11.8499443054     6.4469E+03
11.9499443054     6.4469E+03
12.0499443054     6.4469E+03
12.1499443054     6.4469E+03
12.2499443054     6.4469E+03
12.3499443054     6.4469E+03
12.4499443054     6.4469E+03
12.5499443054     6.4469E+03
12.6499443054     6.4469E+03
12.7499443054     6.4469E+03
12.8499443054     6.4469E+03
12.9499443054     6.4469E+03
13.0499443054     6.4469E+03
13.1499443054     6.4469E+03
13.2499443054     6.4469E+03
13.3499443054     6.4469E+03
13.4499443054     6.4469E+03
13.5499443054     6.4469E+03
13.6499443054     6.4469E+03
13.7499443054     6.4469E+03
13.8499443054     6.4469E+03
13.9499443054     6.4469E+03
14.0499443054     6.4469E+03
14.1499443054     6.4469E+03
14.2499443054     6.4469E+03
14.3499443054     6.4469E+03
14.4499443054     6.4469E+03
14.5499443054     6.4469E+03
14.6499443054     6.4469E+03
14.7499443054     6.4469E+03
14.8499443054     6.4469E+03
14.9499443054     6.4469E+03
15.0499443054     6.4469E+03
15.1499443054     6.4469E+03
15.2499443054     6.4469E+03
15.3499443054     6.4469E+03
15.4499443054     6.4469E+03
15.5499443054     6.4469E+03
15.6499443054     6.4469E+03
15.7499443054     6.4469E+03
15.8499443054     6.4469E+03
15.9499443054     6.4469E+03
16.0499443054     6.4469E+03
16.1499443054     6.4469E+03
16.2499443054     6.4469E+03
16.3499443054     6.4469E+03
16.4499443054     6.4469E+03
16.5499443054     6.4469E+03
16.6499443054     6.4469E+03
16.7499443054     6.4469E+03
16.8499443054     6.4469E+03
16.9499443054     6.4469E+03
17.0499443054     6.4469E+03
17.1499443054     6.4469E+03
17.2499443054     6.4469E+03
17.3499443054     6.4469E+03
17.4499443054     6.4469E+03
17.5499443054     6.4469E+03
17.6499443054     6.4469E+03
17.7499443054     6.4469E+03
17.8499443054     6.4469E+03
17.9499443054     6.4469E+03
18.0499443054     6.4469E+03
18.1499443054     6.4469E+03
18.2499443054     6.4469E+03
18.3499443054     6.4469E+03
18.4499443054     6.4469E+03
18.5499443054     6.4469E+03
18.6499443054     6.4469E+03
18.7499443054     6.4469E+03
18.8499443054     6.4469E+03
18.9499443054     6.4469E+03
19.0499443054     6.4469E+03
19.1499443054     6.4469E+03
19.2499443054     6.4469E+03
19.3499443054     6.4469E+03
19.4499443054     6.4469E+03
19.5499443054     6.4469E+03
19.6499443054     6.4469E+03
19.7499443054     6.4469E+03
19.8499443054     6.4469E+03
19.9499443054     6.4469E+03
20.0499443054     5.6543E+03
20.1499443054     5.6539E+03
20.2499443054     5.6539E+03
20.3499443054     5.6539E+03
20.4499443054     5.6539E+03
20.5499443054     5.6539E+03
20.6499443054     5.6539E+03
20.7499443054     5.6539E+03
20.8499443054     5.6539E+03
20.9499443054     5.6539E+03
21.0499443054     5.6539E+03
21.1499443054     5.6539E+03
21.2499443054     5.6539E+03
21.3499443054     5.6539E+03
21.4499443054     5.6539E+03
21.5499443054     5.6539E+03
21.6499443054     5.6539E+03
21.7499443054     5.6539E+03
21.8499443054     5.6539E+03
21.9499443054     5.6539E+03
22.0499443054     5.6539E+03
22.1499443054     5.6539E+03
22.2499443054     5.6539E+03
22.3499443054     5.6539E+03
22.4499443054     5.6539E+03
22.5499443054     5.6539E+03
22.6499443054     5.6539E+03
22.7499443054     5.6539E+03
22.8499443054     5.6539E+03
22.9499443054     5.6539E+03
23.0499443054     5.6539E+03
23.1499443054     5.6539E+03
23.2499443054     5.6539E+03
23.3499443054     5.6539E+03
23.4499443054     5.6539E+03
23.5499443054     5.6539E+03
23.6499443054     5.6539E+03
23.7499443054     5.6539E+03
23.8499443054     5.6539E+03
23.9499443054     5.6539E+03
24.0499443054     5.6539E+03
24.1499443054     5.6539E+03
24.2499443054     5.6539E+03
