#(dyne/cm2) (K)
Pressure	 Temp
1.000e+09    2674.5
7.943e+08    2534.5
6.310e+08    2399.2
5.012e+08    2268.7
3.981e+08    2143.2
3.162e+08    2022.7
2.512e+08    1907.3
1.995e+08    1797.0
1.585e+08    1699.3
1.259e+08    1616.2
1.000e+08    1546.2
7.943e+07    1487.9
6.310e+07    1440.2
5.012e+07    1402.6
3.981e+07    1373.6
3.162e+07    1350.9
2.512e+07    1333.5
1.995e+07    1320.5
1.585e+07    1310.8
1.259e+07    1303.7
1.000e+07    1298.5
7.943e+06    1294.8
6.310e+06    1292.1
5.012e+06    1290.2
3.981e+06    1288.9
3.162e+06    1288.0
2.512e+06    1287.4
1.995e+06    1287.2
1.585e+06    1287.2
1.259e+06    1287.3
1.000e+06    1286.3
7.943e+05    1283.8
6.310e+05    1278.9
5.012e+05    1271.5
3.981e+05    1262.7
3.162e+05    1252.3
2.512e+05    1241.3
1.995e+05    1231.1
1.585e+05    1219.5
1.259e+05    1204.2
1.000e+05    1183.8
7.943e+04    1164.9
6.310e+04    1148.0
5.012e+04    1134.8
3.981e+04    1126.1
3.162e+04    1120.2
2.512e+04    1118.4
1.995e+04    1118.1
1.585e+04    1115.9
1.259e+04    1111.2
1.000e+04    1101.4
7.943e+03    1097.7
6.310e+03    1096.2
5.012e+03    1095.2
3.981e+03    1094.2
3.162e+03    1092.8
2.512e+03    1091.0
1.995e+03    1088.3
1.585e+03    1084.6
1.259e+03    1079.8
1.000e+03    1073.9
7.943e+02    1071.0
6.310e+02    1069.0
5.012e+02    1067.2
3.981e+02    1065.7
3.162e+02    1064.3
2.512e+02    1062.8
1.995e+02    1061.2
1.585e+02    1059.5
1.259e+02    1057.3
1.000e+02    1054.1
7.943e+01    1051.9
6.310e+01    1049.5
5.012e+01    1046.6
3.981e+01    1043.4
3.162e+01    1039.9
2.512e+01    1035.6
1.995e+01    1030.9
1.585e+01    1026.0
1.259e+01    1020.5
1.000e+01    1014.0
7.943e+00    1007.5
6.310e+00    1000.0
5.012e+00     991.5
3.981e+00     982.4
3.162e+00     972.9
2.512e+00     962.6
1.995e+00     952.3
1.585e+00     943.5
1.259e+00     935.3
1.000e+00     927.7
