# Branching ratios for H2CO -> (1)H2 + CO   (2)H + HCO   # from PhiDrates (<250nm) and Sanders (>=250nm) (H + H + CO < 210 nm is combined into H2 + CO)
# lambda , br_ratio_1, br_ratio_2
1.000e-01,    1.000,    0.000
1.000e+00,    1.000,    0.000
2.250e+00,    1.000,    0.000
2.350e+00,    1.000,    0.000
4.100e+00,    1.000,    0.000
4.300e+00,    1.000,    0.000
5.000e+00,    1.000,    0.000
1.000e+01,    1.000,    0.000
2.000e+01,    1.000,    0.000
3.000e+01,    1.000,    0.000
4.000e+01,    1.000,    0.000
5.000e+01,    1.000,    0.000
6.000e+01,    1.000,    0.000
6.150e+01,    1.000,    0.000
6.240e+01,    1.000,    0.000
6.280e+01,    1.000,    0.000
6.340e+01,    1.000,    0.000
6.420e+01,    1.000,    0.000
6.600e+01,    1.000,    0.000
6.700e+01,    1.000,    0.000
6.800e+01,    1.000,    0.000
6.900e+01,    1.000,    0.000
7.040e+01,    1.000,    0.000
7.190e+01,    1.000,    0.000
7.210e+01,    1.000,    0.000
7.230e+01,    1.000,    0.000
7.250e+01,    1.000,    0.000
7.350e+01,    1.000,    0.000
7.370e+01,    1.000,    0.000
7.410e+01,    1.000,    0.000
7.440e+01,    1.000,    0.000
7.500e+01,    1.000,    0.000
7.520e+01,    1.000,    0.000
7.600e+01,    1.000,    0.000
7.700e+01,    1.000,    0.000
7.740e+01,    1.000,    0.000
7.780e+01,    1.000,    0.000
7.800e+01,    1.000,    0.000
7.850e+01,    1.000,    0.000
7.910e+01,    1.000,    0.000
7.930e+01,    1.000,    0.000
8.000e+01,    1.000,    0.000
8.010e+01,    1.000,    0.000
8.050e+01,    1.000,    0.000
8.070e+01,    1.000,    0.000
8.120e+01,    1.000,    0.000
8.130e+01,    1.000,    0.000
8.150e+01,    1.000,    0.000
8.300e+01,    1.000,    0.000
8.320e+01,    1.000,    0.000
8.380e+01,    1.000,    0.000
8.400e+01,    1.000,    0.000
8.440e+01,    1.000,    0.000
8.500e+01,    1.000,    0.000
8.530e+01,    1.000,    0.000
8.570e+01,    1.000,    0.000
8.600e+01,    1.000,    0.000
8.670e+01,    1.000,    0.000
8.700e+01,    1.000,    0.000
8.750e+01,    1.000,    0.000
8.790e+01,    1.000,    0.000
8.810e+01,    1.000,    0.000
8.820e+01,    1.000,    0.000
9.000e+01,    1.000,    0.000
9.060e+01,    1.000,    0.000
9.100e+01,    1.000,    0.000
9.150e+01,    1.000,    0.000
9.190e+01,    1.000,    0.000
9.270e+01,    1.000,    0.000
9.280e+01,    1.000,    0.000
9.300e+01,    1.000,    0.000
9.330e+01,    1.000,    0.000
