# Branching ratios for O3 -> (1)O2 + O   (2)O2 + O_1   from PhiDrates (<220nm) and Matsumi (>=220nm)
# lambda , br_ratio_1, br_ratio_2
2.100e+02,    0.000,    1.000
2.200e+02,    0.100,    0.900
3.000e+02,    0.100,    0.900
3.060e+02,    0.125,    0.875
3.070e+02,    0.156,    0.844
3.080e+02,    0.240,    0.760
3.090e+02,    0.384,    0.616
3.100e+02,    0.557,    0.443
3.110e+02,    0.702,    0.298
3.120e+02,    0.792,    0.208
3.130e+02,    0.838,    0.162
3.140e+02,    0.857,    0.143
3.150e+02,    0.864,    0.136
3.160e+02,    0.867,    0.133
3.170e+02,    0.871,    0.129
3.180e+02,    0.877,    0.123
3.190e+02,    0.884,    0.116
3.200e+02,    0.891,    0.109
3.210e+02,    0.899,    0.101
3.220e+02,    0.905,    0.095
3.230e+02,    0.911,    0.089
3.240e+02,    0.915,    0.085
3.250e+02,    0.918,    0.082
3.260e+02,    0.920,    0.080
