# VULCAN N-C-H-O network for reducing atmospheres
#########################################################################################################################################################
# logged history
# 7.2024 update CH2OH+M=H+H2CO+M and CH3O+M=H+H2CO+M (See Appendix B in Tsai+2024b)
# 10.2020 added C4H5 C6H5 recombination pathways to form C6H6
# 10.2020 replaced H2O + H with OH + H2 (faster for water recycling at T < 250K)
# 9.2020 added C3H4 (CH2=C=CH2) and OH + CH3 -> CH2_1 + H2O
# 9.2020 changed NH3+NH2=N2H3+H2 to Venot's rate(Konnov) and updated the rate of N2H2 + H -> N2H + H2 
# 8.2020 updated
# [ CH2 + C2H2 -> C3H2 + H2            ]  1.00E-12     0.0      3332.0       Bohland1986(Moses2006)
# [ CH2 + C2H2 -> C3H3 + H             ]  3.99E-11     0.0      3332.0       Appel_Frenklach2000
# [ CH2 + C2H -> C3H2 + H              ]  3.01E-11     0.0         0.0       Est_C2H+CH2=C2H2+CH      300-2500
# [ CH + C2H2 -> C3H2 + H              ]  1.50E-10     0.0      -252.0       1998GUA/SCH5857-5866     300-1000 
# [ CH3 + C2H -> C3H3 + H              ]  6.64E-11     0.0         0.0       Appel_Frenklach2000	
# [ CH2_1 + C2H2 -> C3H3 + H           ]  5.00E-11     0.000       0.0       Wang&Frenklach(1997)  
# 8.2020 add HO2 and H2O2 reactions and H2CN + H -> HCN + H2; add HC3N (H2CN unimportant) 
# 8.2020 removed CN + M -> C + N + M and CN + C2H2 -> C2H + HCN  and CN + C2H4 -> C2H3 + HCN
# 6.2020 add CH3CHO + H -> H2 + CH3CO and N2H3 + NH -> N2H2 + NH2
# 9.2019 updated and added a few CH2_1 and O_1 reactions; removing CH3NH (only CH2NH, CH2NH2, CH3NH2 are important (Tsai2018))
# v813: Add CH3HN2, CH3HN, CH2NH2, and CH2NH; v814 reduced from v813 and reromved a few reactions involving CH2NH
# v827: removed N_D (N2D) because I don't have its nasa9 gibbs energy (only nasa7 in venot's thesis)
# v925: removed O + C2H3 -> HCO + CH2 and O + C2H4 -> H2CO + CH2; corrected a typo in NH + NO -> N2O + H
# v518: added NH2 + NH3 -> N2H3 + H2 then removed; NH2 + NH2 + M -> N2H4 + M; NH3 -> NH + H + H (2nd branch)
# v618: added  CH + H2O -> H2CO + H; OH photo; CH3CHO; add HCCO + H2 -> H2CCO + H and OH + C2H2 -> H2CCO + H
# v018: added HNO (HNO <-> NOx) and HNO2
# v118: added the photodisociation of NO and NO2
# v218: added more HNO <-> NOx reactions (so far v118 is the best)
# v0718: Higher rate of CH + CH2 from Moses; updated C + C + M -> C2 + M and reverse NH + M -> N + H 
##########################################################################################################################################################
# In Temp, KIDA means the values are close to those on KIDA
# in the form of k = A T^B exp(-C/T)
# Two-body Reactions
# id	Reactions                           	A       	B       	C      Ref 			             Temp  

1    [ OH + H2 -> H2O + H                 ]  3.57E-16     1.520    1740.0      1992OLD/LOG8426-8430      250-2580
3    [ O + H2 -> OH + H                   ]  8.52E-20     2.670    3160.0                                300-2500
5    [ O + H2O -> OH + OH                 ]  8.20E-14     0.950    8570.0                                250-2400
7    [ H + CH -> H2 + C                   ]  1.31E-10     0.000      80.0                                300-2000
9    [ H + CH2 -> CH + H2                 ]  1.00E-11     0.000    -900.0                                300-3000
11   [ CH2 + H2 -> H + CH3                ]  7.32E-19     2.300    3699.0                                200-3000
13   [ H + CH4 -> CH3 + H2                ]  2.20E-20     3.000    4040.0                                300-2500
15   [ C + CH -> C2 + H                   ]  1.05E-12     0.500       0.0       KIDA                     10-300
17   [ CH3 + C -> H + C2H2                ]  1.00E-10     0.000       0.0                                10-280
19   [ H2 + C2H -> H + C2H2               ]  9.20E-18     2.170     478.0                                295-854
21   [ CH + CH2  -> H + C2H2              ]  1.58E-08    -0.900       0.0       Moses(based on CH+CH4)
23   [ H + C2H3 -> C2H2 + H2              ]  2.01E-11     0.000       0.0                                300-3000
25   [ H2 + C2H3 -> H + C2H4              ]  5.00E-20     2.630    4300.0                                300-2500
27   [ CH + CH4 -> H + C2H4               ]  5.00E-11     0.000    -200.0                                KIDA
29   [ CH2 + CH3 -> H + C2H4              ]  7.01E-11     0.000       0.0                                300-3000
31   [ H + C2H5 -> CH3 + CH3              ]  5.99E-11     0.000       0.0                                300-2000
33   [ H + C2H5 -> C2H4 + H2              ]  3.01E-12     0.000       0.0                                300-2500
35   [ H + C2H6 -> C2H5 + H2              ]  9.19E-22     3.500    2600.0                                300-2500
37   [ OH + CO -> H + CO2                 ]  1.05E-17     1.500    -250.0                                300-2000
39   [ CH + CH3 -> H2 + C2H2              ]  1.00E-11     0.000       0.0                                --
41   [ C2 + O -> C + CO                   ]  1.05E-12     0.000       0.0                                --
43   [ CH2 + CH2 -> C2H2 + H + H          ]  1.80E-10     0.000     400.0                                --
45   [ CH2 + CH2 -> CH + CH3              ]  3.98E-10     0.000    5000.0                                --
47   [ CH2 + CH2 -> H + C2H3              ]  3.32E-11     0.000       0.0                                --
49   [ CH2 + CH4 -> CH3 + CH3             ]  4.09E-18     2.000    4162.0                                --
51   [ CH2 + C2H5 -> CH3 + C2H4           ]  3.01E-11     0.000       0.0                                300-2500
53   [ CH3 + OH -> CH2 + H2O              ]  1.85E-21     3.000    1400.0                                200-2250
55   [ C2H + OH -> CH2 + CO               ]  3.01E-11     0.000       0.0                                300-2500
57   [ C2H2 + O -> CH2 + CO               ]  6.78E-16     1.500     854.0                                300-2500
59   [ CH3 + C2H -> C2H2 + CH2            ]  1.00E-11     0.000       0.0                                --
61   [ CH4 + C2H -> CH3 + C2H2            ]  3.01E-12     0.000     250.0                                300-2500
63   [ CH3 + C2H3 -> CH4 + C2H2           ]  6.51E-13     0.000       0.0                                300-2500
