# VULCAN P-H-O network for reducing atmospheres
##########################################################################################################################################################
# logged history
# 11.2022 Elspeth K. H.  Lee - converted from Wang et al. (2016)/Twarowski (1995) P/H/O network with H/O reaction coefficients from VULCAN -
# This is the full Wang et al. (2016) P/H/O network with added photochemical reactions
# 5.2023 Elspeth K. H.  Lee - Added (non speculative) Moses reactions and replaced some reactions
# 6.2023 Elspeth K. H. Lee - Added Plane P2O6 reaction rate + photochemical species
##########################################################################################################################################################
# In Temp, KIDA means the values are close to those on KIDA
# in the form of k = A T^B exp(-C/T)
# Two-body Reactions
# id	Reactions                           	A       	B       	C      Ref 			             Temp

1    [ O + OH -> O2 + H                   ]  7.47E-10    -0.500      30.0                       200-2500
3    [ OH + H2 -> H2O + H                 ]  3.57E-16     1.520    1740.0      1992OLD/LOG8426-8430      250-2580
5    [ O + H2O -> OH + OH                 ]  8.20E-14     0.950    8570.0                                250-2400
7    [ O + H2 -> OH + H                   ]  8.52E-20     2.670    3160.0                                300-2500
9    [ O_1 + H2 -> OH + H                 ]  2.87E-10     0.000       0.0       1975TUL1893              100-2100
11   [ O_1 + O2 -> O + O2                 ]  3.20E-11     0.        -70.0       1997DEM/SAN1-266         200-300
13   [ O_1 + H2O -> OH + OH               ]  1.62E-10     0.000     -65.0       2004DUN/RAV3333-3340     235-370
15   [ HO2 + H -> OH + OH                 ]  2.81E-10     0.        440.0      1992BAU/COB411-429         300-1000
17   [ HO2 + H -> O2 + H2                 ]  7.11E-11     0.        710.0      1992BAU/COB411-429         300-1000
19   [ O + HO2 -> OH + O2                 ]  2.70E-11     0.       -224.0      2004ATK/BAU1461-1738       220-440
21   [ OH + HO2 -> H2O + O2               ]  2.40E-08    -1.00        0.0       1986TSA/HAM1087          300-2500
23   [ H2O2 + H -> H2 + HO2               ]  2.81E-12     0.       1890.0      1992BAU/COB411-429         300-1000
25   [ H2O2 + H -> OH + H2O               ]  1.69E-11     0.       1800.0      1992BAU/COB411-429         300-1000
27   [ O + H2O2 -> OH + HO2               ]  1.40E-12     0.       2000.0      2004ATK/BAU1461-1738       280-390
29   [ OH + H2O2 -> H2O + HO2             ]  2.90E-12     0.        160.0      2004ATK/BAU1461-1738       240-460
#69   [ H2O + PO3 -> OH + HOPO2            ]  5.25E-13      0.000    0.0         Wang et al. (2016)/Twarowski (1995)
31   [ OH + HOPO2 -> PO3 + H2O            ]  1.993E-18      2.000  1007.00        Jayaweera+05; Glaude+00
#69   [ H2 + PO3 -> H + HOPO2              ]  5.25E-13      0.000    0.0         Wang et al. (2016)/Twarowski (1995)
33   [ H2 + PO3 -> H + HOPO2               ]  3.321E-12      0.000    0.0           Jayaweera+05; Glaude+00
#75   [ O2 + PO -> O + PO2                 ]  5.25E-13      0.000    2884.13     Wang et al. (2016)/Twarowski (1995)
#69   [ O2 + PO -> O + PO2                 ]  2.50E-12      0.305    0.0         Plane_et_al.(2021)
35   [ O2 + PO -> O + PO2                 ]  2.30E-11      0.000    100.0      Douglas et al. (2020/2022)
#77   [ O2 + P -> O + PO                   ]  5.25E-11      0.000    2111.98     Wang et al. (2016)/Twarowski (1995)
#281  [ O2 + P -> O + PO                  ]  8.84e-19      2.24      0.0        Plane_et_al.(2021)
37   [ O2 + P -> O + PO                   ]  4.20E-12      0.000    600.0       Douglas et al. (2019/2022)
39   [ O2 + PH -> O + HPO                 ]  5.25E-13      0.000    2012.16     Wang et al. (2016)/Twarowski (1995)
#81   [ H + HOPO -> H2O + PO               ]  5.25E-11      0.000    6013.62    Wang et al. (2016)/Twarowski (1995) 
41   [ H + HOPO -> H2O + PO               ]  4.98E-12       0.000    4176.72    Jayaweera+05
#41   [ H + HOPO -> H2O + PO               ]  5.25E-12      0.166    4176.72     Mackie et al. (2002)
#83   [ H + HOPO -> H2 + PO2               ]  5.25E-11      0.000    21.65      Wang et al. (2016)/Twarowski (1995)
43   [ H + HOPO -> H2 + PO2               ]  3.55E-17      1.94      5072.45    Haworth et al. (2002)
#85   [ H + HOPO2 -> H2O + PO2             ]  5.25E-11      0.000    6013.62    Wang et al. (2016)/Twarowski (1995)
#85   [ H + HOPO2 -> H2O + PO2             ]  9.13E-16      1.49      11372.76  Haworth et al. (2002)
#85   [ H + HOPO2 -> H2O + PO2             ]  8.569E-05    -1.830    5401.00     Jayaweera+05
45   [ H + HOPO2 -> H2O + PO2             ]  1.78E-11      0.176     5937.99    Mackie et al. (2002)
#47   [ H + PO3 -> O + HOPO                ]  5.25E-11      0.000     0.0        Wang et al. (2016)/Twarowski (1995)
47   [ O + HOPO -> H + PO3                ]   1.66E-12      0.00      7548.29    Jayaweera+05  
#49   [ H + PO3 -> OH + PO2                ]  5.25E-11      0.000     19.24        Wang et al. (2016)/Twarowski (1995)
49   [ H + PO3 -> OH + PO2                ]  1.16E-11      0.5     0.00         Plane_et_al.(2021)
51   [ H + P2O3 -> PO + HOPO              ]  5.25E-11      0.000     6013.62     Wang et al. (2016)/Twarowski (1995)
#91   [ H + HPO -> H2 + PO                 ]  5.25E-11      0.000     1989.30     Wang et al. (2016)/Twarowski (1995)
53   [ H + HPO -> H2 + PO                 ]  4.000E-16      1.500      0.00       Jayaweera+05
#93   [ H + PH3 -> H2 + PH2                ]  7.22E-11      0.000     884.0        Paul Rimmer (Arthur and Cooper 1997) (Disc.) 200-500 
55   [ H + PH3 -> H2 + PH2                ]   7.000E-18    2.3576    45.123         Klippenstein calculation           (Disc.)
