# VULCAN N-C-H-O network for reducing atmospheres
#########################################################################################################################################################
# log history
# 7.2024 update CH2OH+M=H+H2CO+M and CH3O+M=H+H2CO+M (See Appendix B in Tsai+2024b)
# 2024: remove H2S + M -> S + H2 + M, which overest. the recombination rate   
# 2023
# Compared to SNCHO_photo_network, the rate consts of H + SH + M -> H2S + M and H + CS + M -> HCS + M  are updated, and H2S + M -> S + H2 + M is added
##########################################################################################################################################################
# 4.2022 changed the rate of S + S4 -> S2 + S3
# 1.2021 added CH3SH and CH3S back
# 11.2020 added S2O (no Gibbs data of (SO)2)
# 10.2020 removed CH3S 
# replaced several high-barrier reactions with the reverses (exothermic) and removed some insensitive ones
# 10.2020 included C6H6 pathways with C4H3 and C4H5
# 10.2020 replaced H2O + H with OH + H2 (faster for water recycling at T < 250K)
# 10.2020 added HSO3 and HSO4 and SO3 forming reactions (then removed)
# 8.2020 added CH3SH and found not sensitive
# 8.2020 Check the reverse reaction of disscoiation reactions
# 8.2020 updated from NCHO -- adding HO2,H2O2,H3CN,C2H3CN
# 8.2020 removed CN + M -> C + N + M and CN + C2H2 -> C2H + HCN  and CN + C2H4 -> C2H3 + HCN
# Replace 565	[ SH + SH -> H2 + S2                 ]  1.00E-13     0.000       0.0       Jim with Zahnle's
# Replace 775	[ S + S2 + M -> S3 + M               ]  1.65E-33     0.000    -143.6     1.38E-14     0.000     -450.2       Du_et_al.2011	 
# removed H2S2 (no NASA9)
# 617	[ HS2 + H2 -> H2S2 + H               ]  1.00E-11     0.000   14500.0       Jim
# 621	[ HS2 + H2S -> H2S2 + SH             ]  1.00E-11     0.000    7800.0       Jim
# 609	[ SH + H2S -> H2S2 + H               ]  1.00E-11     0.000   13700.0       Jim
# 611	[ SH + H2S2 -> H2S + HS2             ]  1.00E-11     0.000       0.0       Jim
# 615	[ H2S2 + OH -> H2O + HS2             ]  1.00E-10     0.000       0.0       Jim
# 763	[ SH + SH + M -> H2S2 + M            ]   2.40E-29   -0.76       0.0         2006CER/KRO437-455       	
# 9.2019 updated and added a few CH2_1 and O_1 reactions; removing CH3NH (only CH2NH, CH2NH2, CH3NH2 are important (Tsai2018))
# v813: Add CH3HN2, CH3HN, CH2NH2, and CH2NH; v814 reduced from v813 and reromved a few reactions involving CH2NH
# v827: removed N_D (N2D) because I don't have its nasa9 gibbs energy (only nasa7 in venot's thesis)
# v925: removed O + C2H3 -> HCO + CH2 and O + C2H4 -> H2CO + CH2; corrected a typo in NH + NO -> N2O + H
# v518: added NH2 + NH3 -> N2H3 + H2; NH2 + NH2 + M -> N2H4 + M; NH3 -> NH + H + H (2nd branch)
# v618: added  CH + H2O -> H2CO + H; OH photo; CH3CHO; add HCCO + H2 -> H2CCO + H and OH + C2H2 -> H2CCO + H
# v018: added HNO (HNO <-> NOx) and HNO2
# v118: added the photodisociation of NO and NO2
# v218: added more HNO <-> NOx reactions (so far v118 is the best)
# v0718: Higher rate of CH + CH2 from Moses; updated C + C + M -> C2 + M and reverse NH + M -> N + H 
##########################################################################################################################################################
# In Temp, KIDA means the values are close to those on KIDA
# in the form of k = A T^B exp(-C/T)
# Two-body Reactions
# id	Reactions                           	A       	B       	C      Ref 			             Temp  

1    [ OH + H2 -> H2O + H                 ]  3.57E-16     1.520    1740.0      1992OLD/LOG8426-8430      250-2580
3    [ O + H2 -> OH + H                   ]  8.52E-20     2.670    3160.0                                300-2500
5    [ O + H2O -> OH + OH                 ]  8.20E-14     0.950    8570.0                                250-2400
7    [ H + CH -> H2 + C                   ]  1.31E-10     0.000      80.0                                300-2000
9    [ H + CH2 -> CH + H2                 ]  1.00E-11     0.000    -900.0                                300-3000
11   [ CH2 + H2 -> H + CH3                ]  7.32E-19     2.300    3699.0                                200-3000
13   [ H + CH4 -> CH3 + H2                ]  2.20E-20     3.000    4040.0                                300-2500
15   [ C + CH -> C2 + H                   ]  1.05E-12     0.500       0.0       KIDA                     10-300
17   [ CH3 + C -> H + C2H2                ]  1.00E-10     0.000       0.0                                10-280
19   [ H2 + C2H -> H + C2H2               ]  9.20E-18     2.170     478.0                                295-854
21   [ CH + CH2  -> H + C2H2              ]  1.58E-08    -0.900       0.0       Moses(based on CH+CH4)
23   [ H + C2H3 -> C2H2 + H2              ]  2.01E-11     0.000       0.0                       300-3000
25   [ H2 + C2H3 -> H + C2H4              ]  5.00E-20     2.630    4300.0                       300-2500
27   [ CH + CH4 -> H + C2H4               ]  5.00E-11     0.000    -200.0                           KIDA
29   [ CH2 + CH3 -> H + C2H4              ]  7.01E-11     0.000       0.0                       300-3000
31   [ H + C2H5 -> CH3 + CH3              ]  5.99E-11     0.000       0.0                       300-2000
33   [ H + C2H5 -> C2H4 + H2              ]  3.01E-12     0.000       0.0                       300-2500
35   [ H + C2H6 -> C2H5 + H2              ]  9.19E-22     3.500    2600.0                       300-2500
37   [ OH + CO -> H + CO2                 ]  1.05E-17     1.500    -250.0                       300-2000
39   [ CH + CH3 -> H2 + C2H2              ]  1.00E-11     0.000       0.0                             ??
41   [ C2 + O -> C + CO                   ]  1.05E-12     0.000       0.0                             ??
43   [ CH2 + CH2 -> C2H2 + H + H          ]  1.80E-10     0.000     400.0                             ??
45   [ CH2 + CH2 -> CH + CH3              ]  3.98E-10     0.000    5000.0                             ??
47   [ CH2 + CH2 -> H + C2H3              ]  3.32E-11     0.000       0.0                             ??
49   [ CH2 + CH4 -> CH3 + CH3             ]  4.09E-18     2.000    4162.0                             ??
51   [ CH2 + C2H5 -> CH3 + C2H4           ]  3.01E-11     0.000       0.0                       300-2500
53   [ CH3 + OH -> CH2 + H2O              ]  1.85E-21     3.000    1400.0                       200-2250
55   [ C2H + OH -> CH2 + CO               ]  3.01E-11     0.000       0.0                       300-2500
57   [ C2H2 + O -> CH2 + CO               ]  6.78E-16     1.500     854.0                       300-2500
59   [ CH3 + C2H -> C2H2 + CH2            ]  1.00E-11     0.000       0.0                             ??
61   [ CH4 + C2H -> CH3 + C2H2            ]  3.01E-12     0.000     250.0                       300-2500
63   [ CH3 + C2H3 -> CH4 + C2H2           ]  6.51E-13     0.000       0.0                       300-2500
65   [ CH4 + C2H3 -> CH3 + C2H4           ]  2.13E-24     4.020    2754.0                       300-2500
67   [ CH3 + C2H5 -> CH4 + C2H4           ]  3.25E-11    -0.500       0.0                       300-2500
69   [ CH3 + C2H6 -> CH4 + C2H5           ]  9.12E-25     4.000    4170.0                       300-2500
71   [ C2H2 + OH -> CH3 + CO              ]  8.04E-28     4.000   -1010.0                       500-2500
73   [ C2 + H2 -> H + C2H                 ]  1.10E-10     0.000    4000.0                       2580-4650
