# wavelength (nm), cross section(cm^2)
0.1, 1.00E-21
2.36, 2.60E-19
3.16, 5.30E-19
3.98, 1.00E-18
4.27, 1.30E-18
4.0, 5.90E-20
6.3, 1.50E-19
10.0, 3.70E-19
15.8, 1.30E-18
25.0, 3.70E-18
27.8, 4.00E-18
30.37, 4.00E-18
35.84, 1.17E-17
36.3, 9.80E-18
37.4, 1.31E-17
41.88, 1.68E-17
43.4, 1.61E-17
45.2, 1.96E-17
45.96, 1.82E-17
47.5, 1.97E-17
50.84, 2.30E-17
52.58, 2.38E-17
52.95, 2.16E-17
53.36, 2.12E-17
53.9, 2.50E-17
55.5, 2.50E-17
57.47, 2.97E-17
58.07, 2.79E-17
59.96, 3.13E-17
60.42, 2.98E-17
61.63, 3.41E-17
62.93, 3.52E-17
63.73, 3.53E-17
66.03, 3.66E-17
66.19, 3.56E-17
67.14, 3.78E-17
67.16, 3.96E-17
67.94, 3.61E-17
68.58, 3.94E-17
68.84, 4.04E-17
69.85, 3.78E-17
71.85, 4.20E-17
74.64, 4.14E-17
76.4, 4.77E-17
76.93, 4.30E-17
77.3, 4.62E-17
79.67, 4.74E-17
80.6, 4.70E-17
82.7, 4.82E-17
83.3, 4.85E-17
84.0, 4.75E-17
84.38, 5.20E-17
85.06, 5.10E-17
85.83, 5.12E-17
87.11, 5.24E-17
87.55, 5.07E-17
87.87, 5.10E-17
88.31, 5.10E-17
88.74, 5.20E-17
90.6, 4.95E-17
91.6, 4.65E-17
91.98, 5.17E-17
93.21, 5.20E-17
94.5, 5.46E-17
95.19, 5.60E-17
95.48, 5.60E-17
95.55, 5.60E-17
95.85, 6.00E-17
96.15, 5.60E-17
97.7, 4.40E-17
97.8, 4.10E-17
97.98, 4.10E-17
98.88, 3.36E-17
98.98, 3.80E-17
99.15, 2.91E-17
102.5, 3.30E-17
103.63, 3.10E-17
103.7, 2.95E-17
106.59, 3.10E-17
107.18, 3.20E-17
108.46, 2.70E-17
108.49, 2.62E-17
108.55, 2.91E-17
113.44, 1.75E-17
113.5, 1.89E-17
115.2, 1.84E-17
115.21, 1.89E-17
117.55, 2.30E-17
117.64, 2.51E-17
117.65, 1.70E-17
118.3, 2.30E-17
118.45, 2.00E-17
118.9, 1.61E-17
119.95, 1.90E-17
120.07, 1.75E-17
120.07, 1.90E-17
120.69, 1.80E-17
121.55, 1.75E-17
121.57, 1.60E-17
121.76, 1.90E-17
124.33, 1.80E-17
127.51, 1.60E-17
130.22, 1.40E-17
130.49, 1.40E-17
130.6, 1.40E-17
132.4, 1.30E-17
133.0, 1.10E-17
133.6, 1.00E-17
136.2, 6.85E-18
137.0, 3.20E-18
138.0, 2.20E-18
139.0, 1.20E-18
140.0, 6.80E-19
141.0, 3.60E-19
142.0, 1.60E-19
143.0, 7.80E-20
144.0, 2.20E-20
145.0, 8.00E-21
146.0, 2.80E-21
147.0, 7.90E-22
148.0, 2.80E-22
149.0, 8.60E-23
150.0, 3.80E-23
151.0, 2.30E-23
152.0, 1.60E-23
153.0, 1.20E-23
154.0, 9.20E-24
155.0, 8.10E-24
156.0, 7.40E-24
157.0, 7.10E-24
158.0, 6.80E-24
159.0, 6.40E-24
160.0, 6.00E-24
185.0, 4.00E-24
210.0, 1.00E-25
237.3, 3.00E-26
277.0, 1.00E-28
