species			H	O	C	He	N	S	P	Na	K	Si            
H				1	0	0	0	0	0	0	0	0	0
H2				2	0	0	0	0	0	0	0	0	0
OH				1	1	0	0	0	0	0	0	0	0
H2O				2	1	0	0	0	0	0	0	0	0
O				0	1	0	0	0	0	0	0	0	0
O_1				0	1	0	0	0	0	0	0	0	0
O2				0	2	0	0	0	0	0	0	0	0
O3				0	3	0	0	0	0	0	0	0	0	
HO2				1	2	0	0	0	0	0	0	0	0	
H2O2			2	2	0	0	0	0	0	0	0	0
CH				1	0	1	0	0	0	0	0	0	0
CH2				2	0	1	0	0	0	0	0	0	0
CH2_1			2	0	1	0	0	0	0	0	0	0
CH3				3	0	1	0	0	0	0	0	0	0
CH4				4	0	1	0	0	0	0	0	0	0
C2H				1	0	2	0	0	0	0	0	0	0
C2H2			2	0	2	0	0	0	0	0	0	0
C2H3			3	0	2	0	0	0	0	0	0	0
C2H4			4	0	2	0	0	0	0	0	0	0
C2H5			5	0	2	0	0	0	0	0	0	0
C2H6			6	0	2	0	0	0	0	0	0	0
C4H2			2	0	4	0	0	0	0	0	0	0
CO				0	1	1	0	0	0	0	0	0	0
CO2				0	2	1	0	0	0	0	0	0	0	
HCO				1	1	1	0	0	0	0	0	0	0
H2CO			2	1	1	0	0	0	0	0	0	0	
CH2OH			3	1	1	0	0	0	0	0	0	0
CH3OH			4	1	1	0	0	0	0	0	0	0	
CH3CO			3	1	2	0	0	0	0	0	0	0
HCCO			1	1	2	0	0	0	0	0	0	0	
H2CCO			2	1	2	0	0	0	0	0	0	0
C				0	0	1	0	0	0	0	0	0	0
C2				0	0	2	0	0	0	0	0	0	0
CH3O			3	1	1	0	0	0	0	0	0	0
N				0	0	0	0	1	0	0	0	0	0
N2				0	0	0	0	2	0	0	0	0	0
NH				1	0	0	0	1	0	0	0	0	0
NH2				2	0	0	0	1	0	0	0	0	0
NH3				3	0	0	0	1	0	0	0	0	0
NO				0	1	0	0	1	0	0	0	0	0
NO2				0	2	0	0	1	0	0	0	0	0
CN				0	0	1	0	1	0	0	0	0	0
HCN				1	0	1	0	1	0	0	0	0	0
He				0	0	0	1	0	0	0	0	0	0
N2H2			2	0	0	0	2	0	0	0	0	0
N2H				1	0	0	0	2	0	0	0	0	0
CH2NH			3	0	1	0	1	0	0	0	0	0
CH2NH2			4	0	1	0	1	0	0	0	0	0
CH3NH			4	0	1	0	1	0	0	0	0	0
CH3NH2			5	0	1	0	1	0	0	0	0	0	
N2H3			3	0	0	0	2	0	0	0	0	0
N2H4			4	0	0	0	2	0	0	0	0	0
C3H2			2	0	3	0	0	0	0	0	0	0
C3H3			3	0	3	0	0	0	0	0	0	0
C3H4			4	0	3	0	0	0	0	0	0	0
C3H5			5	0	3	0	0	0	0	0	0	0
C3H6			6	0	3	0	0	0	0	0	0	0
C3H7			7	0	3	0	0	0	0	0	0	0
C3H8			8	0	3	0	0	0	0	0	0	0
CH2CCH2			4	0	3	0	0	0	0	0	0	0
C4H 			1	0	4	0	0	0	0	0	0	0
C4H2			2	0	4	0	0	0	0	0	0	0
C4H3			3	0	4	0	0	0	0	0	0	0
C4H4			4	0	4	0	0	0	0	0	0	0
C4H5			5	0	4	0	0	0	0	0	0	0
C4H6			6	0	4	0	0	0	0	0	0	0
C4H7			7	0	4	0	0	0	0	0	0	0
C4H8			8	0	4	0	0	0	0	0	0	0
C4H9			9	0	4	0	0	0	0	0	0	0
C4H10			10	0	4	0	0	0	0	0	0	0
C2H3O			3	1	2	0	0	0	0	0	0	0
CH3CHO			4	1	2	0	0	0	0	0	0	0
C2H4OH			5	1	2	0	0	0	0	0	0	0
H2CN			2	0	1	0	1	0	0	0	0	0
CH2CN			2	0	2	0	1	0	0	0	0	0
CH3CN			3	0	2	0	1	0	0	0	0	0
HC3N			1	0	3	0	1	0	0	0	0	0
HNO				1	1	0	0	1	0	0	0	0	0	
HNO2 			1	2	0	0	1	0	0	0	0	0
N2O				0	1	0	0	2	0	0	0	0	0
NCO				0	1	1	0	1	0	0	0	0	0
H2NN			2	0	0	0	2	0	0	0	0	0
HNCO			1	1	1	0	1	0	0	0	0	0
CH3NO			3	1	1	0	1	0	0	0	0	0
C2H3CN			3	0	3	0	1	0	0	0	0	0
C2H2CN			2	0	3	0	1	0	0	0	0	0
Na				0	0	0	0	0	0	0	1	0	0		
NaO				0	1	0	0	0	0	0	1	0	0
NaO2			0	2	0	0	0	0	0	1	0	0
NaOH			1	1	0	0	0	0	0	1	0	0
NaH				1	0	0	0	0	0	0	1	0	0
