# Branching ratios for CH3CHO -> (1)CH4 + CO     (2)CH3 + HCO   from PhiDRates
# lambda , br_ratio_1, br_ratio_2
6.000e-02,    0.600,    0.400
1.100e-01,    0.599,    0.401
2.400e-01,    0.600,    0.400
6.200e-01,    0.599,    0.401
1.260e+00,    0.598,    0.402
2.460e+00,    0.597,    0.403
6.210e+00,    0.592,    0.408
1.217e+01,    0.584,    0.416
2.486e+01,    0.570,    0.430
6.258e+01,    0.525,    0.475
1.000e+02,    0.479,    0.521
2.000e+02,    0.358,    0.642
2.100e+02,    0.348,    0.652
2.200e+02,    0.335,    0.665
2.400e+02,    0.310,    0.690
2.500e+02,    0.299,    0.701
2.600e+02,    0.287,    0.714
2.700e+02,    0.240,    0.760
2.800e+02,    0.154,    0.846
2.900e+02,    0.127,    0.873
2.950e+02,    0.114,    0.886
3.000e+02,    0.090,    0.910
3.050e+02,    0.061,    0.939
3.100e+02,    0.031,    0.969
3.150e+02,    0.012,    0.988
3.200e+02,    0.010,    0.990
3.250e+02,    0.007,    0.993
3.300e+02,    0.004,    0.996
3.350e+02,    0.005,    0.995
3.400e+02,    0.005,    0.995
3.450e+02,    0.005,    0.995
3.501e+02,    0.005,    0.995
3.550e+02,    0.004,    0.996
7.350e+02,    0.000,    1.000
