# Branching ratios for CH3SH -> (1)CH3S + H (2)CH3 + SH from PhiDRates
# lambda  , br_ratio_1,           br_ratio_2   
5.000e-01 ,         0.251,         0.749
5.200e-01 ,         0.251,         0.749
6.200e-01 ,         0.251,         0.749
1.260e+00 ,         0.252,         0.748
2.460e+00 ,         0.253,         0.747
5.030e+00 ,         0.257,         0.743
5.250e+00 ,         0.256,         0.744
6.210e+00 ,         0.258,         0.742
6.750e+00 ,         0.258,         0.742
7.050e+00 ,         0.259,         0.741
7.350e+00 ,         0.260,         0.740
1.220e+01 ,         0.265,         0.735
2.490e+01 ,         0.281,         0.719
3.630e+01 ,         0.295,         0.705
5.080e+01 ,         0.313,         0.687
5.530e+01 ,         0.319,         0.681
1.100e+02 ,         0.386,         0.614
1.925e+02 ,         0.488,         0.512
1.930e+02 ,         0.488,         0.512
1.935e+02 ,         0.500,         0.500
1.940e+02 ,         0.504,         0.496
1.945e+02 ,         0.513,         0.487
1.950e+02 ,         0.520,         0.480
1.955e+02 ,         0.530,         0.470
1.960e+02 ,         0.537,         0.463
1.965e+02 ,         0.545,         0.455
1.970e+02 ,         0.554,         0.446
1.975e+02 ,         0.561,         0.439
1.980e+02 ,         0.569,         0.431
1.985e+02 ,         0.577,         0.423
1.990e+02 ,         0.586,         0.414
1.995e+02 ,         0.593,         0.407
2.000e+02 ,         0.601,         0.399
2.005e+02 ,         0.609,         0.391
2.010e+02 ,         0.617,         0.383
2.015e+02 ,         0.625,         0.375
2.020e+02 ,         0.632,         0.368
2.025e+02 ,         0.641,         0.359
2.030e+02 ,         0.648,         0.352
2.035e+02 ,         0.656,         0.344
2.040e+02 ,         0.664,         0.336
2.045e+02 ,         0.672,         0.328
2.050e+02 ,         0.681,         0.319
2.055e+02 ,         0.688,         0.312
2.060e+02 ,         0.696,         0.304
2.065e+02 ,         0.705,         0.295
2.070e+02 ,         0.712,         0.288
2.075e+02 ,         0.720,         0.280
2.080e+02 ,         0.727,         0.273
2.085e+02 ,         0.736,         0.264
2.090e+02 ,         0.743,         0.257
2.095e+02 ,         0.752,         0.248
2.100e+02 ,         0.760,         0.240
2.105e+02 ,         0.768,         0.232
2.110e+02 ,         0.775,         0.225
2.115e+02 ,         0.783,         0.217
2.120e+02 ,         0.791,         0.209
2.125e+02 ,         0.800,         0.200
2.130e+02 ,         0.807,         0.193
2.135e+02 ,         0.815,         0.185
2.140e+02 ,         0.824,         0.176
2.145e+02 ,         0.831,         0.169
2.150e+02 ,         0.839,         0.161
2.155e+02 ,         0.847,         0.153
2.160e+02 ,         0.855,         0.145
2.165e+02 ,         0.863,         0.137
2.170e+02 ,         0.871,         0.129
2.175e+02 ,         0.879,         0.121
2.180e+02 ,         0.887,         0.113
2.185e+02 ,         0.894,         0.106
2.190e+02 ,         0.902,         0.098
2.195e+02 ,         0.910,         0.090
2.200e+02 ,         0.918,         0.082
2.205e+02 ,         0.926,         0.074
2.210e+02 ,         0.934,         0.066
2.215e+02 ,         0.942,         0.058
2.220e+02 ,         0.950,         0.050
2.230e+02 ,         0.952,         0.048
2.235e+02 ,         0.952,         0.048
2.240e+02 ,         0.953,         0.047
2.245e+02 ,         0.954,         0.046
2.250e+02 ,         0.955,         0.045
2.255e+02 ,         0.955,         0.045
2.260e+02 ,         0.956,         0.044
2.265e+02 ,         0.957,         0.043
2.270e+02 ,         0.958,         0.042
2.275e+02 ,         0.959,         0.041
2.280e+02 ,         0.959,         0.041
2.285e+02 ,         0.960,         0.040
2.290e+02 ,         0.961,         0.039
2.295e+02 ,         0.962,         0.038
2.300e+02 ,         0.963,         0.037
2.305e+02 ,         0.963,         0.037
2.310e+02 ,         0.964,         0.036
2.315e+02 ,         0.965,         0.035
2.320e+02 ,         0.966,         0.034
2.325e+02 ,         0.966,         0.034
2.330e+02 ,         0.967,         0.033
2.335e+02 ,         0.968,         0.032
2.340e+02 ,         0.969,         0.031
2.345e+02 ,         0.970,         0.030
2.350e+02 ,         0.970,         0.030
2.355e+02 ,         0.971,         0.029
2.360e+02 ,         0.972,         0.028
2.365e+02 ,         0.973,         0.027
2.370e+02 ,         0.973,         0.027
2.375e+02 ,         0.974,         0.026
2.380e+02 ,         0.975,         0.025
2.385e+02 ,         0.976,         0.024
2.390e+02 ,         0.977,         0.023
2.395e+02 ,         0.977,         0.023
2.400e+02 ,         0.978,         0.022
2.405e+02 ,         0.979,         0.021
2.410e+02 ,         0.980,         0.020
2.415e+02 ,         0.980,         0.020
2.420e+02 ,         0.981,         0.019
2.425e+02 ,         0.982,         0.018
2.430e+02 ,         0.983,         0.017
2.435e+02 ,         0.984,         0.016
2.440e+02 ,         0.984,         0.016
2.445e+02 ,         0.985,         0.015
2.450e+02 ,         0.986,         0.014
2.455e+02 ,         0.987,         0.013
2.460e+02 ,         0.988,         0.012
2.465e+02 ,         0.988,         0.012
2.470e+02 ,         0.989,         0.011
2.475e+02 ,         0.990,         0.010
2.480e+02 ,         0.991,         0.009
2.485e+02 ,         0.991,         0.009
2.490e+02 ,         0.992,         0.008
2.495e+02 ,         0.993,         0.007
2.500e+02 ,         0.994,         0.006
2.505e+02 ,         0.995,         0.005
2.510e+02 ,         0.995,         0.005
2.515e+02 ,         0.996,         0.004
2.520e+02 ,         0.997,         0.003
2.525e+02 ,         0.998,         0.002
2.530e+02 ,         0.998,         0.002
2.535e+02 ,         0.999,         0.001
3.540e+02 ,         0.000,         1.000
3.095e+02 ,         0.000,         1.000
