# Branching ratios for CH4 -> (1)CH3 + H (2)CH2_1 + H2 (3)CH2_1 + H + H (4)CH + H2 + H  from Gans et al (121.6 and 118.2 nm) and PhiDrates for < 97.7 nm
# lambda , br_ratio_1, br_ratio_2, br_ratio_3, br_ratio_4
7.730e+01,    0.132,    0.669,    0.194,    0.005
7.967e+01,    0.119,    0.686,    0.101,    0.094
8.060e+01,    0.118,    0.689,    0.090,    0.103
8.270e+01,    0.120,    0.683,    0.045,    0.152
8.330e+01,    0.121,    0.686,    0.039,    0.154
8.400e+01,    0.122,    0.689,    0.031,    0.158
8.438e+01,    0.122,    0.691,    0.029,    0.158
8.506e+01,    0.121,    0.694,    0.025,    0.160
8.583e+01,    0.124,    0.693,    0.022,    0.162
8.711e+01,    0.116,    0.673,    0.016,    0.195
8.755e+01,    0.125,    0.696,    0.017,    0.162
8.787e+01,    0.123,    0.699,    0.015,    0.163
8.831e+01,    0.124,    0.698,    0.015,    0.163
8.874e+01,    0.121,    0.702,    0.014,    0.163
9.060e+01,    0.124,    0.703,    0.012,    0.162
9.160e+01,    0.125,    0.703,    0.011,    0.161
9.198e+01,    0.123,    0.705,    0.010,    0.161
9.321e+01,    0.124,    0.707,    0.009,    0.160
9.450e+01,    0.125,    0.700,    0.007,    0.168
9.519e+01,    0.122,    0.702,    0.007,    0.169
9.548e+01,    0.121,    0.702,    0.007,    0.169
9.555e+01,    0.121,    0.702,    0.007,    0.169
9.585e+01,    0.120,    0.703,    0.007,    0.170
9.615e+01,    0.119,    0.704,    0.007,    0.170
1.182e+02,    0.260,    0.170,    0.480,    0.090
1.216e+02,    0.420,    0.480,    0.030,    0.070
