# Branching ratios for H2 -> (1)H2_p + e  (2)H_p + H + e   
# lambda  , br_ratio_1   ,     br_ratio_2
1.00e-01  ,     0.000e+00,     1.000e+00
1.00e+00  ,     3.865e-04,     9.996e-01
5.00e+00  ,     2.100e-03,     9.979e-01
1.00e+01  ,     4.258e-03,     9.957e-01
2.00e+01  ,     8.533e-03,     9.915e-01
2.09e+01  ,     8.935e-03,     9.911e-01
2.34e+01  ,     1.451e-02,     9.855e-01
2.40e+01  ,     1.952e-02,     9.805e-01
2.47e+01  ,     3.180e-02,     9.682e-01
2.61e+01  ,     7.206e-02,     9.279e-01
2.66e+01  ,     9.846e-02,     9.015e-01
2.84e+01  ,     2.038e-01,     7.962e-01
2.98e+01  ,     3.024e-01,     6.976e-01
3.03e+01  ,     3.451e-01,     6.549e-01
3.15e+01  ,     4.348e-01,     5.652e-01
3.24e+01  ,     4.984e-01,     5.016e-01
3.35e+01  ,     5.897e-01,     4.103e-01
3.45e+01  ,     6.750e-01,     3.250e-01
3.59e+01  ,     7.710e-01,     2.290e-01
3.63e+01  ,     7.930e-01,     2.070e-01
3.75e+01  ,     8.529e-01,     1.471e-01
3.87e+01  ,     8.938e-01,     1.062e-01
4.28e+01  ,     9.720e-01,     2.798e-02
4.34e+01  ,     9.740e-01,     2.601e-02
4.52e+01  ,     9.760e-01,     2.400e-02
5.00e+01  ,     9.780e-01,     2.198e-02
5.50e+01  ,     9.790e-01,     2.097e-02
5.84e+01  ,     9.799e-01,     2.006e-02
6.00e+01  ,     9.800e-01,     1.999e-02
6.50e+01  ,     9.840e-01,     1.602e-02
7.00e+01  ,     1.000e+00,     0.000e+00
7.50e+01  ,     1.000e+00,     0.000e+00
7.70e+01  ,     1.000e+00,     0.000e+00
7.72e+01  ,     1.000e+00,     0.000e+00
7.77e+01  ,     1.000e+00,     0.000e+00
7.78e+01  ,     1.000e+00,     0.000e+00
7.85e+01  ,     1.000e+00,     0.000e+00
7.86e+01  ,     1.000e+00,     0.000e+00
7.93e+01  ,     1.000e+00,     0.000e+00
7.95e+01  ,     1.000e+00,     0.000e+00
8.02e+01  ,     1.000e+00,     0.000e+00
