# Branching ratios for H2O -> (1)OH_p + H + e (2)O_p + H2 + e  (3)H_p + OH + e (4)H2O_p + e
# lambda  , br_ratio_1   ,     br_ratio_2     ,br_ratio_3   ,br_ratio_4
1.00e-01  ,     2.781e-01,     2.214e-01,     2.214e-01,     2.792e-01
5.00e-01  ,     2.770e-01,     2.191e-01,     2.191e-01,     2.848e-01
1.00e+00  ,     2.761e-01,     2.157e-01,     2.173e-01,     2.908e-01
2.00e+00  ,     2.736e-01,     2.093e-01,     2.118e-01,     3.053e-01
2.25e+00  ,     2.729e-01,     2.072e-01,     2.112e-01,     3.088e-01
2.35e+00  ,     2.731e-01,     2.073e-01,     2.096e-01,     3.100e-01
1.00e+01  ,     2.575e-01,     1.572e-01,     1.680e-01,     4.173e-01
1.80e+01  ,     2.401e-01,     1.043e-01,     1.228e-01,     5.328e-01
2.00e+01  ,     2.372e-01,     9.065e-02,     1.114e-01,     5.608e-01
2.20e+01  ,     2.319e-01,     7.723e-02,     9.990e-02,     5.910e-01
2.40e+01  ,     2.280e-01,     6.353e-02,     8.845e-02,     6.201e-01
2.60e+01  ,     2.247e-01,     4.968e-02,     7.675e-02,     6.489e-01
2.80e+01  ,     2.202e-01,     3.582e-02,     6.510e-02,     6.788e-01
3.00e+01  ,     2.157e-01,     2.180e-02,     5.328e-02,     7.093e-01
3.20e+01  ,     2.172e-01,     1.676e-02,     4.588e-02,     7.201e-01
3.40e+01  ,     2.203e-01,     1.397e-02,     3.947e-02,     7.262e-01
3.60e+01  ,     2.239e-01,     1.110e-02,     3.388e-02,     7.311e-01
3.80e+01  ,     2.273e-01,     8.241e-03,     3.167e-02,     7.328e-01
4.00e+01  ,     2.288e-01,     5.677e-03,     3.373e-02,     7.318e-01
4.20e+01  ,     2.355e-01,     3.643e-03,     3.543e-02,     7.255e-01
4.40e+01  ,     2.517e-01,     2.621e-03,     3.657e-02,     7.091e-01
4.60e+01  ,     2.618e-01,     1.994e-03,     3.800e-02,     6.982e-01
4.80e+01  ,     2.577e-01,     1.897e-03,     3.992e-02,     7.004e-01
5.00e+01  ,     2.527e-01,     1.777e-03,     4.152e-02,     7.040e-01
5.20e+01  ,     2.544e-01,     1.632e-03,     4.265e-02,     7.013e-01
5.40e+01  ,     2.554e-01,     1.466e-03,     4.373e-02,     6.994e-01
5.60e+01  ,     2.660e-01,     1.257e-03,     4.569e-02,     6.870e-01
5.80e+01  ,     2.759e-01,     1.042e-03,     4.757e-02,     6.755e-01
6.00e+01  ,     2.670e-01,     7.796e-04,     4.235e-02,     6.899e-01
6.20e+01  ,     2.489e-01,     4.990e-04,     3.466e-02,     7.159e-01
6.40e+01  ,     2.039e-01,     2.748e-04,     1.837e-02,     7.774e-01
6.60e+01  ,     1.627e-01,     5.566e-05,     2.419e-03,     8.348e-01
6.80e+01  ,     3.166e-03,     0.000e+00,     0.000e+00,     9.968e-01
7.00e+01  ,     0.000e+00,     0.000e+00,     0.000e+00,     1.000e+00
9.89e+01  ,     0.000e+00,     0.000e+00,     0.000e+00,     1.000e+00
