#Wavelength	HOPO
#nm	cm2
120	1.35E-17
121	1.61E-17
122	1.86E-17
123	2.07E-17
124	2.24E-17
125	2.34E-17
126	2.39E-17
127	2.39E-17
128	2.33E-17
129	2.21E-17
130	2.05E-17
131	1.85E-17
132	1.62E-17
133	1.40E-17
134	1.19E-17
135	1.01E-17
136	8.82E-18
137	7.97E-18
138	7.49E-18
139	7.30E-18
140	7.28E-18
141	7.33E-18
142	7.40E-18
143	7.45E-18
144	7.49E-18
145	7.52E-18
146	7.60E-18
147	7.76E-18
148	8.02E-18
149	8.43E-18
150	8.97E-18
151	9.65E-18
152	1.04E-17
153	1.13E-17
154	1.21E-17
155	1.28E-17
156	1.34E-17
157	1.38E-17
158	1.40E-17
159	1.39E-17
160	1.36E-17
161	1.31E-17
162	1.24E-17
163	1.16E-17
164	1.08E-17
165	1.00E-17
166	9.31E-18
167	8.72E-18
168	8.29E-18
169	8.01E-18
170	7.88E-18
171	7.88E-18
172	7.96E-18
173	8.08E-18
174	8.21E-18
175	8.31E-18
176	8.33E-18
177	8.26E-18
178	8.08E-18
179	7.80E-18
180	7.41E-18
181	6.94E-18
182	6.40E-18
183	5.82E-18
184	5.21E-18
185	4.61E-18
186	4.02E-18
187	3.47E-18
188	2.97E-18
189	2.52E-18
190	2.13E-18
191	1.79E-18
192	1.52E-18
193	1.29E-18
194	1.12E-18
195	9.86E-19
196	8.90E-19
197	8.25E-19
198	7.85E-19
199	7.65E-19
200	7.59E-19
201	7.65E-19
202	7.78E-19
203	7.95E-19
204	8.13E-19
205	8.30E-19
206	8.43E-19
207	8.53E-19
208	8.57E-19
209	8.55E-19
210	8.47E-19
211	8.33E-19
212	8.12E-19
213	7.86E-19
214	7.54E-19
215	7.19E-19
216	6.79E-19
217	6.37E-19
218	5.93E-19
219	5.48E-19
220	5.03E-19
221	4.58E-19
222	4.15E-19
223	3.73E-19
224	3.33E-19
225	2.96E-19
226	2.61E-19
227	2.29E-19
228	2.00E-19
229	1.73E-19
230	1.50E-19
231	1.29E-19
232	1.11E-19
233	9.59E-20
234	8.27E-20
235	7.18E-20
236	6.31E-20
237	5.63E-20
238	5.15E-20
239	4.85E-20
240	4.72E-20
241	4.77E-20
242	4.99E-20
243	5.39E-20
244	5.95E-20
245	6.70E-20
246	7.63E-20
247	8.75E-20
248	1.01E-19
249	1.16E-19
250	1.33E-19
251	1.52E-19
252	1.74E-19
253	1.97E-19
254	2.23E-19
255	2.51E-19
256	2.81E-19
257	3.13E-19
258	3.47E-19
259	3.82E-19
260	4.20E-19
261	4.58E-19
262	4.98E-19
263	5.39E-19
264	5.80E-19
265	6.22E-19
266	6.64E-19
267	7.06E-19
268	7.47E-19
269	7.87E-19
270	8.26E-19
271	8.64E-19
272	9.00E-19
273	9.34E-19
274	9.65E-19
275	9.94E-19
276	1.02E-18
277	1.04E-18
278	1.06E-18
279	1.08E-18
280	1.09E-18
281	1.10E-18
282	1.11E-18
283	1.11E-18
284	1.11E-18
285	1.11E-18
286	1.10E-18
287	1.10E-18
288	1.08E-18
289	1.07E-18
290	1.05E-18
291	1.03E-18
292	1.01E-18
293	9.83E-19
294	9.57E-19
295	9.30E-19
296	9.01E-19
297	8.71E-19
298	8.40E-19
299	8.09E-19
300	7.77E-19
301	7.44E-19
302	7.12E-19
303	6.80E-19
304	6.48E-19
305	6.16E-19
306	5.84E-19
307	5.54E-19
308	5.23E-19
309	4.94E-19
310	4.66E-19
311	4.38E-19
312	4.11E-19
313	3.86E-19
314	3.61E-19
315	3.37E-19
316	3.15E-19
317	2.94E-19
318	2.73E-19
319	2.54E-19
320	2.36E-19
321	2.18E-19
322	2.02E-19
323	1.87E-19
324	1.72E-19
325	1.59E-19
326	1.46E-19
327	1.35E-19
328	1.24E-19
329	1.13E-19
330	1.04E-19
331	9.51E-20
332	8.70E-20
333	7.95E-20
334	7.26E-20
335	6.62E-20
336	6.03E-20
337	5.48E-20
338	4.99E-20
339	4.53E-20
340	4.11E-20
341	3.73E-20
342	3.38E-20
343	3.06E-20
344	2.77E-20
345	2.50E-20
346	2.26E-20
347	2.04E-20
348	1.84E-20
349	1.66E-20
350	1.49E-20
351	1.34E-20
352	1.21E-20
353	1.08E-20
354	9.74E-21
355	8.74E-21
356	7.84E-21
357	7.03E-21
358	6.30E-21
359	5.64E-21
360	5.05E-21
361	4.52E-21
362	4.04E-21
363	3.61E-21
364	3.22E-21
365	2.88E-21
366	2.57E-21
367	2.29E-21
368	2.04E-21
369	1.82E-21
370	1.62E-21
371	1.44E-21
372	1.29E-21
373	1.14E-21
374	1.02E-21
375	9.05E-22
376	8.05E-22
377	7.15E-22
378	6.35E-22
379	5.64E-22
380	5.01E-22
381	4.44E-22
382	3.94E-22
383	3.50E-22
384	3.10E-22
385	2.75E-22
386	2.44E-22
387	2.16E-22
388	1.91E-22
389	1.69E-22
390	1.50E-22
391	1.33E-22
392	1.18E-22
393	1.04E-22
394	9.21E-23
395	8.15E-23
396	7.21E-23
397	6.37E-23
398	5.64E-23
399	4.98E-23
400	4.40E-23
401	3.89E-23
402	3.44E-23
403	3.04E-23
404	2.69E-23
405	2.37E-23
406	2.10E-23
407	1.85E-23
408	1.64E-23
409	1.44E-23
410	1.28E-23
411	1.13E-23
412	9.94E-24
413	8.78E-24
414	7.75E-24
415	6.84E-24
416	6.04E-24
417	5.33E-24
418	4.70E-24
419	4.15E-24
420	3.67E-24
421	3.23E-24
422	2.86E-24
423	2.52E-24
424	2.22E-24
425	1.96E-24
426	1.73E-24
427	1.53E-24
428	1.35E-24
429	1.19E-24
430	1.05E-24
431	9.28E-25
432	8.19E-25
433	7.23E-25
434	6.38E-25
435	5.63E-25
436	4.97E-25
437	4.39E-25
438	3.87E-25
439	3.42E-25
440	3.02E-25
441	2.67E-25
442	2.35E-25
443	2.08E-25
444	1.84E-25
445	1.62E-25
446	1.43E-25
447	1.26E-25
448	1.12E-25
449	9.87E-26
450	8.72E-26
451	7.70E-26
452	6.81E-26
