#Wavelength	HOPO2
#nm	cm2
120	4.64E-18
121	7.03E-18
122	9.85E-18
123	1.28E-17
124	1.55E-17
125	1.76E-17
126	1.89E-17
127	1.93E-17
128	1.90E-17
129	1.81E-17
130	1.71E-17
131	1.62E-17
132	1.56E-17
133	1.55E-17
134	1.56E-17
135	1.59E-17
136	1.60E-17
137	1.59E-17
138	1.54E-17
139	1.46E-17
140	1.35E-17
141	1.22E-17
142	1.08E-17
143	9.39E-18
144	8.09E-18
145	6.92E-18
146	5.87E-18
147	4.95E-18
148	4.16E-18
149	3.48E-18
150	2.89E-18
151	2.40E-18
152	1.99E-18
153	1.66E-18
154	1.40E-18
155	1.21E-18
156	1.07E-18
157	9.68E-19
158	9.04E-19
159	8.64E-19
160	8.41E-19
161	8.30E-19
162	8.28E-19
163	8.36E-19
164	8.58E-19
165	8.98E-19
166	9.62E-19
167	1.06E-18
168	1.18E-18
169	1.34E-18
170	1.54E-18
171	1.77E-18
172	2.03E-18
173	2.30E-18
174	2.58E-18
175	2.85E-18
176	3.10E-18
177	3.32E-18
178	3.49E-18
179	3.62E-18
180	3.68E-18
181	3.68E-18
182	3.63E-18
183	3.51E-18
184	3.35E-18
185	3.15E-18
186	2.92E-18
187	2.66E-18
188	2.40E-18
189	2.13E-18
190	1.86E-18
191	1.61E-18
192	1.38E-18
193	1.17E-18
194	9.78E-19
195	8.13E-19
196	6.71E-19
197	5.52E-19
198	4.54E-19
199	3.75E-19
200	3.14E-19
201	2.69E-19
202	2.36E-19
203	2.14E-19
204	2.02E-19
205	1.98E-19
206	1.99E-19
207	2.06E-19
208	2.15E-19
209	2.28E-19
210	2.41E-19
211	2.55E-19
212	2.69E-19
213	2.82E-19
214	2.93E-19
215	3.03E-19
216	3.10E-19
217	3.15E-19
218	3.18E-19
219	3.18E-19
220	3.15E-19
221	3.10E-19
222	3.03E-19
223	2.93E-19
224	2.82E-19
225	2.69E-19
226	2.56E-19
227	2.41E-19
228	2.25E-19
229	2.09E-19
230	1.93E-19
231	1.77E-19
232	1.62E-19
233	1.47E-19
234	1.32E-19
235	1.19E-19
236	1.06E-19
237	9.41E-20
238	8.31E-20
239	7.30E-20
240	6.39E-20
241	5.56E-20
242	4.82E-20
243	4.16E-20
244	3.57E-20
245	3.06E-20
246	2.60E-20
247	2.21E-20
248	1.87E-20
249	1.57E-20
250	1.32E-20
251	1.11E-20
252	9.22E-21
253	7.66E-21
254	6.34E-21
255	5.24E-21
256	4.31E-21
257	3.54E-21
258	2.89E-21
259	2.36E-21
260	1.92E-21
261	1.56E-21
262	1.26E-21
263	1.02E-21
264	8.22E-22
265	6.61E-22
266	5.30E-22
267	4.24E-22
268	3.39E-22
269	2.70E-22
270	2.15E-22
271	1.71E-22
272	1.35E-22
273	1.07E-22
274	8.45E-23
275	6.66E-23
276	5.24E-23
277	4.12E-23
278	3.23E-23
279	2.53E-23
