#Wavelength	HPO2
#nm	cm2
120	1.51E-17
121	1.71E-17
122	1.92E-17
123	2.13E-17
124	2.31E-17
125	2.44E-17
126	2.50E-17
127	2.47E-17
128	2.37E-17
129	2.21E-17
130	1.99E-17
131	1.75E-17
132	1.50E-17
133	1.26E-17
134	1.04E-17
135	8.62E-18
136	7.18E-18
137	6.09E-18
138	5.27E-18
139	4.64E-18
140	4.13E-18
141	3.66E-18
142	3.20E-18
143	2.74E-18
144	2.28E-18
145	1.85E-18
146	1.45E-18
147	1.10E-18
148	8.11E-19
149	5.85E-19
150	4.21E-19
151	3.14E-19
152	2.63E-19
153	2.67E-19
154	3.30E-19
155	4.60E-19
156	6.68E-19
157	9.67E-19
158	1.37E-18
159	1.89E-18
160	2.52E-18
161	3.27E-18
162	4.11E-18
163	5.03E-18
164	5.99E-18
165	6.94E-18
166	7.84E-18
167	8.65E-18
168	9.32E-18
169	9.81E-18
170	1.01E-17
171	1.02E-17
172	1.01E-17
173	9.75E-18
174	9.27E-18
175	8.66E-18
176	7.95E-18
177	7.19E-18
178	6.39E-18
179	5.60E-18
180	4.85E-18
181	4.14E-18
182	3.50E-18
183	2.93E-18
184	2.44E-18
185	2.02E-18
186	1.66E-18
187	1.37E-18
188	1.13E-18
189	9.38E-19
190	7.83E-19
191	6.59E-19
192	5.59E-19
193	4.79E-19
194	4.14E-19
195	3.61E-19
196	3.17E-19
197	2.80E-19
198	2.49E-19
199	2.22E-19
200	2.00E-19
201	1.81E-19
202	1.64E-19
203	1.51E-19
204	1.39E-19
205	1.30E-19
206	1.22E-19
207	1.15E-19
208	1.10E-19
209	1.05E-19
210	1.01E-19
211	9.74E-20
212	9.39E-20
213	9.04E-20
214	8.69E-20
215	8.32E-20
216	7.94E-20
217	7.55E-20
218	7.13E-20
219	6.70E-20
220	6.26E-20
221	5.82E-20
222	5.37E-20
223	4.92E-20
224	4.49E-20
225	4.07E-20
226	3.66E-20
227	3.28E-20
228	2.92E-20
229	2.58E-20
230	2.27E-20
231	1.99E-20
232	1.73E-20
233	1.50E-20
234	1.29E-20
235	1.10E-20
236	9.40E-21
237	7.98E-21
238	6.74E-21
239	5.66E-21
240	4.74E-21
241	3.95E-21
242	3.28E-21
243	2.71E-21
244	2.23E-21
245	1.83E-21
246	1.50E-21
247	1.22E-21
248	9.88E-22
249	7.99E-22
250	6.44E-22
251	5.17E-22
252	4.15E-22
253	3.31E-22
254	2.64E-22
255	2.09E-22
256	1.66E-22
257	1.31E-22
258	1.03E-22
259	8.11E-23
260	6.36E-23
261	4.97E-23
262	3.88E-23
263	3.02E-23
264	2.35E-23
265	1.82E-23
266	1.41E-23
267	1.09E-23
268	8.39E-24
269	6.46E-24
270	4.96E-24
271	3.81E-24
272	2.92E-24
273	2.23E-24
274	1.70E-24
275	1.30E-24
276	9.89E-25
277	7.52E-25
278	5.71E-25
279	4.33E-25
280	3.28E-25
281	2.48E-25
282	1.88E-25
283	1.42E-25
284	1.07E-25
285	8.05E-26
286	6.06E-26
287	4.56E-26
288	3.43E-26
289	2.58E-26
290	1.93E-26
291	1.45E-26
292	1.09E-26
293	8.13E-27
294	6.09E-27
295	4.55E-27
296	3.40E-27
297	2.54E-27
298	1.90E-27
299	1.42E-27
300	1.06E-27
301	7.88E-28
302	5.88E-28
303	4.38E-28
304	3.26E-28
305	2.43E-28
306	1.81E-28
307	1.35E-28
308	1.00E-28
309	7.46E-29
310	5.54E-29
311	4.13E-29
312	3.07E-29
313	2.27E-29
314	1.70E-29
315	1.26E-29
316	9.28E-30
317	6.88E-30
318	5.12E-30
319	3.84E-30
320	2.88E-30
321	2.08E-30
322	1.60E-30
323	1.12E-30
324	8.00E-31
325	6.40E-31
326	4.80E-31
327	3.20E-31
328	3.20E-31
329	1.60E-31
330	1.60E-31
331	1.60E-31
332	1.60E-31
