# Branching ratios for H_m -> (1)H_p + e + e  (2)H + e
# lambda  , br_ratio_1   ,     br_ratio_2
1.00e-01  ,     0.000e+00,     1.000e+00
5.20e-01  ,     7.490e-04,     9.993e-01
1.00e+00  ,     1.607e-03,     9.984e-01
1.55e+00  ,     2.596e-03,     9.974e-01
2.00e+00  ,     3.382e-03,     9.966e-01
2.46e+00  ,     4.215e-03,     9.958e-01
2.91e+00  ,     5.022e-03,     9.950e-01
3.45e+00  ,     5.964e-03,     9.940e-01
4.08e+00  ,     7.097e-03,     9.929e-01
4.44e+00  ,     7.749e-03,     9.923e-01
5.03e+00  ,     8.806e-03,     9.912e-01
5.47e+00  ,     9.565e-03,     9.904e-01
5.95e+00  ,     1.047e-02,     9.895e-01
6.47e+00  ,     1.139e-02,     9.886e-01
7.05e+00  ,     1.240e-02,     9.876e-01
7.35e+00  ,     1.293e-02,     9.871e-01
7.66e+00  ,     1.350e-02,     9.865e-01
7.99e+00  ,     1.408e-02,     9.859e-01
8.33e+00  ,     1.468e-02,     9.853e-01
8.69e+00  ,     1.533e-02,     9.847e-01
9.06e+00  ,     1.594e-02,     9.841e-01
9.45e+00  ,     1.673e-02,     9.833e-01
9.86e+00  ,     1.741e-02,     9.826e-01
1.03e+01  ,     1.815e-02,     9.818e-01
1.07e+01  ,     1.889e-02,     9.811e-01
1.12e+01  ,     1.982e-02,     9.802e-01
1.17e+01  ,     2.059e-02,     9.794e-01
1.22e+01  ,     2.155e-02,     9.785e-01
1.27e+01  ,     2.250e-02,     9.775e-01
1.32e+01  ,     2.348e-02,     9.765e-01
1.38e+01  ,     2.450e-02,     9.755e-01
1.44e+01  ,     2.554e-02,     9.745e-01
1.50e+01  ,     2.661e-02,     9.734e-01
1.57e+01  ,     2.785e-02,     9.722e-01
1.63e+01  ,     2.895e-02,     9.710e-01
1.70e+01  ,     3.017e-02,     9.698e-01
1.78e+01  ,     3.154e-02,     9.685e-01
1.80e+01  ,     3.197e-02,     9.680e-01
1.80e+01  ,     3.193e-02,     9.681e-01
1.96e+01  ,     4.300e-02,     9.570e-01
2.14e+01  ,     4.801e-02,     9.520e-01
2.25e+01  ,     4.903e-02,     9.510e-01
2.36e+01  ,     4.902e-02,     9.510e-01
2.56e+01  ,     5.091e-02,     9.491e-01
2.64e+01  ,     4.894e-02,     9.511e-01
2.98e+01  ,     4.714e-02,     9.529e-01
3.43e+01  ,     5.089e-02,     9.491e-01
3.84e+01  ,     6.090e-02,     9.391e-01
4.04e+01  ,     5.498e-02,     9.450e-01
4.43e+01  ,     4.502e-02,     9.550e-01
4.91e+01  ,     5.718e-02,     9.428e-01
5.00e+01  ,     5.099e-02,     9.490e-01
5.50e+01  ,     5.816e-02,     9.418e-01
6.26e+01  ,     4.005e-02,     9.600e-01
7.26e+01  ,     7.502e-02,     9.250e-01
7.50e+01  ,     4.100e-02,     9.590e-01
7.89e+01  ,     3.904e-02,     9.610e-01
8.47e+01  ,     1.099e-02,     9.890e-01
8.63e+01  ,     0.000e+00,     1.000e+00
9.12e+01  ,     0.000e+00,     1.000e+00
1.00e+02  ,     0.000e+00,     1.000e+00
1.10e+02  ,     0.000e+00,     1.000e+00
1.20e+02  ,     0.000e+00,     1.000e+00
1.21e+02  ,     0.000e+00,     1.000e+00
1.30e+02  ,     0.000e+00,     1.000e+00
1.39e+02  ,     0.000e+00,     1.000e+00
1.40e+02  ,     0.000e+00,     1.000e+00
1.50e+02  ,     0.000e+00,     1.000e+00
1.60e+02  ,     0.000e+00,     1.000e+00
1.64e+02  ,     0.000e+00,     1.000e+00
1.70e+02  ,     0.000e+00,     1.000e+00
1.80e+02  ,     0.000e+00,     1.000e+00
2.00e+02  ,     0.000e+00,     1.000e+00
2.30e+02  ,     0.000e+00,     1.000e+00
2.50e+02  ,     0.000e+00,     1.000e+00
2.57e+02  ,     0.000e+00,     1.000e+00
2.70e+02  ,     0.000e+00,     1.000e+00
3.00e+02  ,     0.000e+00,     1.000e+00
3.10e+02  ,     0.000e+00,     1.000e+00
3.50e+02  ,     0.000e+00,     1.000e+00
3.58e+02  ,     0.000e+00,     1.000e+00
3.90e+02  ,     0.000e+00,     1.000e+00
4.00e+02  ,     0.000e+00,     1.000e+00
4.30e+02  ,     0.000e+00,     1.000e+00
4.50e+02  ,     0.000e+00,     1.000e+00
4.70e+02  ,     0.000e+00,     1.000e+00
5.00e+02  ,     0.000e+00,     1.000e+00
5.10e+02  ,     0.000e+00,     1.000e+00
5.28e+02  ,     0.000e+00,     1.000e+00
5.50e+02  ,     0.000e+00,     1.000e+00
6.00e+02  ,     0.000e+00,     1.000e+00
6.50e+02  ,     0.000e+00,     1.000e+00
6.70e+02  ,     0.000e+00,     1.000e+00
6.76e+02  ,     0.000e+00,     1.000e+00
7.00e+02  ,     0.000e+00,     1.000e+00
7.50e+02  ,     0.000e+00,     1.000e+00
7.94e+02  ,     0.000e+00,     1.000e+00
8.00e+02  ,     0.000e+00,     1.000e+00
8.50e+02  ,     0.000e+00,     1.000e+00
9.00e+02  ,     0.000e+00,     1.000e+00
