# Branching ratios for NH3 -> (1)NH2 + H     (2)NH + H + H     from PhiDrates
# lambda , br_ratio_1, br_ratio_2
6.900e+01,    0.000,    1.000
1.050e+02,    0.000,    1.000
1.056e+02,    0.028,    0.972
1.060e+02,    0.043,    0.957
1.065e+02,    0.058,    0.942
1.070e+02,    0.071,    0.929
1.073e+02,    0.077,    0.923
1.077e+02,    0.086,    0.914
1.080e+02,    0.099,    0.901
1.084e+02,    0.112,    0.888
1.090e+02,    0.125,    0.875
1.093e+02,    0.129,    0.871
1.099e+02,    0.137,    0.863
1.105e+02,    0.151,    0.849
1.108e+02,    0.150,    0.850
1.111e+02,    0.164,    0.836
1.115e+02,    0.176,    0.824
1.120e+02,    0.184,    0.816
1.122e+02,    0.189,    0.811
1.125e+02,    0.203,    0.797
1.127e+02,    0.209,    0.791
1.130e+02,    0.214,    0.786
1.136e+02,    0.228,    0.772
1.140e+02,    0.227,    0.773
1.142e+02,    0.241,    0.759
1.145e+02,    0.255,    0.745
1.150e+02,    0.266,    0.734
1.152e+02,    0.285,    0.715
1.155e+02,    0.278,    0.722
1.157e+02,    0.291,    0.709
1.159e+02,    0.297,    0.703
1.160e+02,    0.302,    0.698
1.165e+02,    0.308,    0.692
1.170e+02,    0.315,    0.685
1.173e+02,    0.319,    0.681
1.176e+02,    0.307,    0.693
1.178e+02,    0.332,    0.668
1.180e+02,    0.337,    0.663
1.185e+02,    0.343,    0.657
1.187e+02,    0.345,    0.655
1.189e+02,    0.335,    0.665
1.190e+02,    0.351,    0.649
1.192e+02,    0.355,    0.645
1.192e+02,    0.360,    0.640
1.193e+02,    0.362,    0.638
1.194e+02,    0.372,    0.628
1.195e+02,    0.369,    0.631
1.196e+02,    0.373,    0.627
1.198e+02,    0.377,    0.623
1.200e+02,    0.381,    0.619
1.202e+02,    0.387,    0.613
1.203e+02,    0.394,    0.606
1.204e+02,    0.398,    0.602
1.205e+02,    0.404,    0.596
1.208e+02,    0.408,    0.592
1.208e+02,    0.415,    0.585
1.210e+02,    0.422,    0.578
1.210e+02,    0.425,    0.575
1.214e+02,    0.430,    0.570
1.215e+02,    0.437,    0.563
1.217e+02,    0.440,    0.560
1.218e+02,    0.448,    0.552
1.219e+02,    0.453,    0.547
1.220e+02,    0.459,    0.541
1.220e+02,    0.457,    0.543
