# Branching ratios for NO3 -> (1)NO2 + O     (2)NO + O2     from PhiDrates
# lambda , br_ratio_1, br_ratio_2
6.000e-02,    1.000,    0.000
1.100e-01,    1.000,    0.000
5.800e+02,    1.000,    0.000
5.810e+02,    0.900,    0.100
5.820e+02,    0.800,    0.200
5.830e+02,    0.700,    0.300
5.840e+02,    0.600,    0.400
5.850e+02,    0.500,    0.500
5.860e+02,    0.400,    0.600
5.870e+02,    0.299,    0.701
5.880e+02,    0.200,    0.800
5.890e+02,    0.100,    0.900
5.900e+02,    0.000,    1.000
5.910e+02,    0.000,    1.000
7.030e+02,    0.000,    1.000
