P2 cross section	
nm	cm2 molecule-1
120	1.68716E-19
121	3.91323E-19
122	8.19524E-19
123	1.55703E-18
124	2.696E-18
125	4.27289E-18
126	6.22469E-18
127	8.36857E-18
128	1.04231E-17
129	1.20718E-17
130	1.30478E-17
131	1.32074E-17
132	1.25646E-17
133	1.12759E-17
134	9.58885E-18
135	7.77603E-18
136	6.07944E-18
137	4.67811E-18
138	3.68077E-18
139	3.13649E-18
140	3.05376E-18
141	3.42063E-18
142	4.22194E-18
143	5.45244E-18
144	7.12515E-18
145	9.27348E-18
146	1.1945E-17
147	1.51854E-17
148	1.90138E-17
149	2.33945E-17
150	2.82131E-17
151	3.32653E-17
152	3.82665E-17
153	4.2882E-17
154	4.67738E-17
155	4.96548E-17
156	5.13366E-17
157	5.17612E-17
158	5.10091E-17
159	4.92822E-17
160	4.68677E-17
161	4.40894E-17
162	4.1258E-17
163	3.86293E-17
164	3.63762E-17
165	3.45772E-17
166	3.32213E-17
167	3.22258E-17
168	3.14614E-17
169	3.07798E-17
170	3.00391E-17
171	2.91239E-17
172	2.79571E-17
173	2.65055E-17
174	2.47774E-17
175	2.28158E-17
176	2.06887E-17
177	1.84785E-17
178	1.62715E-17
179	1.41499E-17
180	1.21858E-17
181	1.04375E-17
182	8.94802E-18
183	7.74555E-18
184	6.84453E-18
185	6.24756E-18
186	5.94738E-18
187	5.92857E-18
188	6.16907E-18
189	6.6413E-18
190	7.31304E-18
191	8.1482E-18
192	9.10758E-18
193	1.01497E-17
194	1.12319E-17
195	1.23115E-17
196	1.33472E-17
197	1.43004E-17
198	1.51368E-17
199	1.58275E-17
200	1.635E-17
201	1.66891E-17
202	1.68367E-17
203	1.67924E-17
204	1.65625E-17
205	1.61594E-17
206	1.56006E-17
207	1.49074E-17
208	1.41037E-17
209	1.32149E-17
210	1.22662E-17
211	1.12822E-17
212	1.02857E-17
213	9.29688E-18
214	8.33327E-18
215	7.40926E-18
216	6.53611E-18
217	5.72202E-18
218	4.97237E-18
219	4.28998E-18
220	3.67551E-18
221	3.12782E-18
222	2.64432E-18
223	2.22136E-18
224	1.85455E-18
225	1.53906E-18
226	1.26984E-18
227	1.04182E-18
228	8.50077E-19
229	6.89956E-19
230	5.57123E-19
231	4.47626E-19
232	3.57915E-19
233	2.84846E-19
234	2.25667E-19
235	1.77998E-19
236	1.39801E-19
237	1.09348E-19
238	8.51873E-20
239	6.61082E-20
