nm 	Cross section / cm2
120	1.08985E-18
121	2.1388E-18
122	3.82956E-18
123	6.30113E-18
124	9.60104E-18
125	1.36586E-17
126	1.8297E-17
127	2.32751E-17
128	2.83337E-17
129	3.322E-17
130	3.76897E-17
131	4.15021E-17
132	4.44321E-17
133	4.63042E-17
134	4.70345E-17
135	4.66562E-17
136	4.53149E-17
137	4.3235E-17
138	4.06719E-17
139	3.7868E-17
140	3.50224E-17
141	3.22771E-17
142	2.97151E-17
143	2.7368E-17
144	2.52289E-17
145	2.3269E-17
146	2.14547E-17
147	1.97624E-17
148	1.81874E-17
149	1.67455E-17
150	1.54669E-17
151	1.43868E-17
152	1.35342E-17
153	1.29244E-17
154	1.25544E-17
155	1.24032E-17
156	1.24357E-17
157	1.2608E-17
158	1.2874E-17
159	1.31906E-17
160	1.35235E-17
161	1.38495E-17
162	1.41589E-17
163	1.44546E-17
164	1.47508E-17
165	1.50686E-17
166	1.54321E-17
167	1.5864E-17
168	1.63811E-17
169	1.69925E-17
170	1.76984E-17
171	1.8491E-17
172	1.93567E-17
173	2.02784E-17
174	2.12377E-17
175	2.2217E-17
176	2.31998E-17
177	2.41703E-17
178	2.51128E-17
179	2.60101E-17
180	2.68427E-17
181	2.75879E-17
182	2.82205E-17
183	2.87143E-17
184	2.90432E-17
185	2.9184E-17
186	2.91184E-17
187	2.88352E-17
188	2.83309E-17
189	2.7611E-17
190	2.66891E-17
191	2.55863E-17
192	2.43295E-17
193	2.29498E-17
194	2.14802E-17
195	1.9954E-17
196	1.84031E-17
197	1.68569E-17
198	1.5341E-17
199	1.3877E-17
200	1.2482E-17
201	1.1169E-17
202	9.94664E-18
203	8.82021E-18
204	7.7917E-18
205	6.86049E-18
206	6.02385E-18
207	5.27743E-18
208	4.61571E-18
209	4.03237E-18
210	3.52067E-18
211	3.07369E-18
212	2.68455E-18
213	2.34665E-18
214	2.05372E-18
215	1.79997E-18
216	1.58013E-18
217	1.38948E-18
218	1.22386E-18
219	1.07965E-18
220	9.53759E-19
221	8.43576E-19
222	7.46934E-19
223	6.62058E-19
224	5.87525E-19
225	5.22218E-19
226	4.65286E-19
227	4.16107E-19
228	3.7426E-19
229	3.39495E-19
230	3.11715E-19
231	2.90959E-19
232	2.77385E-19
233	2.71263E-19
234	2.72959E-19
235	2.82931E-19
236	3.01715E-19
237	3.29915E-19
238	3.68187E-19
239	4.17228E-19
240	4.77753E-19
241	5.50478E-19
242	6.36097E-19
243	7.35257E-19
244	8.48532E-19
245	9.76397E-19
246	1.1192E-18
247	1.27716E-18
248	1.45028E-18
249	1.63841E-18
250	1.84117E-18
251	2.05798E-18
252	2.28799E-18
253	2.53015E-18
254	2.78319E-18
255	3.04558E-18
256	3.31561E-18
257	3.59139E-18
258	3.87087E-18
259	4.15184E-18
260	4.43202E-18
261	4.70906E-18
262	4.98057E-18
263	5.2442E-18
264	5.49761E-18
265	5.73859E-18
266	5.96503E-18
267	6.17495E-18
268	6.3666E-18
269	6.5384E-18
270	6.68902E-18
271	6.81735E-18
272	6.92257E-18
273	7.00408E-18
274	7.06156E-18
275	7.09494E-18
276	7.10442E-18
277	7.0904E-18
278	7.05354E-18
279	6.99467E-18
280	6.91482E-18
281	6.81517E-18
282	6.69705E-18
283	6.56189E-18
284	6.41121E-18
285	6.2466E-18
286	6.06968E-18
287	5.88208E-18
288	5.68546E-18
289	5.48143E-18
290	5.27155E-18
291	5.05736E-18
292	4.84031E-18
293	4.62176E-18
294	4.40302E-18
295	4.18526E-18
296	3.96959E-18
297	3.75698E-18
298	3.54833E-18
299	3.34442E-18
300	3.14592E-18
301	2.95341E-18
302	2.76738E-18
303	2.58821E-18
304	2.41622E-18
305	2.25161E-18
306	2.09454E-18
307	1.9451E-18
308	1.80329E-18
309	1.66909E-18
310	1.54239E-18
311	1.42309E-18
312	1.311E-18
313	1.20594E-18
314	1.10767E-18
315	1.01595E-18
316	9.30527E-19
317	8.51122E-19
318	7.77453E-19
319	7.09233E-19
320	6.46175E-19
321	5.8799E-19
322	5.34392E-19
323	4.85103E-19
324	4.39847E-19
325	3.98361E-19
326	3.60388E-19
327	3.25682E-19
328	2.94006E-19
329	2.65137E-19
330	2.38862E-19
331	2.14979E-19
332	1.93297E-19
333	1.7364E-19
334	1.55838E-19
335	1.39737E-19
336	1.2519E-19
337	1.12062E-19
338	1.00228E-19
339	8.95702E-20
340	7.9983E-20
341	7.13669E-20
342	6.36312E-20
343	5.66926E-20
344	5.04745E-20
345	4.49072E-20
346	3.9927E-20
347	3.54756E-20
348	3.15003E-20
349	2.7953E-20
350	2.479E-20
351	2.19719E-20
352	1.94629E-20
353	1.72308E-20
354	1.52463E-20
355	1.34832E-20
356	1.19179E-20
357	1.0529E-20
358	9.2974E-21
359	8.20599E-21
