nm	cross section / cm2
120	6.64706E-20
121	1.64535E-19
122	3.67344E-19
123	7.43197E-19
124	1.36864E-18
125	2.30398E-18
126	3.55996E-18
127	5.06869E-18
128	6.6755E-18
129	8.16304E-18
130	9.30474E-18
131	9.93034E-18
132	9.97952E-18
133	9.52462E-18
134	8.75722E-18
135	7.9464E-18
136	7.3843E-18
137	7.33295E-18
138	7.98163E-18
139	9.41824E-18
140	1.16163E-17
141	1.44384E-17
142	1.76579E-17
143	2.09951E-17
144	2.41648E-17
145	2.69216E-17
146	2.90955E-17
147	3.0606E-17
148	3.14554E-17
149	3.17052E-17
150	3.14445E-17
151	3.07619E-17
152	2.97284E-17
153	2.83934E-17
154	2.67919E-17
155	2.49583E-17
156	2.29382E-17
157	2.07964E-17
158	1.86159E-17
159	1.64915E-17
160	1.45179E-17
161	1.27776E-17
162	1.13299E-17
163	1.0205E-17
164	9.40124E-18
165	8.88879E-18
166	8.61521E-18
167	8.51401E-18
168	8.51357E-18
169	8.54549E-18
170	8.55135E-18
171	8.48736E-18
172	8.32661E-18
173	8.05924E-18
174	7.69063E-18
175	7.23842E-18
176	6.72869E-18
177	6.19202E-18
178	5.65981E-18
179	5.16113E-18
180	4.72049E-18
181	4.35637E-18
182	4.08062E-18
183	3.89853E-18
184	3.80952E-18
185	3.80811E-18
186	3.88517E-18
187	4.02918E-18
188	4.22745E-18
189	4.46718E-18
190	4.73625E-18
191	5.02382E-18
192	5.32062E-18
193	5.61908E-18
194	5.91322E-18
195	6.19845E-18
196	6.47124E-18
197	6.72886E-18
198	6.96911E-18
199	7.19012E-18
200	7.39025E-18
201	7.56812E-18
202	7.7227E-18
203	7.85344E-18
204	7.96047E-18
205	8.04482E-18
206	8.10847E-18
207	8.15452E-18
208	8.18712E-18
209	8.21137E-18
210	8.23311E-18
211	8.25865E-18
212	8.29441E-18
213	8.34652E-18
214	8.42046E-18
215	8.52067E-18
216	8.65026E-18
217	8.81075E-18
218	9.00191E-18
219	9.22174E-18
220	9.4665E-18
221	9.73084E-18
222	1.00081E-17
223	1.02903E-17
224	1.05692E-17
225	1.08357E-17
226	1.10809E-17
227	1.12963E-17
228	1.14741E-17
229	1.16074E-17
230	1.16905E-17
231	1.17192E-17
232	1.16906E-17
233	1.16033E-17
234	1.14575E-17
235	1.12547E-17
236	1.09977E-17
237	1.06904E-17
238	1.03375E-17
239	9.94475E-18
240	9.51802E-18
241	9.06367E-18
242	8.58815E-18
243	8.09786E-18
244	7.59897E-18
245	7.09731E-18
246	6.59824E-18
247	6.10662E-18
248	5.62671E-18
249	5.16218E-18
250	4.71606E-18
251	4.29078E-18
252	3.88818E-18
253	3.50955E-18
254	3.15568E-18
255	2.82692E-18
256	2.5232E-18
257	2.24413E-18
258	1.98903E-18
259	1.75699E-18
260	1.54693E-18
261	1.35763E-18
262	1.18779E-18
263	1.03604E-18
264	9.01008E-19
265	7.81324E-19
266	6.75642E-19
267	5.82663E-19
268	5.01149E-19
269	4.29929E-19
270	3.67907E-19
271	3.14068E-19
272	2.67478E-19
273	2.27281E-19
274	1.92703E-19
275	1.63044E-19
276	1.37676E-19
277	1.16039E-19
278	9.76365E-20
279	8.20303E-20
280	6.88347E-20
281	5.77128E-20
282	4.83711E-20
283	4.05557E-20
284	3.40473E-20
285	2.8658E-20
286	2.42274E-20
287	2.06195E-20
288	1.77194E-20
289	1.54312E-20
290	1.36753E-20
291	1.23863E-20
292	1.15114E-20
293	1.10083E-20
294	1.08444E-20
295	1.09952E-20
296	1.14431E-20
297	1.21768E-20
298	1.31902E-20
299	1.44816E-20
300	1.60535E-20
301	1.79116E-20
302	2.00643E-20
303	2.25228E-20
304	2.52997E-20
305	2.84098E-20
306	3.18687E-20
307	3.56931E-20
308	3.99004E-20
309	4.45082E-20
310	4.95342E-20
311	5.49958E-20
312	6.09101E-20
313	6.72932E-20
314	7.41604E-20
315	8.15258E-20
316	8.94019E-20
317	9.77997E-20
318	1.06728E-19
319	1.16195E-19
320	1.26204E-19
321	1.36759E-19
322	1.47859E-19
323	1.59502E-19
324	1.71683E-19
325	1.84394E-19
326	1.97624E-19
327	2.11359E-19
328	2.25583E-19
329	2.40278E-19
330	2.55421E-19
331	2.70988E-19
332	2.86951E-19
333	3.03282E-19
334	3.19949E-19
335	3.36918E-19
336	3.54152E-19
337	3.71615E-19
338	3.89268E-19
339	4.0707E-19
340	4.2498E-19
341	4.42955E-19
342	4.60954E-19
343	4.78933E-19
344	4.96848E-19
345	5.14658E-19
346	5.3232E-19
347	5.49792E-19
348	5.67034E-19
349	5.84006E-19
350	6.0067E-19
351	6.16989E-19
352	6.3293E-19
353	6.48458E-19
354	6.63545E-19
355	6.78161E-19
356	6.9228E-19
357	7.0588E-19
358	7.1894E-19
359	7.31441E-19
360	7.43368E-19
361	7.54709E-19
362	7.65454E-19
363	7.75595E-19
364	7.85127E-19
365	7.9405E-19
366	8.02364E-19
367	8.10071E-19
368	8.17179E-19
369	8.23693E-19
370	8.29626E-19
371	8.34988E-19
372	8.39794E-19
373	8.4406E-19
374	8.47803E-19
375	8.51042E-19
376	8.53798E-19
377	8.56092E-19
378	8.57947E-19
379	8.59385E-19
380	8.60432E-19
381	8.6111E-19
382	8.61445E-19
383	8.61463E-19
384	8.61188E-19
385	8.60645E-19
386	8.59859E-19
387	8.58855E-19
388	8.57656E-19
389	8.56286E-19
390	8.54767E-19
391	8.53123E-19
392	8.51373E-19
393	8.49538E-19
394	8.47637E-19
395	8.45689E-19
396	8.4371E-19
397	8.41716E-19
398	8.39722E-19
399	8.37741E-19
400	8.35786E-19
401	8.33867E-19
402	8.31994E-19
403	8.30176E-19
404	8.28421E-19
405	8.26733E-19
406	8.25118E-19
407	8.2358E-19
408	8.22121E-19
409	8.20744E-19
410	8.19447E-19
411	8.18232E-19
412	8.17096E-19
413	8.16038E-19
414	8.15053E-19
415	8.14139E-19
416	8.1329E-19
417	8.12502E-19
418	8.11768E-19
419	8.11081E-19
420	8.10436E-19
421	8.09824E-19
422	8.09239E-19
423	8.08671E-19
424	8.08113E-19
425	8.07555E-19
426	8.06991E-19
427	8.06409E-19
428	8.05803E-19
429	8.05163E-19
430	8.04481E-19
431	8.03747E-19
432	8.02954E-19
433	8.02092E-19
434	8.01154E-19
435	8.00132E-19
436	7.99018E-19
437	7.97805E-19
438	7.96486E-19
439	7.95054E-19
440	7.93502E-19
441	7.91826E-19
442	7.90018E-19
443	7.88074E-19
444	7.8599E-19
445	7.8376E-19
446	7.81381E-19
447	7.7885E-19
448	7.76163E-19
449	7.73317E-19
450	7.70311E-19
451	7.67143E-19
452	7.63811E-19
453	7.60315E-19
454	7.56653E-19
455	7.52826E-19
456	7.48834E-19
457	7.44678E-19
458	7.40358E-19
459	7.35876E-19
460	7.31234E-19
461	7.26434E-19
462	7.21477E-19
463	7.16368E-19
464	7.11108E-19
465	7.05701E-19
466	7.0015E-19
467	6.94459E-19
468	6.88631E-19
469	6.82672E-19
470	6.76585E-19
471	6.70374E-19
472	6.64045E-19
473	6.57602E-19
474	6.51049E-19
475	6.44393E-19
476	6.37637E-19
477	6.30788E-19
478	6.23849E-19
479	6.16828E-19
480	6.09728E-19
481	6.02555E-19
482	5.95315E-19
483	5.88013E-19
484	5.80655E-19
485	5.73245E-19
486	5.65788E-19
487	5.58291E-19
488	5.50758E-19
489	5.43195E-19
490	5.35607E-19
491	5.27998E-19
492	5.20373E-19
493	5.12738E-19
494	5.05097E-19
495	4.97455E-19
496	4.89816E-19
497	4.82185E-19
498	4.74566E-19
499	4.66964E-19
500	4.59382E-19
501	4.51824E-19
502	4.44295E-19
503	4.36797E-19
504	4.29335E-19
505	4.21912E-19
506	4.14532E-19
507	4.07196E-19
508	3.9991E-19
509	3.92675E-19
510	3.85494E-19
511	3.78371E-19
512	3.71307E-19
513	3.64305E-19
514	3.57367E-19
515	3.50495E-19
516	3.43692E-19
517	3.3696E-19
518	3.30299E-19
519	3.23712E-19
520	3.17201E-19
521	3.10766E-19
522	3.04409E-19
523	2.98132E-19
524	2.91934E-19
525	2.85819E-19
526	2.79785E-19
527	2.73834E-19
528	2.67968E-19
529	2.62185E-19
530	2.56487E-19
531	2.50875E-19
532	2.45348E-19
533	2.39907E-19
534	2.34551E-19
535	2.29282E-19
536	2.24099E-19
537	2.19002E-19
538	2.13991E-19
539	2.09066E-19
540	2.04226E-19
541	1.99471E-19
542	1.94801E-19
543	1.90216E-19
544	1.85714E-19
545	1.81296E-19
546	1.76961E-19
547	1.72708E-19
548	1.68537E-19
549	1.64446E-19
550	1.60436E-19
551	1.56506E-19
552	1.52654E-19
553	1.4888E-19
554	1.45182E-19
555	1.41562E-19
556	1.38016E-19
557	1.34545E-19
558	1.31147E-19
559	1.27821E-19
560	1.24568E-19
561	1.21384E-19
562	1.18271E-19
563	1.15226E-19
564	1.12248E-19
565	1.09337E-19
566	1.06492E-19
567	1.03711E-19
568	1.00993E-19
569	9.83379E-20
570	9.57442E-20
571	9.32107E-20
572	9.07366E-20
573	8.83207E-20
574	8.5962E-20
575	8.36595E-20
576	8.14122E-20
577	7.9219E-20
578	7.70789E-20
579	7.49909E-20
580	7.2954E-20
581	7.09672E-20
582	6.90295E-20
583	6.714E-20
584	6.52975E-20
585	6.35013E-20
586	6.17502E-20
587	6.00435E-20
588	5.83801E-20
589	5.67592E-20
590	5.51797E-20
591	5.36409E-20
592	5.21418E-20
593	5.06816E-20
594	4.92593E-20
595	4.78742E-20
596	4.65255E-20
597	4.52122E-20
598	4.39335E-20
599	4.26887E-20
