nm	cm2	molecule-1 (Plane calculation)
120	7.76E-18	
121	6.24E-18	
122	6.03E-18	
123	7.09E-18	
124	9.15E-18	
125	1.18E-17	
126	1.44E-17	
127	1.64E-17	
128	1.75E-17	
129	1.74E-17	
130	1.61E-17	
131	1.41E-17	
132	1.17E-17	
133	9.22E-18	
134	7.10E-18	
135	5.46E-18	
136	4.37E-18	
137	3.79E-18	
138	3.68E-18	
139	3.94E-18	
140	4.51E-18	
141	5.31E-18	
142	6.28E-18	
143	7.35E-18	
144	8.43E-18	
145	9.44E-18	
146	1.03E-17	
147	1.09E-17	
148	1.12E-17	
149	1.13E-17	
150	1.11E-17	
151	1.07E-17	
152	1.03E-17	
153	9.93E-18	
154	9.70E-18	
155	9.70E-18	
156	1.00E-17	
157	1.06E-17	
158	1.15E-17	
159	1.26E-17	
160	1.38E-17	
161	1.50E-17	
162	1.61E-17	
163	1.70E-17	
164	1.76E-17	
165	1.78E-17	
166	1.77E-17	
167	1.72E-17	
168	1.64E-17	
169	1.53E-17	
170	1.41E-17	
171	1.27E-17	
172	1.13E-17	
173	9.85E-18	
174	8.49E-18	
175	7.22E-18	
176	6.08E-18	
177	5.06E-18	
178	4.18E-18	
179	3.42E-18	
180	2.78E-18	
181	2.25E-18	
182	1.82E-18	
183	1.46E-18	
184	1.17E-18	
185	9.40E-19	
186	7.54E-19	
187	6.07E-19	
188	4.92E-19	
189	4.04E-19	
190	3.38E-19	
191	2.92E-19	
192	2.62E-19	
193	2.48E-19	
194	2.49E-19	
195	2.64E-19	
196	2.94E-19	
197	3.39E-19	
198	4.00E-19	
199	4.77E-19	
200	5.72E-19	
201	6.84E-19	
202	8.15E-19	
203	9.64E-19	
204	1.13E-18	
205	1.31E-18	
206	1.51E-18	
207	1.71E-18	
208	1.93E-18	
209	2.15E-18	
210	2.37E-18	
211	2.59E-18	
212	2.79E-18	
213	2.99E-18	
214	3.17E-18	
215	3.32E-18	
216	3.45E-18	
217	3.56E-18	
218	3.64E-18	
219	3.68E-18	
220	3.70E-18	
221	3.68E-18	
222	3.64E-18	
223	3.57E-18	
224	3.47E-18	
225	3.36E-18	
226	3.22E-18	
227	3.07E-18	
228	2.90E-18	
229	2.73E-18	
230	2.55E-18	
231	2.36E-18	
232	2.18E-18	
233	2.00E-18	
234	1.82E-18	
235	1.65E-18	
236	1.49E-18	
237	1.34E-18	
238	1.19E-18	
239	1.06E-18	
240	9.36E-19	
241	8.23E-19	
242	7.21E-19	
243	6.28E-19	
244	5.45E-19	
245	4.71E-19	
246	4.05E-19	
247	3.47E-19	
248	2.96E-19	
249	2.52E-19	
250	2.14E-19	
251	1.80E-19	
252	1.52E-19	
253	1.27E-19	
254	1.06E-19	
255	8.86E-20	
256	7.36E-20	
257	6.09E-20	
258	5.03E-20	
259	4.14E-20	
260	3.40E-20	
261	2.78E-20	
262	2.27E-20	
263	1.85E-20	
264	1.51E-20	
265	1.22E-20	
266	9.87E-21	
267	7.97E-21	
268	6.42E-21	
269	5.16E-21	
270	4.13E-21	
271	3.31E-21	
272	2.64E-21	
273	2.11E-21	
274	1.68E-21	
275	1.33E-21	
276	1.06E-21	
277	8.38E-22	
278	6.62E-22	
279	5.23E-22	
280	4.12E-22	
281	3.25E-22	
282	2.55E-22	
283	2.01E-22	
284	1.57E-22	
285	1.23E-22	
286	9.69E-23	
287	7.61E-23	
288	5.99E-23	
289	4.73E-23	
290	3.77E-23	
291	3.03E-23	
292	2.49E-23	
293	2.11E-23	
294	1.85E-23	
295	1.71E-23	
296	1.67E-23	
297	1.72E-23	
298	1.87E-23	
299	2.11E-23	
