0          References for Cross Section of PH3       PH2/H   
Cross section:                                                                  
Lambda = 1950.-2350. A                                                          
   Kley, D., Welge, K. H. (1965)                                                
   Z. Naturforsch. 20a, 124                                                     
                                                                                
0 Branching ratio for PH3      PH2/H        0 branches
  Lambda  PH2/H   
    0.61  2.40E-22
    1.24  2.00E-21
    2.44  1.40E-20
    5.65  1.30E-19
    5.90  1.30E-20
    6.15  1.40E-20
   12.57  9.90E-20
   24.62  5.50E-19
   62.09  4.30E-18
   64.70  4.00E-18
   79.90  5.30E-18
   83.30  5.10E-18
   86.90  2.90E-18
   90.60  2.80E-19
  121.70  4.50E-19
  238.30  1.00E-18
  248.60  1.20E-18
  626.80  1.00E-17
  877.00  2.00E-17
 1950.00  3.25E-18
 2000.00  2.03E-18
 2050.00  4.06E-19
 2100.00  1.22E-19
 2150.00  2.84E-20
 2200.00  8.12E-21
 2250.00  2.84E-21
 2300.00  1.62E-21
 2350.00  8.12E-22
 3650.00  1.00E-26
