nm	cm2 molecule-1 (Plane calculation)
100	1.66113E-30
101	4.20266E-29
102	8.21595E-28
103	1.27701E-26
104	1.59945E-25
105	1.63258E-24
106	1.37256E-23
107	9.60066E-23
108	5.64001E-22
109	2.80747E-21
110	1.19404E-20
111	4.37301E-20
112	1.38928E-19
113	3.8552E-19
114	9.4056E-19
115	2.03002E-18
116	3.89908E-18
117	6.70305E-18
118	1.03729E-17
119	1.45332E-17
120	1.85493E-17
121	2.17166E-17
122	2.35119E-17
123	2.37778E-17
124	2.27439E-17
125	2.08859E-17
126	1.87123E-17
127	1.65884E-17
128	1.46702E-17
129	1.2943E-17
130	1.13151E-17
131	9.7074E-18
132	8.1007E-18
133	6.53785E-18
134	5.09628E-18
135	3.85375E-18
136	2.86286E-18
137	2.14037E-18
138	1.6691E-18
139	1.4072E-18
140	1.29967E-18
141	1.28883E-18
142	1.32243E-18
143	1.35919E-18
144	1.37171E-18
145	1.34733E-18
146	1.28701E-18
147	1.20287E-18
148	1.11487E-18
149	1.04717E-18
150	1.02465E-18
151	1.06982E-18
152	1.20003E-18
153	1.4253E-18
154	1.74649E-18
155	2.15431E-18
156	2.62924E-18
157	3.14274E-18
158	3.6597E-18
159	4.14204E-18
160	4.55293E-18
161	4.86099E-18
162	5.04377E-18
163	5.09007E-18
164	5.0005E-18
165	4.78665E-18
166	4.46884E-18
167	4.0731E-18
168	3.62785E-18
169	3.16087E-18
170	2.69685E-18
171	2.25573E-18
172	1.85199E-18
173	1.49459E-18
174	1.18758E-18
175	9.31032E-19
176	7.22085E-19
177	5.56056E-19
178	4.27367E-19
179	3.30306E-19
180	2.59574E-19
181	2.1064E-19
182	1.79919E-19
183	1.6483E-19
184	1.63753E-19
