# Branching ratios for SO2 -> (1)SO + O  (2)S+ O2  from PhiDRates
# lambda , br_ratio_1, br_ratio_2
1.065e+02,    0.500,    0.500
1.070e+02,    0.500,    0.500
1.080e+02,    0.500,    0.500
1.085e+02,    0.500,    0.500
1.090e+02,    0.500,    0.500
1.100e+02,    0.500,    0.500
1.108e+02,    0.500,    0.500
1.112e+02,    0.500,    0.500
1.120e+02,    0.500,    0.500
1.125e+02,    0.500,    0.500
1.135e+02,    0.500,    0.500
1.140e+02,    0.500,    0.500
1.145e+02,    0.500,    0.500
1.150e+02,    0.500,    0.500
1.160e+02,    0.500,    0.500
1.170e+02,    0.500,    0.500
1.180e+02,    0.500,    0.500
1.200e+02,    0.500,    0.500
1.220e+02,    0.500,    0.500
1.240e+02,    0.500,    0.500
1.255e+02,    0.500,    0.500
1.280e+02,    0.500,    0.500
1.305e+02,    0.500,    0.500
1.315e+02,    0.500,    0.500
1.320e+02,    0.500,    0.500
1.330e+02,    0.500,    0.500
1.340e+02,    0.500,    0.500
1.345e+02,    0.500,    0.500
1.350e+02,    0.500,    0.500
1.360e+02,    0.500,    0.500
1.395e+02,    0.500,    0.500
1.400e+02,    0.500,    0.500
1.422e+02,    0.500,    0.500
1.430e+02,    0.500,    0.500
1.435e+02,    0.500,    0.500
1.442e+02,    0.500,    0.500
1.447e+02,    0.500,    0.500
1.450e+02,    0.500,    0.500
1.458e+02,    0.500,    0.500
1.466e+02,    0.500,    0.500
1.470e+02,    0.500,    0.500
1.482e+02,    0.500,    0.500
1.485e+02,    0.500,    0.500
1.490e+02,    0.500,    0.500
1.502e+02,    0.500,    0.500
1.507e+02,    0.500,    0.500
1.513e+02,    0.500,    0.500
1.524e+02,    0.500,    0.500
1.528e+02,    0.500,    0.500
1.538e+02,    0.500,    0.500
1.544e+02,    0.500,    0.500
1.550e+02,    0.500,    0.500
1.558e+02,    0.500,    0.500
1.565e+02,    0.500,    0.500
1.573e+02,    0.500,    0.500
1.582e+02,    0.500,    0.500
1.587e+02,    0.500,    0.500
1.600e+02,    0.500,    0.500
1.640e+02,    0.500,    0.500
1.665e+02,    0.500,    0.500
1.675e+02,    0.500,    0.500
1.680e+02,    0.500,    0.500
1.685e+02,    0.500,    0.500
1.690e+02,    0.500,    0.500
1.695e+02,    0.500,    0.500
1.700e+02,    0.500,    0.500
1.711e+02,    0.500,    0.500
1.712e+02,    0.500,    0.500
1.713e+02,    0.500,    0.500
1.714e+02,    0.500,    0.500
1.715e+02,    0.500,    0.500
1.716e+02,    0.500,    0.500
1.717e+02,    0.500,    0.500
1.718e+02,    0.500,    0.500
1.719e+02,    0.500,    0.500
1.720e+02,    0.500,    0.500
1.721e+02,    0.500,    0.500
1.722e+02,    0.500,    0.500
1.723e+02,    0.500,    0.500
1.724e+02,    0.500,    0.500
1.725e+02,    0.500,    0.500
1.726e+02,    0.500,    0.500
1.727e+02,    0.500,    0.500
1.728e+02,    0.500,    0.500
1.729e+02,    0.500,    0.500
1.730e+02,    0.500,    0.500
1.731e+02,    0.500,    0.500
1.732e+02,    0.500,    0.500
1.733e+02,    0.500,    0.500
1.734e+02,    0.500,    0.500
1.735e+02,    0.500,    0.500
1.736e+02,    0.500,    0.500
1.737e+02,    0.500,    0.500
1.738e+02,    0.500,    0.500
1.739e+02,    0.500,    0.500
1.740e+02,    0.500,    0.500
1.741e+02,    0.500,    0.500
1.742e+02,    0.500,    0.500
1.743e+02,    0.500,    0.500
1.744e+02,    0.500,    0.500
1.745e+02,    0.500,    0.500
1.746e+02,    0.500,    0.500
1.747e+02,    0.500,    0.500
1.748e+02,    0.500,    0.500
1.749e+02,    0.500,    0.500
1.750e+02,    0.500,    0.500
1.751e+02,    0.500,    0.500
1.752e+02,    0.500,    0.500
1.753e+02,    0.500,    0.500
1.754e+02,    0.500,    0.500
1.755e+02,    0.500,    0.500
1.756e+02,    0.500,    0.500
1.757e+02,    0.500,    0.500
1.758e+02,    0.500,    0.500
1.759e+02,    0.500,    0.500
1.760e+02,    0.500,    0.500
1.761e+02,    0.500,    0.500
1.762e+02,    0.500,    0.500
1.763e+02,    0.500,    0.500
1.764e+02,    0.500,    0.500
1.765e+02,    0.500,    0.500
1.766e+02,    0.500,    0.500
1.767e+02,    0.500,    0.500
1.768e+02,    0.500,    0.500
1.769e+02,    0.500,    0.500
1.770e+02,    0.500,    0.500
1.771e+02,    0.500,    0.500
1.772e+02,    0.500,    0.500
1.773e+02,    0.500,    0.500
1.774e+02,    0.500,    0.500
1.775e+02,    0.500,    0.500
1.776e+02,    0.500,    0.500
1.777e+02,    0.500,    0.500
1.778e+02,    0.500,    0.500
1.779e+02,    0.500,    0.500
1.780e+02,    0.500,    0.500
1.781e+02,    0.500,    0.500
1.782e+02,    0.500,    0.500
1.783e+02,    0.500,    0.500
1.784e+02,    0.500,    0.500
1.785e+02,    0.500,    0.500
1.786e+02,    0.500,    0.500
1.787e+02,    0.500,    0.500
1.788e+02,    0.500,    0.500
1.789e+02,    0.500,    0.500
1.790e+02,    0.500,    0.500
1.791e+02,    0.500,    0.500
1.792e+02,    0.500,    0.500
1.793e+02,    0.500,    0.500
1.794e+02,    0.500,    0.500
1.795e+02,    0.500,    0.500
1.796e+02,    0.500,    0.500
1.797e+02,    0.500,    0.500
1.798e+02,    0.500,    0.500
1.799e+02,    0.500,    0.500
1.800e+02,    0.500,    0.500
1.801e+02,    0.500,    0.500
1.802e+02,    0.500,    0.500
1.803e+02,    0.500,    0.500
1.804e+02,    0.500,    0.500
1.805e+02,    0.500,    0.500
1.806e+02,    0.500,    0.500
1.807e+02,    0.500,    0.500
1.808e+02,    0.500,    0.500
1.809e+02,    0.500,    0.500
1.810e+02,    0.500,    0.500
1.811e+02,    0.500,    0.500
1.812e+02,    0.500,    0.500
1.813e+02,    0.500,    0.500
1.814e+02,    0.500,    0.500
1.815e+02,    0.500,    0.500
1.816e+02,    0.500,    0.500
1.817e+02,    0.500,    0.500
1.818e+02,    0.500,    0.500
1.819e+02,    0.500,    0.500
1.820e+02,    0.500,    0.500
1.821e+02,    0.500,    0.500
1.822e+02,    0.500,    0.500
1.823e+02,    0.500,    0.500
1.824e+02,    0.500,    0.500
1.825e+02,    0.500,    0.500
1.826e+02,    0.500,    0.500
1.827e+02,    0.500,    0.500
1.828e+02,    0.500,    0.500
1.829e+02,    0.500,    0.500
1.830e+02,    0.500,    0.500
1.831e+02,    0.500,    0.500
1.832e+02,    0.500,    0.500
1.833e+02,    0.500,    0.500
1.834e+02,    0.500,    0.500
1.835e+02,    0.500,    0.500
1.836e+02,    0.500,    0.500
1.837e+02,    0.500,    0.500
1.838e+02,    0.500,    0.500
1.839e+02,    0.500,    0.500
1.840e+02,    0.500,    0.500
1.841e+02,    0.500,    0.500
1.842e+02,    0.500,    0.500
1.843e+02,    0.500,    0.500
1.844e+02,    0.500,    0.500
1.845e+02,    0.500,    0.500
1.846e+02,    0.500,    0.500
1.847e+02,    0.500,    0.500
1.848e+02,    0.500,    0.500
1.849e+02,    0.500,    0.500
1.850e+02,    0.500,    0.500
1.851e+02,    0.500,    0.500
1.852e+02,    0.500,    0.500
1.853e+02,    0.500,    0.500
1.854e+02,    0.500,    0.500
1.855e+02,    0.500,    0.500
1.856e+02,    0.500,    0.500
1.857e+02,    0.500,    0.500
1.858e+02,    0.500,    0.500
1.859e+02,    0.500,    0.500
1.860e+02,    0.500,    0.500
1.861e+02,    0.500,    0.500
1.862e+02,    0.500,    0.500
1.863e+02,    0.500,    0.500
1.864e+02,    0.500,    0.500
1.865e+02,    0.500,    0.500
1.866e+02,    0.500,    0.500
1.867e+02,    0.500,    0.500
1.868e+02,    0.500,    0.500
1.869e+02,    0.500,    0.500
1.870e+02,    0.500,    0.500
1.871e+02,    0.500,    0.500
1.872e+02,    0.500,    0.500
1.873e+02,    0.500,    0.500
1.874e+02,    0.500,    0.500
1.875e+02,    0.500,    0.500
1.876e+02,    0.500,    0.500
1.877e+02,    0.500,    0.500
1.878e+02,    0.500,    0.500
1.879e+02,    0.500,    0.500
1.880e+02,    0.500,    0.500
1.881e+02,    0.500,    0.500
1.882e+02,    0.500,    0.500
1.883e+02,    0.500,    0.500
1.884e+02,    0.500,    0.500
1.885e+02,    0.500,    0.500
1.886e+02,    0.500,    0.500
1.887e+02,    0.500,    0.500
1.888e+02,    0.500,    0.500
1.889e+02,    0.500,    0.500
1.890e+02,    0.500,    0.500
1.891e+02,    0.500,    0.500
1.892e+02,    0.500,    0.500
1.893e+02,    0.500,    0.500
1.894e+02,    0.500,    0.500
1.895e+02,    0.500,    0.500
1.896e+02,    0.500,    0.500
1.897e+02,    0.500,    0.500
1.898e+02,    0.500,    0.500
1.899e+02,    0.500,    0.500
1.900e+02,    0.500,    0.500
1.901e+02,    0.500,    0.500
1.902e+02,    0.500,    0.500
1.903e+02,    0.500,    0.500
1.904e+02,    0.500,    0.500
1.905e+02,    0.500,    0.500
1.906e+02,    0.500,    0.500
1.907e+02,    0.500,    0.500
1.908e+02,    0.500,    0.500
1.909e+02,    0.500,    0.500
1.910e+02,    0.500,    0.500
1.911e+02,    0.500,    0.500
1.912e+02,    0.500,    0.500
1.913e+02,    0.500,    0.500
1.914e+02,    0.500,    0.500
1.915e+02,    0.500,    0.500
1.916e+02,    0.500,    0.500
1.917e+02,    0.500,    0.500
1.918e+02,    0.500,    0.500
1.919e+02,    0.500,    0.500
1.920e+02,    0.500,    0.500
1.921e+02,    0.500,    0.500
1.922e+02,    0.500,    0.500
1.923e+02,    0.500,    0.500
1.924e+02,    0.500,    0.500
1.925e+02,    0.500,    0.500
1.926e+02,    0.500,    0.500
1.927e+02,    0.500,    0.500
1.928e+02,    0.500,    0.500
1.929e+02,    0.500,    0.500
1.930e+02,    0.500,    0.500
1.931e+02,    0.500,    0.500
1.932e+02,    0.500,    0.500
1.933e+02,    0.500,    0.500
1.934e+02,    0.500,    0.500
1.935e+02,    0.500,    0.500
1.936e+02,    0.500,    0.500
1.937e+02,    0.500,    0.500
1.938e+02,    0.500,    0.500
1.939e+02,    0.500,    0.500
1.940e+02,    0.500,    0.500
1.941e+02,    0.500,    0.500
1.942e+02,    0.500,    0.500
1.943e+02,    0.500,    0.500
1.944e+02,    0.500,    0.500
1.945e+02,    0.500,    0.500
1.946e+02,    0.500,    0.500
1.947e+02,    0.500,    0.500
1.948e+02,    0.500,    0.500
1.949e+02,    0.500,    0.500
1.950e+02,    0.500,    0.500
1.951e+02,    0.500,    0.500
1.952e+02,    0.500,    0.500
1.953e+02,    0.500,    0.500
1.954e+02,    0.500,    0.500
1.955e+02,    0.500,    0.500
1.956e+02,    0.500,    0.500
1.957e+02,    0.500,    0.500
1.958e+02,    0.500,    0.500
1.959e+02,    0.500,    0.500
1.960e+02,    0.500,    0.500
1.961e+02,    0.500,    0.500
1.962e+02,    0.500,    0.500
1.963e+02,    0.500,    0.500
1.964e+02,    0.500,    0.500
1.965e+02,    0.500,    0.500
1.966e+02,    0.500,    0.500
1.967e+02,    0.500,    0.500
1.968e+02,    0.500,    0.500
1.969e+02,    0.500,    0.500
1.970e+02,    0.500,    0.500
1.971e+02,    0.500,    0.500
1.972e+02,    0.500,    0.500
1.973e+02,    0.500,    0.500
1.974e+02,    0.500,    0.500
1.975e+02,    0.500,    0.500
1.976e+02,    0.500,    0.500
1.977e+02,    0.500,    0.500
1.978e+02,    0.500,    0.500
1.979e+02,    0.500,    0.500
1.980e+02,    0.500,    0.500
1.981e+02,    0.500,    0.500
1.982e+02,    0.500,    0.500
1.983e+02,    0.500,    0.500
1.984e+02,    0.500,    0.500
1.985e+02,    0.500,    0.500
1.986e+02,    0.500,    0.500
1.987e+02,    0.500,    0.500
1.988e+02,    0.500,    0.500
1.989e+02,    0.500,    0.500
1.990e+02,    0.500,    0.500
1.991e+02,    0.500,    0.500
1.992e+02,    0.500,    0.500
1.993e+02,    0.500,    0.500
1.994e+02,    0.500,    0.500
1.995e+02,    0.500,    0.500
1.996e+02,    0.500,    0.500
1.997e+02,    0.500,    0.500
1.998e+02,    0.500,    0.500
1.999e+02,    0.500,    0.500
2.000e+02,    0.500,    0.500
2.001e+02,    0.500,    0.500
2.002e+02,    0.500,    0.500
2.003e+02,    0.500,    0.500
2.004e+02,    0.500,    0.500
2.005e+02,    0.500,    0.500
2.006e+02,    0.500,    0.500
2.007e+02,    0.500,    0.500
2.008e+02,    0.500,    0.500
2.009e+02,    0.500,    0.500
2.010e+02,    0.500,    0.500
2.011e+02,    0.500,    0.500
2.012e+02,    0.500,    0.500
2.013e+02,    0.500,    0.500
2.014e+02,    0.500,    0.500
2.015e+02,    0.500,    0.500
2.016e+02,    0.500,    0.500
2.017e+02,    0.500,    0.500
2.018e+02,    0.500,    0.500
2.019e+02,    0.500,    0.500
2.020e+02,    0.500,    0.500
2.021e+02,    0.500,    0.500
2.022e+02,    0.500,    0.500
2.023e+02,    0.500,    0.500
2.024e+02,    0.500,    0.500
2.025e+02,    0.500,    0.500
2.026e+02,    0.500,    0.500
2.027e+02,    0.500,    0.500
2.028e+02,    0.500,    0.500
2.029e+02,    0.500,    0.500
2.030e+02,    0.500,    0.500
2.031e+02,    0.500,    0.500
2.032e+02,    0.500,    0.500
2.033e+02,    0.500,    0.500
2.034e+02,    0.500,    0.500
2.035e+02,    0.500,    0.500
2.036e+02,    0.500,    0.500
2.037e+02,    0.500,    0.500
2.038e+02,    0.500,    0.500
2.039e+02,    0.500,    0.500
2.040e+02,    0.500,    0.500
2.041e+02,    0.500,    0.500
2.042e+02,    0.500,    0.500
2.043e+02,    0.500,    0.500
2.044e+02,    0.500,    0.500
2.045e+02,    0.500,    0.500
2.046e+02,    0.500,    0.500
2.047e+02,    0.500,    0.500
2.048e+02,    0.500,    0.500
2.049e+02,    0.500,    0.500
2.050e+02,    0.500,    0.500
2.051e+02,    0.500,    0.500
2.052e+02,    0.500,    0.500
2.053e+02,    0.500,    0.500
2.054e+02,    0.500,    0.500
2.055e+02,    0.500,    0.500
2.056e+02,    0.500,    0.500
2.057e+02,    0.500,    0.500
2.058e+02,    0.500,    0.500
2.059e+02,    0.500,    0.500
2.060e+02,    0.500,    0.500
2.061e+02,    0.500,    0.500
2.062e+02,    0.500,    0.500
2.063e+02,    0.500,    0.500
2.064e+02,    0.500,    0.500
2.065e+02,    0.500,    0.500
2.066e+02,    0.600,    0.400
2.067e+02,    0.700,    0.300
2.068e+02,    0.800,    0.200
2.069e+02,    0.900,    0.100
2.070e+02,    1.000,    0.000
2.071e+02,    1.000,    0.000
2.072e+02,    1.000,    0.000
2.073e+02,    1.000,    0.000
2.074e+02,    1.000,    0.000
