# species  threshold (nm)
H2O        2.066000e+02
CH4        1.451360e+02
CH3        2.201000e+02
CO         1.664990e+02
CO2        2.009000e+02
H2         1.199999e+02
C2H2       2.989600e+02
C2H4       1.949000e+02
C2H6       1.650000e+02
OH         2.649000e+02
HCO        6.555000e+02
H2CO       3.760000e+02
O2         2.399000E+02
O3         9.000000e+02
HO2        2.749000e+02
H2O2       3.499000e+02
N2         1.500000E+02
NH3        2.264200e+02
HCN        1.790190e+02
NO         2.293250e+02
NO2        3.977500E+02
NO3        7.030000e+02
N2O        3.407000E+02
HNO2       5.910000E+02
HNO3       5.980000E+02
N2O5       5.000000E+02
HNCO       3.540000e+02
CH3OH      2.194930e+02
CH3CHO     3.499968e+02
N2H4       2.910000E+02
SH         3.448300E+02
SO         2.347670e+02
SO2        2.187499e+02
H2S        2.380005e+02
S2         2.830633e+02
COS        2.794400e+02
